id,description,chart_template_id/id,type_tax_use,name,amount_type,amount,sequence,price_include
F27,27%,hungarian_chart_template,sale,Fizetendő - 27%,percent,0.27,1,False
F18,18%,hungarian_chart_template,sale,Fizetendő – 18%,percent,0.18,2,False
F5,5%,hungarian_chart_template,sale,Fizetendő – 5%,percent,0.05,2,False
FA,AAM,hungarian_chart_template,sale,Fizetendő – Alanyi Adómentes,percent,0,2,False
FT,TAM,hungarian_chart_template,sale,Fizetendő – Tárgyi Adómentes,percent,0,2,False
FF,FORD,hungarian_chart_template,sale,Fizetendő – Fordított ÁFA,percent,0,2,False
FEUO,Export,hungarian_chart_template,sale,Fizetendő – Export,percent,0,2,False
FEU,EU,hungarian_chart_template,sale,Fizetendő – EU,percent,0,2,False
V18,18%,hungarian_chart_template,purchase,Visszaigényelhető – 18%,percent,0.18,2,False
V27,27%,hungarian_chart_template,purchase,Visszaigényelhető – 27%,percent,0.27,1,False
V5,5%,hungarian_chart_template,purchase,Visszaigényelhető – 5%,percent,0.05,2,False
VA,AAM,hungarian_chart_template,purchase,Visszaigényelhető – Alanyi Adómentes,percent,0,2,False
VT,TAM,hungarian_chart_template,purchase,Visszaigényelhető – Tárgyi Adómentes,percent,0,2,False
VEU,EU,hungarian_chart_template,purchase,Visszaigényelhető – EU,percent,0,2,False
VEUO,Import,hungarian_chart_template,purchase,Visszaigényelhető – Import,percent,0,2,False
VF,FORD,hungarian_chart_template,purchase,Visszaigényelhető – Fordított ÁFA,percent,0,2,False
