"id","active","description","description@id","is_base_affected","invoice_label","type_tax_use","tax_group_id","name","amount_type","amount","fiscal_position_ids","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/use_in_tax_closing","original_tax_ids","children_tax_ids"
"tax_ST4","","VAT on Other Value Tax Base","PPN atas DPP Nilai Lain","","12%","sale","l10n_id_tax_group_non_luxury_goods","12% 11/12","percent","11.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","spt_sale_dpp_nilai_lain","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppn","","invoice","l10n_id_21221010","True","",""
"","","","","","","","","","","","","base","spt_sale_dpp_nilai_lain","","refund","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppn","","refund","l10n_id_21221010","True","",""
"tax_ST3","","Standard 12% VAT","Pajak Pertambahan Nilai","","12%","sale","l10n_id_tax_group_luxury_goods","12%","percent","12.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","spt_sale_dpp","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppn","","invoice","l10n_id_21221010","True","",""
"","","","","","","","","","","","","base","spt_sale_dpp","","refund","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppn","","refund","l10n_id_21221010","True","",""
"tax_luxury_sales","","Sales Tax on Luxury Goods (STLG)","Pajak Penjualan atas Barang Mewah","False","20%","sale","l10n_id_tax_group_stlg","20%","percent","20.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppnbm","","invoice","l10n_id_21100012","False","",""
"","","","","","","","","","","","","base","","","refund","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppnbm","","refund","l10n_id_21100012","False","",""
"tax_ST0","","VAT Not Collected","PPN Tidak Dipungut","","0%","sale","l10n_id_tax_group_not_collected","0% Not Collected","percent","11.0","l10n_id_domestic_fiscal_position","","","","","","","",""
"","","","","","","","","","","","","base","spt_sale_dpp_nilai_lain||spt_sale_facility","","invoice","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppn||spt_sale_facility","","invoice","l10n_id_21221010","True","",""
"","","","","","","","","","","","","tax","","-100","invoice","l10n_id_21221010","True","",""
"","","","","","","","","","","","","base","spt_sale_dpp_nilai_lain||spt_sale_facility","","refund","","","",""
"","","","","","","","","","","","","tax","spt_sale_ppn||spt_sale_facility","","refund","l10n_id_21221010","","",""
"","","","","","","","","","","","","tax","","-100","refund","l10n_id_21221010","","",""
"tax_ST7","","Export","Ekspor","","0%","sale","l10n_id_tax_group_0","0% Export","percent","0.0","l10n_id_foreign_trade_fiscal_position","","","","","","","tax_ST0",""
"","","","","","","","","","","","","base","spt_export","","invoice","","","",""
"","","","","","","","","","","","","tax","","","invoice","l10n_id_21221010","True","",""
"","","","","","","","","","","","","base","spt_export","","refund","","","",""
"","","","","","","","","","","","","tax","","","refund","l10n_id_21221010","","",""
"tax_ST2","","Exempt","Dibebaskan","","0%","sale","l10n_id_tax_group_exempt","0% Exempt","percent","11.0","l10n_id_domestic_fiscal_position","","","","","","","",""
