"id","name","applicability","country_id/id"
"l10n_ie_account_tag_100","Development costs","accounts","base.ie"
"l10n_ie_account_tag_101","Concessions, patents, licences, trade marks and similar rights and assets","accounts","base.ie"
"l10n_ie_account_tag_102","Goodwill","accounts","base.ie"
"l10n_ie_account_tag_103","Payments on account fixed assets","accounts","base.ie"
"l10n_ie_account_tag_110","Investment property","accounts","base.ie"
"l10n_ie_account_tag_111","Land and buildings","accounts","base.ie"
"l10n_ie_account_tag_112","Plant and machinery","accounts","base.ie"
"l10n_ie_account_tag_113","Fixtures, fittings, tools and equipment","accounts","base.ie"
"l10n_ie_account_tag_114","Payments on account and assets in course of construction","accounts","base.ie"
"l10n_ie_account_tag_120","Shares in group undertakings fixed assets","accounts","base.ie"
"l10n_ie_account_tag_121","Loans to group undertakings","accounts","base.ie"
"l10n_ie_account_tag_122","Participating interests","accounts","base.ie"
"l10n_ie_account_tag_123","Loans to undertakings in which the company has a participating interest","accounts","base.ie"
"l10n_ie_account_tag_124","Other investments other than loans","accounts","base.ie"
"l10n_ie_account_tag_125","Other loans","accounts","base.ie"
"l10n_ie_account_tag_200","Raw materials and consumables","accounts","base.ie"
"l10n_ie_account_tag_201","Work in progress","accounts","base.ie"
"l10n_ie_account_tag_202","Finished goods and goods for resale","accounts","base.ie"
"l10n_ie_account_tag_203","Payments on account current assets","accounts","base.ie"
"l10n_ie_account_tag_210","Trade debtors","accounts","base.ie"
"l10n_ie_account_tag_211","Amounts owed by group undertakings","accounts","base.ie"
"l10n_ie_account_tag_212","Amounts owed by undertakings in which the company has a participating interest","accounts","base.ie"
"l10n_ie_account_tag_213","Other debtors","accounts","base.ie"
"l10n_ie_account_tag_214","Called up share capital not paid","accounts","base.ie"
"l10n_ie_account_tag_215","Prepayments","accounts","base.ie"
"l10n_ie_account_tag_216","Accrued income","accounts","base.ie"
"l10n_ie_account_tag_220","Shares in group undertakings current assets","accounts","base.ie"
"l10n_ie_account_tag_221","Other investments","accounts","base.ie"
"l10n_ie_account_tag_23","Cash at bank and in hand","accounts","base.ie"
"l10n_ie_account_tag_30","Debenture loans due within one year","accounts","base.ie"
"l10n_ie_account_tag_31","Amounts owed to credit institutions due within one year","accounts","base.ie"
"l10n_ie_account_tag_32","Called-up share capital presented as a liability due within one year","accounts","base.ie"
"l10n_ie_account_tag_33","Payments received on account due within one year","accounts","base.ie"
"l10n_ie_account_tag_34","Trade creditors due within one year","accounts","base.ie"
"l10n_ie_account_tag_35","Bills of exchange payable due within one year","accounts","base.ie"
"l10n_ie_account_tag_36","Amounts owed to group undertakings due within one year","accounts","base.ie"
"l10n_ie_account_tag_37","Amounts owed to undertakings with which the company is linked by virtue of participating interests due within one year","accounts","base.ie"
"l10n_ie_account_tag_38","Other creditors including tax and social insurance due within one year","accounts","base.ie"
"l10n_ie_account_tag_39","Deferred income to be recognized within one year","accounts","base.ie"
"l10n_ie_account_tag_40","Debenture loans due and payable after more than one year","accounts","base.ie"
"l10n_ie_account_tag_41","Amounts owed to credit institutionsdue and payable after more than one year","accounts","base.ie"
"l10n_ie_account_tag_42","Called-up share capital presented as a liability due after more than one year","accounts","base.ie"
"l10n_ie_account_tag_43","Payments received after more than one year","accounts","base.ie"
"l10n_ie_account_tag_44","Trade creditors after more than one year","accounts","base.ie"
"l10n_ie_account_tag_45","Bills of exchange payable after more than one year","accounts","base.ie"
"l10n_ie_account_tag_46","Amounts owed to group undertakings due after more than one year","accounts","base.ie"
"l10n_ie_account_tag_47","Amounts owed to undertakings with which the company is linked by virtue of participating interests due after more than one year","accounts","base.ie"
"l10n_ie_account_tag_48","Other creditors including tax and social insurance due after more than one year","accounts","base.ie"
"l10n_ie_account_tag_49","Deferred income to be recognized after more than one year","accounts","base.ie"
"l10n_ie_account_tag_500","Retirement benefit and similar obligations","accounts","base.ie"
"l10n_ie_account_tag_501","Taxation, including deferred taxation","accounts","base.ie"
"l10n_ie_account_tag_502","Other provisions for liabilities","accounts","base.ie"
"l10n_ie_account_tag_510","Called-up share capital presented as equity","accounts","base.ie"
"l10n_ie_account_tag_511","Share premium account","accounts","base.ie"
"l10n_ie_account_tag_512","Revaluation reserve","accounts","base.ie"
"l10n_ie_account_tag_5130","Other undenominated capital","accounts","base.ie"
"l10n_ie_account_tag_5131","Reserve for own shares held","accounts","base.ie"
"l10n_ie_account_tag_5132","Reserves provided for by the constitution","accounts","base.ie"
