id,country_id:id,code,name
state_ie_1,base.ie,CW,Carlow
state_ie_2,base.ie,CN,Cavan
state_ie_3,base.ie,CE,Clare
state_ie_4,base.ie,C,Cork
state_ie_5,base.ie,LK,Limerick
state_ie_6,base.ie,WD,Waterford
state_ie_7,base.ie,DL,Donegal
state_ie_8,base.ie,D,Dublin
state_ie_9,base.ie,G,Galway
state_ie_10,base.ie,KY,Kerry
state_ie_11,base.ie,KE,Kildare
state_ie_12,base.ie,KK,Kilkenny
state_ie_13,base.ie,LS,Laois
state_ie_14,base.ie,LM,Leitrim
state_ie_15,base.ie,LD,Longford
state_ie_16,base.ie,LH,Louth
state_ie_17,base.ie,MO,Mayo
state_ie_18,base.ie,MH,Meath
state_ie_19,base.ie,MN,Monaghan
state_ie_20,base.ie,OY,Offaly
state_ie_21,base.ie,RN,Roscommon
state_ie_22,base.ie,SO,Sligo
state_ie_23,base.ie,TR,Tipperary
state_ie_24,base.ie,WH,Westmeath
state_ie_25,base.ie,WX,Wexford
state_ie_26,base.ie,WW,Wicklow
state_ie_27,base.ie,AM,Antrim
state_ie_28,base.ie,AH,Armagh
state_ie_29,base.ie,DN,Down
state_ie_30,base.ie,FH,Fermanagh
state_ie_31,base.ie,LY,Londonderry
state_ie_32,base.ie,TE,Tyrone
