id,code_prefix_start,code_prefix_end,name,chart_template_id/id
il_group_100100,100100,100499,"רכוש קבוע",l10n_il.il_chart_template
il_group_101110,101110,101400,"רכוש שוטף",l10n_il.il_chart_template
il_group_101401,101401,101799,"בנק ומזומנים",l10n_il.il_chart_template
il_group_111000,111000,111999,"התחייבויות שוטפות",l10n_il.il_chart_template
il_group_112000,112000,112210,"התחייבויות זמן ארוך",l10n_il.il_chart_template
il_group_200000,200000,200199,"הכנסות ממכירות",l10n_il.il_chart_template
il_group_200200,200200,200300,"הכנסות אחרות",l10n_il.il_chart_template
il_group_201000,201000,201299,"עלות המכר",l10n_il.il_chart_template
il_group_202000,202000,220900,"הוצאות",l10n_il.il_chart_template
il_group_300000,300000,399999,"הון ומניות",l10n_il.il_chart_template
