"id","name","country_id","auto_apply","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@he_IL"
"account_fiscal_position_israel","Israel","base.il","1","","","ישראל"
"account_fiscal_position_palestinian_authority","Palestinian Authority (PA)","base.ps","1","il_vat_sales_18","il_vat_pa_sales_18","הרשות הפלסטינית"
"","","","","il_vat_inputs_18","il_vat_pa_purchase_16",""
"account_fiscal_position_import_export","Import / Export","","1","il_vat_sales_18","il_vat_sales_exempt","ייבוא \ ייצוא"
"","","","","il_vat_inputs_18","il_vat_purchase_exempt",""
"account_fiscal_position_eilat","Eilat","","","il_vat_sales_18","il_vat_sales_exempt","אילת"
"","","","","il_vat_inputs_18","il_vat_purchase_exempt",""
"account_fiscal_position_vat_zero","Vat Zero","","","il_vat_sales_18","il_vat_sales_zero","מע""מ אפס"
"","","","","il_vat_inputs_18","il_vat_purchase_zero",""
"account_fiscal_position_self_invoice","Self Invoice","","","il_vat_inputs_18","il_vat_self_inv_purchase_18","חשבונית עצמית"
