"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@he_IL","price_include_override"
"il_vat_sales_18","1","VAT Sales","18%","18%","18.0","percent","sale","tax_group_vat_18","base","invoice","+VAT SALES (BASE)","","","מע""מ עסקאות",""
"","","","","","","","","","tax","invoice","+VAT Sales","il_account_111110","","",""
"","","","","","","","","","base","refund","-VAT SALES (BASE)","","","",""
"","","","","","","","","","tax","refund","-VAT Sales","il_account_111110","","",""
"il_vat_pa_sales_18","8","VAT PA Sales","18%","18% PA","18.0","percent","sale","tax_group_vat_18","base","invoice","+VAT SALES (BASE)","","","מע""מ עסקאות- פלסטין",""
"","","","","","","","","","tax","invoice","+VAT PA Sales","il_account_111120","","",""
"","","","","","","","","","base","refund","-VAT SALES (BASE)","","","",""
"","","","","","","","","","tax","refund","-VAT PA Sales","il_account_111120","","",""
"il_vat_sales_exempt","9","VAT exempt sales","0%","0% EXEMPT","0.0","percent","sale","tax_group_vat_exempt","base","invoice","+VAT Exempt Sales (BASE)","","","מע""מ עסקאות פטורות","tax_included"
"","","","","","","","","","tax","invoice","","il_account_111110","","",""
"","","","","","","","","","base","refund","-VAT Exempt Sales (BASE)","","","",""
"","","","","","","","","","tax","refund","","il_account_111110","","",""
"il_vat_self_inv_purchase_18","10","Self Invoice","18%","18% Self","18.0","percent","purchase","tax_group_vat_18","base","invoice","+VAT SALES (BASE)","","100","חשבונית עצמית",""
"","","","","","","","","","tax","invoice","+VAT Inputs 18%","il_account_101310","100","",""
"","","","","","","","","","tax","invoice","-VAT Sales","il_account_111110","-100","",""
"","","","","","","","","","base","refund","-VAT SALES (BASE)","","","",""
"","","","","","","","","","tax","refund","-VAT Inputs 18%","il_account_101310","100","",""
"","","","","","","","","","tax","refund","+VAT Sales","il_account_111110","-100","",""
"il_vat_inputs_18","2","VAT inputs","18%","18%","18.0","percent","purchase","tax_group_vat_18","base","invoice","","","","מע""מ תשומות",""
"","","","","","","","","","tax","invoice","+VAT Inputs 18%","il_account_101310","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","-VAT Inputs 18%","il_account_101310","","",""
"il_vat_pa_purchase_16","3","VAT 16% (PA)","16%","16% PA","16.0","percent","purchase","tax_group_vat_16","base","invoice","","","","מע""מ תשומות 16%",""
"","","","","","","","","","tax","invoice","+VAT Inputs PA 16%","il_account_101340","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","-VAT Inputs PA 16%","il_account_101340","","",""
"il_vat_inputs_2_3_18","4","VAT Inputs 2/3","18%","18% 2/3","18.0","percent","purchase","tax_group_vat_18","base","invoice","","","","מע""מ תשומות 2/3",""
"","","","","","","","","","tax","invoice","+VAT Inputs 2/3","il_account_101310","66.67","",""
"","","","","","","","","","tax","invoice","","","33.33","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","-VAT Inputs 2/3","il_account_101310","66.67","",""
"","","","","","","","","","tax","refund","","","33.33","",""
"il_vat_inputs_1_4_18","5","VAT Inputs 1/4","18%","18% 1/4","18.0","percent","purchase","tax_group_vat_18","base","invoice","","","","מע""מ תשומות 1/4",""
"","","","","","","","","","tax","invoice","+VAT Inputs 1/4","il_account_101310","75","",""
"","","","","","","","","","tax","invoice","","","25","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","-VAT Inputs 1/4","il_account_101310","75","",""
"","","","","","","","","","tax","refund","","","25","",""
"il_vat_inputs_fa_18","6","VAT inputs for fixed assets","18%","18% F A","18.0","percent","purchase","tax_group_vat_18","base","invoice","","","","מע""מ תשומות לרכוש קבוע",""
"","","","","","","","","","tax","invoice","+VAT INPUTS (fixed assets)","il_account_101320","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","-VAT INPUTS (fixed assets)","il_account_101320","","",""
"il_vat_purchase_exempt","7","VAT exempt purchase","0%","0% EXEMPT","0.0","percent","purchase","tax_group_vat_exempt_purchase","base","invoice","","","","מע""מ תשומות פטורות",""
"","","","","","","","","","tax","invoice","","il_account_101310","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","il_account_101310","","",""
"il_vat_only_purchase_18","18","VAT Import Line","VAT Import Line","100% EX (18%)","100.0","division","purchase","tax_group_vat_18","base","invoice","","","","שורת מע""מ ייבוא",""
"","","","","","","","","","tax","invoice","+VAT Inputs 18%","il_account_101840","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","-VAT Inputs 18%","il_account_101840","","",""
"il_vat_purchase_zero","7","VAT Zero","0%","0%","0.0","percent","purchase","tax_group_vat_exempt_purchase","base","invoice","","","","מע""מ אפס",""
"","","","","","","","","","tax","invoice","","il_account_101310","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","il_account_101310","","",""
"il_vat_sales_zero","9","VAT Zero","0%","0%","0.0","percent","sale","tax_group_vat_exempt","base","invoice","+VAT Exempt Sales (BASE)","","","מע""מ אפס","tax_included"
"","","","","","","","","","tax","invoice","","il_account_111110","","",""
"","","","","","","","","","base","refund","-VAT Exempt Sales (BASE)","","","",""
"","","","","","","","","","tax","refund","","il_account_111110","","",""
