"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_in_reverse_charge_intra","Reverse charge Intra State","sgst_purchase_consu_1","sgst_purchase_consu_1_rc"
"","","sgst_sale_18","sgst_sale_18_rc"
"","","sgst_purchase_consu_2","sgst_purchase_consu_2_rc"
"","","sgst_purchase_consu_5","sgst_purchase_consu_5_rc"
"","","sgst_purchase_consu_12","sgst_purchase_consu_12_rc"
"","","sgst_purchase_consu_18","sgst_purchase_consu_18_rc"
"","","sgst_purchase_consu_28","sgst_purchase_consu_28_rc"
"","","sgst_purchase_service_1","sgst_purchase_service_1_rc"
"","","sgst_purchase_service_2","sgst_purchase_service_2_rc"
"","","sgst_purchase_service_5","sgst_purchase_service_5_rc"
"","","sgst_purchase_service_12","sgst_purchase_service_12_rc"
"","","sgst_purchase_service_18","sgst_purchase_service_18_rc"
"","","sgst_purchase_service_28","sgst_purchase_service_28_rc"
"fiscal_position_in_reverse_charge_inter","Reverse charge Inter State","sgst_purchase_consu_1","igst_purchase_consu_1_rc"
"","","sgst_sale_18","igst_sale_18_rc"
"","","sgst_purchase_consu_2","igst_purchase_consu_2_rc"
"","","sgst_purchase_consu_5","igst_purchase_consu_5_rc"
"","","sgst_purchase_consu_12","igst_purchase_consu_12_rc"
"","","sgst_purchase_consu_18","igst_purchase_consu_18_rc"
"","","sgst_purchase_consu_28","igst_purchase_consu_28_rc"
"","","sgst_purchase_service_1","igst_purchase_service_1_rc"
"","","sgst_purchase_service_2","igst_purchase_service_2_rc"
"","","sgst_purchase_service_5","igst_purchase_service_5_rc"
"","","sgst_purchase_service_12","igst_purchase_service_12_rc"
"","","sgst_purchase_service_18","igst_purchase_service_18_rc"
"","","sgst_purchase_service_28","igst_purchase_service_28_rc"
