"id","name","description","invoice_label","type_tax_use","l10n_in_tax_type","amount_type","amount","tax_scope","active","tax_group_id","is_base_affected","include_base_amount","children_tax_ids","formula","sequence","l10n_in_reverse_charge","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","fiscal_position_ids","original_tax_ids","l10n_in_is_lut","is_withholding_tax"
"sgst_sale_2_5","2.5% SGST S","SGST","SGST 2.5%","none","gst","percent","2.5","","False","sgst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11232","l10n_in.tax_tag_sgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11232","l10n_in.tax_tag_sgst","","","",""
"cgst_sale_2_5","2.5% CGST S","CGST","CGST 2.5%","none","gst","percent","2.5","","False","cgst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11233","l10n_in.tax_tag_cgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11233","l10n_in.tax_tag_cgst","","","",""
"sgst_sale_5","5% GST S","GST","GST 5%","sale","","group","5.0","","False","gst_group","","","sgst_sale_2_5,cgst_sale_2_5","","","","","","","","","","","",""
"sgst_sale_9","9% SGST S","SGST","SGST 9%","none","gst","percent","9.0","","False","sgst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11232","l10n_in.tax_tag_sgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11232","l10n_in.tax_tag_sgst","","","",""
"cgst_sale_9","9% CGST S","CGST","CGST 9%","none","gst","percent","9.0","","False","cgst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11233","l10n_in.tax_tag_cgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11233","l10n_in.tax_tag_cgst","","","",""
"sgst_sale_18","18% GST S","GST","GST 18%","sale","","group","18.0","","False","gst_group","","","sgst_sale_9,cgst_sale_9","","","","","","","","","","","",""
"sgst_sale_20","20% SGST S","SGST","SGST 20%","none","gst","percent","20.0","","False","sgst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11232","l10n_in.tax_tag_sgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11232","l10n_in.tax_tag_sgst","","","",""
"cgst_sale_20","20% CGST S","CGST","CGST 20%","none","gst","percent","20.0","","False","cgst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11233","l10n_in.tax_tag_cgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11233","l10n_in.tax_tag_cgst","","","",""
"sgst_sale_40","40% GST S","GST","GST 40%","sale","","group","40.0","","False","gst_group","","","sgst_sale_20,cgst_sale_20","","","","","","","","","","","",""
"sgst_purchase_2_5","2.5% SGST P","SGST","SGST 2.5%","none","gst","percent","2.5","","False","sgst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10051","l10n_in.tax_tag_sgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10051","l10n_in.tax_tag_sgst","","","",""
"cgst_purchase_2_5","2.5% CGST P","CGST","CGST 2.5%","none","gst","percent","2.5","","False","cgst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10052","l10n_in.tax_tag_cgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10052","l10n_in.tax_tag_cgst","","","",""
"sgst_purchase_5","5% GST P","GST","GST 5%","purchase","","group","5.0","","False","gst_group","","","sgst_purchase_2_5,cgst_purchase_2_5","","","","","","","","","","","",""
"sgst_purchase_9","9% SGST P","SGST","SGST 9%","none","gst","percent","9.0","","False","sgst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10051","l10n_in.tax_tag_sgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10051","l10n_in.tax_tag_sgst","","","",""
"cgst_purchase_9","9% CGST P","CGST","CGST 9%","none","gst","percent","9.0","","False","cgst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10052","l10n_in.tax_tag_cgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10052","l10n_in.tax_tag_cgst","","","",""
"sgst_purchase_18","18% GST P","GST","GST 18%","purchase","","group","18.0","","False","gst_group","","","sgst_purchase_9,cgst_purchase_9","","","","","","","","","","","",""
"sgst_purchase_20","20% SGST P","SGST","SGST 20%","none","gst","percent","20","","False","sgst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10051","l10n_in.tax_tag_sgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_sgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10051","l10n_in.tax_tag_sgst","","","",""
"cgst_purchase_20","20% CGST P","CGST","CGST 20%","none","gst","percent","20","","False","cgst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10052","l10n_in.tax_tag_cgst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_cgst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10052","l10n_in.tax_tag_cgst","","","",""
"sgst_purchase_40","40% GST P","GST","GST 40%","purchase","","group","40.0","","False","gst_group","","","sgst_purchase_20,cgst_purchase_20","","","","","","","","","","","",""
"igst_sale_5","5% IGST S","IGST","IGST 5%","sale","gst","percent","5.0","","False","igst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_igst","","sgst_sale_5","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11234","l10n_in.tax_tag_igst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_igst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11234","l10n_in.tax_tag_igst","","","",""
"igst_sale_18","18% IGST S","IGST","IGST 18%","sale","gst","percent","18.0","","False","igst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_igst","","sgst_sale_18","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11234","l10n_in.tax_tag_igst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_igst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11234","l10n_in.tax_tag_igst","","","",""
"igst_sale_40","40% IGST S","IGST","IGST 40%","sale","gst","percent","40.0","","False","igst_group","False","True","","","","","","base","invoice","","l10n_in.tax_tag_base_igst","","sgst_sale_40","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p11234","l10n_in.tax_tag_igst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_igst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p11234","l10n_in.tax_tag_igst","","","",""
"igst_purchase_5","5% IGST P","IGST","IGST 5%","purchase","gst","percent","5.0","","False","igst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_igst","","sgst_purchase_5","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10053","l10n_in.tax_tag_igst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_igst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10053","l10n_in.tax_tag_igst","","","",""
"igst_purchase_18","18% IGST P","IGST","IGST 18%","purchase","gst","percent","18.0","","False","igst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_igst","","sgst_purchase_18","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10053","l10n_in.tax_tag_igst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_igst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10053","l10n_in.tax_tag_igst","","","",""
"igst_purchase_40","40% IGST P","IGST","IGST 40%","purchase","gst","percent","40.0","","False","igst_group","","","","","","","","base","invoice","","l10n_in.tax_tag_base_igst","","sgst_purchase_40","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","p10053","l10n_in.tax_tag_igst","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","l10n_in.tax_tag_base_igst","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","p10053","l10n_in.tax_tag_igst","","","",""
"exempt_sale","0% Exempt","Exempt","Exempt","sale","exempt","percent","0.0","","False","exempt_group","","","","","","","","base","invoice","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","","","","","","","","tax","refund","","","","","",""
