"id","code_prefix_start","code_prefix_end","name","name@ar_001"
"iq_group_01","1000","1000","Liquidity","السيولة"
"iq_group_02","1001","1001","Liquidity","السيولة"
"iq_group_03","1002","1002","Receivables","الحسابات المدينة"
"iq_group_04","1003","1003","Deposits","الإيداعات"
"iq_group_05","1004","1004","Prepaid Expenses","النفقات مسبقة الدفع"
"iq_group_06","1005","1005","Inventory","المخزون"
"iq_group_07","1006","1006","Company Assets & Depreciation","أصول الشركة والإهلاك"
"iq_group_08","1007","1007","Licensing and Copyrights","الترخيص وحقوق النشر"
"iq_group_09","1008","1008","IFRS16 Assets & Depreciation","أصول IFRS16 والإهلاك"
"iq_group_10","1009","1009","Liquidity","السيولة"
"iq_group_11","2001","2001","Payables","الحسابات الدائنة"
"iq_group_12","2002","2002","Accrued Employee Expenses","نفقات الموظفين المستحقة"
"iq_group_13","2003","2003","Accrued Expenses","النفقات المستحقة"
"iq_group_14","2004","2004","Deferrals","التأجيلات"
"iq_group_15","2005","2005","Provisions","الأحكام"
"iq_group_16","2009","2009","VAT","ضريبة القيمة المضافة"
"iq_group_17","2010","2010","Withholding","الاستقطاع"
"iq_group_18","4001","4001","Operating Income","الإيرادات التشغيلية"
"iq_group_19","4002","4002","Non-Operating Income","الإيرادات غير التشغيلية"
"iq_group_20","4003","4003","Other gains & losses - Other Income","المكاسب والخسائر الأخرى - إيرادات أخرى"
"iq_group_21","5001","5001","Cost of Sales","تكلفة المبيعات"
"iq_group_22","5002","5002","Employees Expenses","مصروفات الموظفين"
"iq_group_23","5003","5003","Payroll Expenses","مصروفات الرواتب"
"iq_group_24","5004","5004","Office and Location Expenses","نفقات المكتب والموقع"
"iq_group_25","5005","5005","Company Expenses","مصروفات الشركة"
"iq_group_26","500600","500649","Finance Expenses","المصروفات المالية"
"iq_group_27","500650","500699","Income Tax","ضريبة الدخل"
"iq_group_28","5007","5007","Misc. Company Expenses","متفرقات. مصروفات الشركة"
"iq_group_29","500800","500849","Assets Depreciation Expenses","مصروفات استهلاك الأصول"
"iq_group_30","500851","500899","IFRS16 Depreciation","IFRS16 الإهلاك"
"iq_group_31","5009","5009","Other gains & losses - Expenses","الأرباح والخسائر الأخرى - المصروفات"
"iq_group_32","5011","5011","Misc. Office Expenses","متفرقات. نفقات مكتبية"
