id,name,bic,country/id,zip,city,street,email,phone
bank_ir_55,Bank Eghtesad-e-Novin,55,base.ir,,,,,
bank_ir_59,Bank Ansar,59,base.ir,,,,,
bank_ir_18,Bank Tejarat,18,base.ir,,,,,
bank_ir_51,Cooperative Development Bank,51,base.ir,,,,,
bank_ir_20,Export Development Bank,20,base.ir,,,,,
bank_ir_60,Bank Day,63,base.ir,,,,,
bank_ir_13,Bank Refah,13,base.ir,,,,,
bank_ir_56,Bank Saman,56,base.ir,,,,,
bank_ir_58,Bank Sarmaye,58,base.ir,,,,,
bank_ir_15,Bank Sepah,15,base.ir,,,,,
bank_ir_61,Bank Sina,61,base.ir,,,,,
bank_ir_62,Bank Shahr,62,base.ir,,,,,
bank_ir_19,Bank Saderat Iran,19,base.ir,,,,,
bank_ir_11,Bank Sanaat o Maadan,11,base.ir,,,,,
bank_ir_14,Bank Maskan,14,base.ir,,,,,
bank_ir_12,Bank Mellat,12,base.ir,,,,,
bank_ir_17,Bank Melli,17,base.ir,,,,,
bank_ir_54,Bank Parsian,54,base.ir,,,,,
bank_ir_57,Bank Pasargad,57,base.ir,,,,,
bank_ir_53,Bank Karafarin,53,base.ir,,,,,
bank_ir_16,Bank Keshavarzi,16,base.ir,,,,,
bank_ir_63,Bank Mellal,63,base.ir,,,,,
bank_ir_21,Post Bank Iran,21,base.ir,,,,,
