id,code,date_start,date_stop,name
014100,014100,2004-11-25,9999-12-31,UD FOGGIA SEZIONE OPERATIVA CENTRALE 
014101,014101,2004-11-25,9999-12-31,UD FOGGIA SOT MANFREDONIA 
015100,015100,2005-11-03,9999-12-31,UD BRINDISI SEZIONE OPERATIVA CENTRALE 
016100,016100,2005-11-03,9999-12-31,UD LECCE SEZIONE OPERATIVA CENTRALE 
016101,016101,2005-11-03,9999-12-31,UD LECCE SOT GALLIPOLI 
016102,016102,2005-11-03,9999-12-31,UD LECCE SOT OTRANTO 
017100,017100,2006-06-28,9999-12-31,UD TARANTO SEZIONE OPERATIVA CENTRALE 
018100,018100,2006-11-16,9999-12-31,UD BARI SEZIONE OPERATIVA CENTRALE 
018102,018102,2006-11-16,9999-12-31,UD BARI SOT BARLETTA 
018103,018103,2006-11-16,9999-12-31,UD BARI SOT TRANI 
018104,018104,2006-11-16,9999-12-31,UD BARI SOT MOLFETTA  
018105,018105,2006-11-16,9999-12-31,UD BARI SOT MONOPOLI 
018106,018106,2009-12-15,9999-12-31,UD BARI SOT INTERPORTO DI BARI 
019100,019100,2006-12-28,9999-12-31,UD POTENZA SEZIONE OPERATIVA CENTRALE 
019101,019101,2006-12-28,9999-12-31,UD POTENZA SOT FERRANDINA 
019102,019102,2006-12-28,9999-12-31,UD POTENZA SOT MATERA 
022300,022300,2002-06-07,9999-12-31,UD REGGIO EMILIA SEZIONE OPERATIVA CENTRALE 
024100,024100,2004-12-16,9999-12-31,UD FORLI' CESENA SEZIONE OPERATIVA CENTRALE 
024101,024101,2004-12-16,9999-12-31,UD FORLI' CESENA SOT CESENA 
025100,025100,2005-06-16,9999-12-31,UD MODENA SEZIONE OPERATIVA CENTRALE 
025101,025101,2005-06-16,2013-04-09,UD MODENA SOT CARPI (SOPPRESSA 1.03.2012) 
026100,026100,2005-10-27,9999-12-31,UD RIMINI SEZIONE OPERATIVA CENTRALE 
026101,026101,2005-10-27,9999-12-31,UD RIMINI SOT AEROPORTO MIRAMARE F.FELLINI 
027100,027100,2005-12-22,9999-12-31,UD FERRARA SEZIONE OPERATIVA CENTRALE 
027101,027101,2010-06-03,9999-12-31,UD FERRARA SOT PORTO GARIBALDI (SOPPRESSO 01.05.2012)  
028100,028100,2006-10-19,9999-12-31,UD PARMA SEZIONE OPERATIVA CENTRALE 
029100,029100,2006-10-19,9999-12-31,UD PIACENZA SEZIONE OPERATIVA CENTRALE 
034101,034101,2005-07-14,9999-12-31,UD BOLZANO SOT RESIA 
034102,034102,2005-07-14,9999-12-31,UD BOLZANO SOT AEROPORTO SAN GIACOMO 
034103,034103,2005-07-14,9999-12-31,UD BOLZANO SOT MM.GG.BOLZANO 
034104,034104,2005-07-14,9999-12-31,UD BOLZANO SOT BRESSANONE 
034105,034105,2005-07-14,9999-12-31,UD BOLZANO SOT BRUNICO 
034106,034106,2005-07-14,9999-12-31,UD BOLZANO SOT CAMPO DI TRENS-FREIENFELD 
034107,034107,2005-07-14,9999-12-31,UD BOLZANO SOT MERANO 
034108,034108,2005-07-14,9999-12-31,UD BOLZANO SOT TUBRE 
035100,035100,2005-07-14,9999-12-31,UD TRENTO SEZIONE OPERATIVA CENTRALE 
035101,035101,2005-07-14,9999-12-31,UD TRENTO SOT RONCAFORT 
043100,043100,2002-10-17,9999-12-31,UD SASSARI SEZIONE OPERATIVA CENTRALE 
043101,043101,2002-10-17,9999-12-31,UD SASSARI SOT PORTO TORRES 
043102,043102,2002-10-17,9999-12-31,UD SASSARI SOT ALGHERO 
043103,043103,2002-10-17,9999-12-31,UD SASSARI SOT LA MADDALENA 
043104,043104,2002-10-17,9999-12-31,UD SASSARI SOT OLBIA 
044100,044100,2006-07-20,9999-12-31,UD CAGLIARI SEZIONE OPERATIVA CENTRALE 
044101,044101,2006-07-20,9999-12-31,UD CAGLIARI SOT AEROPORTO ELMAS 
044102,044102,2006-07-20,9999-12-31,UD CAGLIARI SOT ARBATAX 
044103,044103,2006-07-20,9999-12-31,UD CAGLIARI SOT PORTO DI ORISTANO 
044104,044104,2006-07-20,9999-12-31,UD CAGLIARI SOT PORTOVESME 
044105,044105,2006-07-20,2012-08-31,UD CAGLIARI SOT SARROCH 
044106,044106,2012-09-01,9999-12-31,UD CAGLIARI SOT PORTO CANALE DI CAGLIARI 
051200,051200,2002-06-07,9999-12-31,UD AREZZO SEZIONE OPERATIVA CENTRALE  
051201,051201,2002-06-07,9999-12-31,UD AREZZO SOT SIENA 
054100,054100,2003-10-14,9999-12-31,UD PISA SEZIONE OPERATIVA CENTRALE 
054101,054101,2006-07-03,9999-12-31,UD PISA SOT AEROPORTO DI PISA 
054102,054102,2003-10-14,9999-12-31,UD PISA SOT VIAREGGIO 
054103,054103,2003-10-14,9999-12-31,UD PISA SOT LUCCA 
054104,054104,2003-10-14,9999-12-31,UD PISA SOT MARINA DI CARRARA 
055100,055100,2003-11-03,9999-12-31,UD LIVORNO SEZIONE OPERATIVA CENTRALE 
055101,055101,2003-11-03,9999-12-31,UD LIVORNO SOT PIOMBINO 
055102,055102,2003-11-03,9999-12-31,UD LIVORNO SOT PORTOFERRAIO 
055103,055103,2003-11-03,9999-12-31,UD LIVORNO SOT GROSSETO 
056100,056100,2004-07-19,9999-12-31,UD PRATO E PISTOIA SEZIONE OPERATIVA CENTRALE 
056101,056101,2004-07-19,2013-07-31,UD PRATO SOT MONTALE (SOPPRESSA IL 01.08.2013) 
057100,057100,2004-07-19,9999-12-31,UD FIRENZE SEZIONE OPERATIVA CENTRALE 
066100,066100,2003-10-01,9999-12-31,UD SAVONA SEZIONE OPERATIVA CENTRALE 
066102,066102,2003-10-01,9999-12-31,UD SAVONA SOT ALBENGA 
067100,067100,2004-11-29,9999-12-31,UD IMPERIA SEZIONE OPERATIVA CENTRALE 
067101,067101,2004-11-29,9999-12-31,UD IMPERIA SOT SANREMO 
067102,067102,2004-11-29,9999-12-31,UD IMPERIA SOT VENTIMIGLIA 
068100,068100,2004-12-02,9999-12-31,UD LA SPEZIA SEZIONE OPERATIVA CENTRALE 
069101,069101,2006-12-06,9999-12-31,UD GENOVA SOT AEROPORTO  
069102,069102,2006-12-06,9999-12-31,UD GENOVA SOT PASSO NUOVO 
075130,075130,2002-06-07,9999-12-31,ORIA VALSOLDA CENTRALE (SOPPRESSA IL 18.10.2007) 
079100,079100,2004-09-06,9999-12-31,UD MANTOVA SEZIONE OPERATIVA CENTRALE 
084100,084100,2004-09-20,9999-12-31,UD SALERNO SEZIONE OPERATIVA CENTRALE 
085100,085100,2005-11-17,9999-12-31,UD CATANZARO SEZIONE OPERATIVA CENTRALE 
085101,085101,2005-11-17,9999-12-31,UD CATANZARO SOT AEROPORTO LAMEZIA TERME 
085102,085102,2005-11-17,9999-12-31,UD CATANZARO SOT COSENZA 
085103,085103,2005-11-17,9999-12-31,UD CATANZARO SOT CROTONE 
085104,085104,2007-06-01,9999-12-31,UD CATANZARO SOT CORIGLIANO CALABRO 
086100,086100,2005-11-17,9999-12-31,UD GIOIA TAURO SEZIONE OPERATIVA CENTRALE 
087100,087100,2005-11-17,9999-12-31,UD REGGIO CALABRIA SEZIONE OPERATIVA CENTRALE 
087102,087102,2005-11-17,9999-12-31,UD REGGIO CALABRIA SOT VIBO VALENTIA 
088100,088100,2006-07-27,9999-12-31,UD CASERTA SEZIONE OPERATIVA CENTRALE 
089100,089100,2006-12-12,9999-12-31,UD BENEVENTO SEZIONE OPERATIVA CENTRALE 
089101,089101,2006-12-12,9999-12-31,UD BENEVENTO SOT AVELLINO 
096100,096100,2002-10-22,9999-12-31,UD PORTO EMPEDOCLE SEZIONE OPERATIVA CENTRALE 
096101,096101,2002-10-22,9999-12-31,UD PORTO EMPEDOCLE SOT GELA 
096104,096104,2002-10-22,9999-12-31,UD PORTO EMPEDOCLE SOT LAMPEDUSA 
096105,096105,2004-10-01,9999-12-31,UD PORTO EMPEDOCLE SOT CALTANISSETTA 
097100,097100,2002-10-22,9999-12-31,UD TRAPANI SEZIONE OPERATIVA CENTRALE 
097101,097101,2002-10-22,9999-12-31,UD TRAPANI SOT MARSALA 
097102,097102,2002-10-22,9999-12-31,UD TRAPANI SOT MAZARA DEL VALLO 
097104,097104,2002-10-22,9999-12-31,UD TRAPANI SOT PANTELLERIA 
098100,098100,2003-07-31,9999-12-31,UD MESSINA SEZIONE OPERATIVA CENTRALE 
098101,098101,2003-07-31,9999-12-31,UD MESSINA SOT MILAZZO 
098102,098102,2003-07-31,9999-12-31,UD MESSINA SOT GIARDINI NAXOS 
098103,098103,2003-07-31,9999-12-31,UD MESSINA SOT LIPARI 
098104,098104,2006-12-20,9999-12-31,UD MESSINA SOT SANTA AGATA DI MILITELLO 
099100,099100,2006-10-12,9999-12-31,UD SIRACUSA SEZIONE OPERATIVA CENTRALE 
099101,099101,2006-10-12,9999-12-31,UD SIRACUSA SOT AUGUSTA 
099102,099102,2006-10-12,9999-12-31,UD SIRACUSA SOT POZZALLO 
099103,099103,2006-10-12,9999-12-31,UD SIRACUSA SOT RAGUSA 
105100,105100,2003-08-04,9999-12-31,UD GAETA SEZIONE OPERATIVA CENTRALE 
105101,105101,2003-08-04,9999-12-31,UD GAETA SOT APRILIA 
105104,105104,2003-08-04,9999-12-31,UD GAETA SOT LATINA 
106100,106100,2003-11-17,2012-05-01,UD AVEZZANO SEZIONE OPERATIVA CENTRALE 
106101,106101,2003-11-17,2012-05-01,UD AVEZZANO SOT L'AQUILA 
107100,107100,2004-11-22,9999-12-31,UD PERUGIA SEZIONE OPERATIVA CENTRALE 
107103,107103,2011-01-01,9999-12-31,UD PERUGIA SOT TERNI 
108100,108100,2004-11-22,2010-12-31,UD TERNI SEZIONE OPERATIVA CENTRALE 
108101,108101,2004-11-22,2010-12-31,UD TERNI SOT RIETI 
116100,116100,2002-06-07,9999-12-31,UD BIELLA SEZIONE OPERATIVA CENTRALE 
116101,116101,2002-06-07,9999-12-31,UD BIELLA SOT MM.GG. SAIMA AVANDERO 
117100,117100,2002-06-07,9999-12-31,UD VERCELLI SEZIONE OPERATIVA CENTRALE 
117101,117101,2002-06-07,9999-12-31,UD VERCELLI SOT MM.GG. DOGANALI VERCELLI 
117102,117102,2002-06-07,9999-12-31,UD VERCELLI SOT MM.GG. DEI TRAFORI 
118100,118100,2004-09-01,9999-12-31,UD AOSTA SEZIONE OPERATIVA CENTRALE 
119100,119100,2004-12-13,9999-12-31,UD VERBANO-CUSIO-OSSOLA SEZIONE OPERATIVA CENTRALE 
126100,126100,2003-07-21,9999-12-31,UD PORDENONE SEZIONE OPERATIVA CENTRALE 
127100,127100,2005-11-24,9999-12-31,UD GORIZIA SEZIONE OPERATIVA CENTRALE 
127101,127101,2005-11-24,9999-12-31,UD GORIZIA SOT MONFALCONE 
127102,127102,2005-11-24,9999-12-31,UD GORIZIA SOT RONCHI DEI LEGIONARI - AEROPORTO GIULIANO 
128101,128101,2006-12-14,9999-12-31,UD UDINE SOT PONTEBBA 
128102,128102,2006-12-14,9999-12-31,UD UDINE SOT PORTO NOGARO - CERVIGNANO 
128103,128103,2006-12-14,9999-12-31,UD UDINE SOT ZONA ARTIGIANALE UDINESE 
129101,129101,2007-06-21,9999-12-31,UD TRIESTE SOT FERNETTI 
129102,129102,2007-06-21,9999-12-31,UD TRIESTE SOT PORTO INDUSTRIALE 
129103,129103,2007-06-21,9999-12-31,UD TRIESTE SOT PUNTO FRANCO NUOVO 
129104,129104,2007-06-21,9999-12-31,UD TRIESTE SOT PUNTO FRANCO VECCHIO 
134100,134100,2004-09-27,9999-12-31,UD TREVISO SEZIONE OPERATIVA CENTRALE 
134102,134102,2004-09-27,9999-12-31,UD TREVISO SOT SEDICO 
135100,135100,2005-07-01,9999-12-31,UD VICENZA SEZIONE OPERATIVA CENTRALE 
136100,136100,2006-11-30,9999-12-31,UD VERONA SEZIONE OPERATIVA CENTRALE 
136101,136101,2006-11-30,9999-12-31,UD VERONA SOT AEROPORTO VALERIO CATULLO 
136102,136102,2006-11-30,9999-12-31,UD VERONA SOT MAGAZZINI GENERALI 
137100,137100,2007-10-11,9999-12-31,UD VENEZIA SEZIONE OPERATIVA CENTRALE 
137101,137101,2007-10-11,9999-12-31,UD VENEZIA SOT AEROPORTO MARCO POLO DI TESSERA 
137102,137102,2007-10-11,9999-12-31,UD VENEZIA SOT CHIOGGIA 
137103,137103,2007-10-11,9999-12-31,UD VENEZIA SOT INTERPORTO 
137104,137104,2007-10-11,9999-12-31,UD VENEZIA SOT PORTOGRUARO 
137105,137105,2010-10-04,9999-12-31,UD VENEZIA SOT MARITTIMA 
138100,138100,2007-11-15,9999-12-31,UD PADOVA SEZIONE OPERATIVA CENTRALE 
138101,138101,2007-11-15,9999-12-31,UD PADOVA SOT ROVIGO 
221100,221100,2006-12-06,9999-12-31,UD RAVENNA SEZIONE OPERATIVA CENTRALE 
221101,221101,2006-12-06,9999-12-31,UD RAVENNA SOT LUGO - FAENZA 
222100,222100,2007-05-24,9999-12-31,UD BOLOGNA SEZIONE OPERATIVA CENTRALE 
222101,222101,2007-05-24,9999-12-31,UD BOLOGNA SOT AEROPORTO G. MARCONI 
222102,222102,2007-05-24,9999-12-31,UD BOLOGNA SOT INTERPORTO 
261101,261101,2014-12-01,9999-12-31,UD GENOVA 1 SOT PASSO NUOVO 
262101,262101,2014-12-01,9999-12-31,UD GENOVA 2 SOT AEROPORTO 
262102,262102,2014-12-01,9999-12-31,UD GENOVA 2 SOT VOLTRI 
263100,263100,2014-12-01,9999-12-31,UD RIVALTA SCRIVIA-R.PORTO GE SEZIONE OPERATIVA CENTRALE 
263101,263101,2014-12-01,9999-12-31,UD RIVALTA SCRIVIA-R.PORTO GE SOT POZZOLO FORMIGARO 
271100,271100,2005-12-15,9999-12-31,UD PAVIA SEZIONE OPERATIVA CENTRALE 
271102,271102,2005-12-15,9999-12-31,UD PAVIA SOT VIGEVANO 
271103,271103,2005-12-15,9999-12-31,UD PAVIA SOT VOGHERA 
272100,272100,2006-10-26,9999-12-31,UD TIRANO SEZIONE OPERATIVA CENTRALE 
272102,272102,2006-10-26,9999-12-31,UD TIRANO SOT SONDRIO 
272103,272103,2006-10-26,9999-12-31,UD TIRANO SOT VILLA DI CHIAVENNA 
273100,273100,2006-11-23,9999-12-31,UD VARESE SEZIONE OPERATIVA CENTRALE 
273101,273101,2006-11-23,9999-12-31,UD VARESE SOT BUSTO ARSIZIO 
273102,273102,2006-11-23,9999-12-31,UD VARESE SOT GAGGIOLO 
273104,273104,2006-11-23,9999-12-31,UD VARESE SOT LUINO 
273105,273105,2006-11-23,9999-12-31,UD VARESE SOT PONTE TRESA 
