"id","name","code","account_type","tag_ids","reconcile","non_trade"
"ke0010","Software","0010","asset_non_current","","False",""
"ke0020","Patents & Trademarks","0020","asset_non_current","","False",""
"ke0030","Fixtures and fittings","0030","asset_fixed","","False",""
"ke0040","Land and buildings","0040","asset_fixed","","False",""
"ke0050","Motor vehicles","0050","asset_fixed","","False",""
"ke0060","Office equipment (inc computer equipment)","0060","asset_fixed","","False",""
"ke0070","Plant and machinery","0070","asset_fixed","","False",""
"ke0080","Financial assets","0080","asset_non_current","","False",""
"ke0090","Biological assets","0090","asset_non_current","","False",""
"ke1001","Stock","1001","asset_current","","True",""
"ke100110","Stock Interim (Received)","100110","asset_current","","True",""
"ke100120","Stock Interim (Delivered)","100120","asset_current","","True",""
"ke1002","Work in Progress","1002","asset_current","","False",""
"ke1003","Finished Goods","1003","asset_current","","False",""
"ke1100","Debtors Control Account","1100","asset_receivable","","True",""
"ke110010","Debtors Control Account (POS)","110010","asset_receivable","","True",""
"ke1101","Sundry Debtors","1101","asset_receivable","","True",""
"ke1102","Other Debtors","1102","asset_current","","False",""
"ke1103","Prepayments","1103","asset_prepayments","","False",""
"ke1110","Purchase Tax Control Account","1110","asset_current","","False",""
"ke1111","KRA - VAT receivable","1111","asset_receivable","","True","True"
"ke1120","Withholding Tax Advance on Sales","1120","asset_current","","True",""
"ke112001","Withholding Tax Advance on Sales - Transition account","112001","asset_current","","True",""
"ke120011","Deferred Expenses (Automatics)","120011","asset_current","","False",""
"ke2100","Creditors Control Account","2100","liability_payable","","True",""
"ke2101","Sundry Creditors","2101","liability_current","","False",""
"ke2102","Other Creditors","2102","liability_current","","False",""
"ke2103","Accruals","2103","liability_current","","False",""
"ke2104","Company Credit Card","2104","liability_credit_card","","False",""
"ke2105","Bad debt provision","2105","liability_current","","False",""
"ke211000","Deferred Revenue","211000","liability_current","","False",""
"ke2200","Sales Tax Control Account","2200","liability_current","","False",""
"ke2201","KRA - VAT payable","2201","liability_payable","","True","True"
"ke2202","Manual Adjustments & VAT","2202","liability_current","","False",""
