"id","name","auto_apply","country_id","tax_src_id","tax_dest_id"
"fiscal_position_taxable_person","Taxable Person","1","base.kh","",""
"fiscal_position_non_taxable_person","Non-Taxable Person","1","base.kh","l10n_kh_sale_10_m_t","l10n_kh_sale_10_m_nt"
"","","","","l10n_kh_sale_0_m_exempt_t","l10n_kh_sale_0_m_exempt_nt"
"","","","","l10n_kh_purchase_0_exclusive_t","l10n_kh_purchase_0_exclusive_nt"
"","","","","l10n_kh_purchase_0_non_creditable_t","l10n_kh_purchase_0_non_creditable_nt"
"","","","","l10n_kh_sale_10_m_sc_t","l10n_kh_sale_10_m_sc_nt"
"fiscal_position_overseas_company","Overseas Company","1","base.kh","l10n_kh_purchase_15_wht_s_other","l10n_kh_purchase_14_wht_s_nr_interest"
"","","","","l10n_kh_purchase_6_wht_s_fd","l10n_kh_purchase_14_wht_s_nr_interest"
"","","","","l10n_kh_purchase_4_wht_s_sd","l10n_kh_purchase_14_wht_s_nr_interest"
"","","","","l10n_kh_purchase_10_wht_s_rental_legal","l10n_kh_purchase_14_wht_s_nr_r"
"","","","","l10n_kh_purchase_10_wht_s_rental_physical","l10n_kh_purchase_14_wht_s_nr_r"
"","","","","l10n_kh_purchase_15_wht_s_r","l10n_kh_purchase_14_wht_s_nr_r"
"","","","","l10n_kh_purchase_15_wht_s","l10n_kh_purchase_14_wht_s"
