"id","code_prefix_start","code_prefix_end","name","name@ko_kr"
"account_group_bank_and_cash","10","10","Bank and Cash",""
"account_group_current_assets","11","15","Current Assets",""
"account_group_prepayments","16","16","Prepayments",""
"account_group_income","20","20","Income",""
"account_group_other_income","21","22","Other Income",""
"account_group_cost_of_revenue","3","3","Cost of Revenue",""
"account_group_expenses","4","4","Expenses",""
"account_group_receivable","5","5","Receivable",""
"account_group_payable","6","6","Payable",""
"account_group_fixed_assets","72","74","Fixed Assets",""
"account_group_current_liabilities","75","87","Current Liabilities",""
"account_group_non_current_liabilities","90","90","Non-current Liabilities",""
"account_group_equity","91","91","Equity",""
