"id","name","country_id","tax_payable_account_id","tax_receivable_account_id"
"l10n_tax_group_wht","4% - 15% WHT","base.kh","l10n_kh_87000","l10n_kh_13000"
"l10n_tax_group_cit","CIT","base.kh","l10n_kh_87001","l10n_kh_12100"
"l10n_tax_group_salary","Salary Taxes","base.kh","l10n_kh_87001","l10n_kh_13000"
"l10n_tax_group_public","Public Lighting Tax","base.kh","l10n_kh_87001","l10n_kh_13000"
"l10n_tax_group_excise","Excise Taxes","base.kh","l10n_kh_87001","l10n_kh_13000"
"l10n_tax_group_accommodation","Accommodation Tax","base.kh","l10n_kh_87001","l10n_kh_13000"
"l10n_tax_group_industry","Industry-specific Taxes","base.kh","l10n_kh_87001","l10n_kh_13000"
"l10n_tax_group_capital","Capital Gains","base.kh","l10n_kh_87001","l10n_kh_13000"
"l10n_tax_group_atdd","ATDD","base.kh","l10n_kh_87001","l10n_kh_13000"
"l10n_tax_group_vat_exempt","VAT Exempt","base.kh","l10n_kh_12000","l10n_kh_86000"
"l10n_tax_group_vat_10","VAT 10%","base.kh","",""
"l10n_tax_group_import_duties",Import Duties,"base.kh","l10n_kh_87001","l10n_kh_13000"
