"parent_id:id","code","sign","id","name"
,,1,"account_tax_code_template_1","Plan de Taxes Luxembourgeois"
"account_tax_code_template_1",76,1,"account_tax_code_template_73","Solde à verser"
"account_tax_code_template_1",10,-1,"account_tax_code_template_8","Prestations de services (art 26)"
"account_tax_code_template_1",46,1,"account_tax_code_template_37","Total Base intracommunautaire"
"account_tax_code_template_1",52,1,"account_tax_code_template_50","Acquisition triangulaire"
"account_tax_code_template_1",61,1,"account_tax_code_template_63","Total Base Importation"
"account_tax_code_template_1",74,1,"account_tax_code_template_71","Excédent de taxe"
"account_tax_code_template_1",9,1,"account_tax_code_template_2","Total du chiffre d'affaires"
"account_tax_code_template_2",5,1,"account_tax_code_template_5","Prélèvements privés de services (art 16)"
"account_tax_code_template_2",4,1,"account_tax_code_template_4","Prélèvements privés de biens (art 13 a)"
"account_tax_code_template_2",8,1,"account_tax_code_template_7","Point 5"
"account_tax_code_template_2",3,1,"account_tax_code_template_3","1. Ventes ou recettes"
"account_tax_code_template_2",6,1,"account_tax_code_template_6","Affectation de biens (art 13 b)"
"account_tax_code_template_3","Exo",1,"account_tax_code_template_90","Total Exoneration"
"account_tax_code_template_3",22,1,"account_tax_code_template_17","Chiffre d'affaires imposable (sans TVA)"
"account_tax_code_template_8",422,1,"account_tax_code_template_87","Base des prestations de services (art.26/1/c et d)"
"account_tax_code_template_8",92,1,"account_tax_code_template_78","Livraisons de biens (art. 26) 6%"
"account_tax_code_template_17",33,1,"account_tax_code_template_28","Base CA 6%"
"account_tax_code_template_17",32,1,"account_tax_code_template_27","Base CA 15%"
"account_tax_code_template_17",82,1,"account_tax_code_template_31","Base CA au taux indéfini"
"account_tax_code_template_17",35,1,"account_tax_code_template_30","Base CA 12%"
"account_tax_code_template_17",34,1,"account_tax_code_template_29","Base CA 3%"
"account_tax_code_template_37",44,1,"account_tax_code_template_40","Base intracom. 3%"
"account_tax_code_template_37",85,1,"account_tax_code_template_42","Base intracom. exonérée"
"account_tax_code_template_37",43,1,"account_tax_code_template_39","Base intracom. 6%"
"account_tax_code_template_37",42,1,"account_tax_code_template_38","Base intracom. 15%"
"account_tax_code_template_37",45,1,"account_tax_code_template_41","Base intracom. 12%"
"account_tax_code_template_73",97,1,"account_tax_code_template_82","Taxe livraisons de biens (art. 26) 6%"
"account_tax_code_template_90",19,1,"account_tax_code_template_16","Point 7"
"account_tax_code_template_90",17,1,"account_tax_code_template_15","Autres opérations réalisées à l'étranger"
"account_tax_code_template_90",13,1,"account_tax_code_template_11","Autres exonérations (art 43)"
"account_tax_code_template_90",14,1,"account_tax_code_template_12","Autres exonérations (art 44)"
"account_tax_code_template_90",11,1,"account_tax_code_template_9","Livraisons intracommunautaires de biens"
"account_tax_code_template_90",12,1,"account_tax_code_template_10","Exportations (art 43)"
"account_tax_code_template_90",15,1,"account_tax_code_template_13","Tabacs fabriqués"
"account_tax_code_template_90",16,1,"account_tax_code_template_14","Livraisons / aquisitions intracom."
"account_tax_code_template_71",73,-1,"account_tax_code_template_70","Taxe en amont déductible"
"account_tax_code_template_71",98,1,"account_tax_code_template_83","Total de la taxe à payer"
"account_tax_code_template_83",72,1,"account_tax_code_template_69","Total de la taxe"
