id,name,description,type_tax_use,amount_type,amount,account_id:id,refund_account_id:id,chart_template_id:id,sequence,children_tax_ids:id,tag_ids:id,tax_group_id:id
lu_2011_tax_AB-EC-0,Purchase Goods Exempted - Extra-Community,AB-EC-0,purchase,percent,0,,,lu_2011_chart_1,101,,tag_lu_69,tax_group_0
lu_2011_tax_AB-EC-12-n,Purchase Goods 12% - Extra-Community (-),AB-EC-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1103,,tag_lu_513,tax_group_12
lu_2011_tax_AB-EC-12-p,Purchase Goods 12% - Extra-Community (+),AB-EC-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1104,,tag_lu_338,tax_group_12
lu_2011_tax_AB-EC-12,Purchase Goods 12% - Extra-Community,AB-EC-12,purchase,group,1,,,lu_2011_chart_1,102,"lu_2011_tax_AB-EC-12-n,lu_2011_tax_AB-EC-12-p",tag_lu_49,tax_group_12
lu_2015_tax_AB-EC-14-n,Purchase Goods 14% - Extra-Community (-),AB-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1106,,tag_lu_514,tax_group_14
lu_2015_tax_AB-EC-14-p,Purchase Goods 14% - Extra-Community (+),AB-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1107,,tag_lu_362,tax_group_14
lu_2015_tax_AB-EC-14,Purchase Goods 14% - Extra-Community,AB-EC-14,purchase,group,1,,,lu_2011_chart_1,105,"lu_2015_tax_AB-EC-14-n,lu_2015_tax_AB-EC-14-p",tag_lu_81,tax_group_14
lu_2011_tax_AB-EC-15-n,Purchase Goods 15% - Extra-Community (-),AB-EC-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1109,,tag_lu_515,tax_group_15
lu_2011_tax_AB-EC-15-p,Purchase Goods 15% - Extra-Community (+),AB-EC-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1110,,tag_lu_326,tax_group_15
lu_2011_tax_AB-EC-15,Purchase Goods 15% - Extra-Community,AB-EC-15,purchase,group,100,,,lu_2011_chart_1,108,"lu_2011_tax_AB-EC-15-n,lu_2011_tax_AB-EC-15-p",tag_lu_37,tax_group_15
lu_2015_tax_AB-EC-17-n,Purchase Goods 17% - Extra-Community (-),AB-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1112,,tag_lu_516,tax_group_17
lu_2015_tax_AB-EC-17-p,Purchase Goods 17% - Extra-Community (+),AB-EC-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1113,,tag_lu_358,tax_group_17
lu_2015_tax_AB-EC-17,Purchase Goods 17% - Extra-Community,AB-EC-17,purchase,group,100,,,lu_2011_chart_1,111,"lu_2015_tax_AB-EC-17-n,lu_2015_tax_AB-EC-17-p",tag_lu_77,tax_group_17
lu_2011_tax_AB-EC-3-n,Purchase Goods 3% - Extra-Community (-),AB-EC-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1115,,tag_lu_517,tax_group_3
lu_2011_tax_AB-EC-3-p,Purchase Goods 3% - Extra-Community (+),AB-EC-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1116,,tag_lu_334,tax_group_3
lu_2011_tax_AB-EC-3,Purchase Goods 3% - Extra-Community,AB-EC-3,purchase,group,100,,,lu_2011_chart_1,114,"lu_2011_tax_AB-EC-3-n,lu_2011_tax_AB-EC-3-p",tag_lu_45,tax_group_3
lu_2011_tax_AB-EC-6-n,Purchase Goods 6% - Extra-Community (-),AB-EC-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1118,,tag_lu_518,tax_group_6
lu_2011_tax_AB-EC-6-p,Purchase Goods 6% - Extra-Community (+),AB-EC-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1119,,tag_lu_330,tax_group_6
lu_2011_tax_AB-EC-6,Purchase Goods 6% - Extra-Community,AB-EC-6,purchase,group,100,,,lu_2011_chart_1,117,"lu_2011_tax_AB-EC-6-n,lu_2011_tax_AB-EC-6-p",tag_lu_41,tax_group_6
lu_2015_tax_AB-EC-8-n,Purchase Goods 8% - Extra-Community (-),AB-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1121,,tag_lu_519,tax_group_8
lu_2015_tax_AB-EC-8-p,Purchase Goods 8% - Extra-Community (+),AB-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1122,,tag_lu_366,tax_group_8
lu_2015_tax_AB-EC-8,Purchase Goods 8% - Extra-Community,AB-EC-8,purchase,group,100,,,lu_2011_chart_1,120,"lu_2015_tax_AB-EC-8-n,lu_2015_tax_AB-EC-8-p",tag_lu_85,tax_group_8
lu_2015_tax_AB-ECP-0,Purchase Goods Exempted - Extra-Community fin privées,AB-ECP-0,purchase,percent,0,,,lu_2011_chart_1,123,,tag_lu_73,tax_group_0
lu_2015_tax_AB-ECP-12-n,Purchase Goods 12% - Extra-Community fin privées (-),AB-ECP-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1125,,tag_lu_520,tax_group_12
lu_2015_tax_AB-ECP-12-p,Purchase Goods 12% - Extra-Community fin privées (+),AB-ECP-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1126,,tag_lu_354,tax_group_12
lu_2015_tax_AB-ECP-12,Purchase Goods 12% - Extra-Community fin privées,AB-ECP-12,purchase,group,100,,,lu_2011_chart_1,124,"lu_2015_tax_AB-ECP-12-n,lu_2015_tax_AB-ECP-12-p",tag_lu_65,tax_group_12
lu_2015_tax_AB-ECP-14-n,Purchase Goods 14% - Extra-Community fin privées (-),AB-ECP-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1128,,tag_lu_521,tax_group_14
lu_2015_tax_AB-ECP-14-p,Purchase Goods 14% - Extra-Community fin privées (+),AB-ECP-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1129,,tag_lu_374,tax_group_14
lu_2015_tax_AB-ECP-14,Purchase Goods 14% - Extra-Community fin privées,AB-ECP-14,purchase,group,100,,,lu_2011_chart_1,127,"lu_2015_tax_AB-ECP-14-n,lu_2015_tax_AB-ECP-14-p",tag_lu_93,tax_group_14
lu_2015_tax_AB-ECP-15-n,Purchase Goods 15% - Extra-Community fin privées (-),AB-ECP-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1131,,tag_lu_522,tax_group_15
lu_2015_tax_AB-ECP-15-p,Purchase Goods 15% - Extra-Community fin privées (+),AB-ECP-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1132,,tag_lu_342,tax_group_15
lu_2015_tax_AB-ECP-15,Purchase Goods 15% - Extra-Community fin privées,AB-ECP-15,purchase,group,100,,,lu_2011_chart_1,130,"lu_2015_tax_AB-ECP-15-n,lu_2015_tax_AB-ECP-15-p",tag_lu_53,tax_group_15
lu_2015_tax_AB-ECP-17-n,Purchase Goods 17% - Extra-Community fin privées (-),AB-ECP-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1134,,tag_lu_523,tax_group_17
lu_2015_tax_AB-ECP-17-p,Purchase Goods 17% - Extra-Community fin privées (+),AB-ECP-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1135,,tag_lu_370,tax_group_17
lu_2015_tax_AB-ECP-17,Purchase Goods 17% - Extra-Community fin privées,AB-ECP-17,purchase,group,100,,,lu_2011_chart_1,133,"lu_2015_tax_AB-ECP-17-n,lu_2015_tax_AB-ECP-17-p",tag_lu_89,tax_group_17
lu_2015_tax_AB-ECP-3-n,Purchase Goods 3% - Extra-Community fin privées (-),AB-ECP-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1137,,tag_lu_524,tax_group_3
lu_2015_tax_AB-ECP-3-p,Purchase Goods 3% - Extra-Community fin privées (+),AB-ECP-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1138,,tag_lu_350,tax_group_3
lu_2015_tax_AB-ECP-3,Purchase Goods 3% - Extra-Community fin privées,AB-ECP-3,purchase,group,100,,,lu_2011_chart_1,136,"lu_2015_tax_AB-ECP-3-n,lu_2015_tax_AB-ECP-3-p",tag_lu_61,tax_group_3
lu_2015_tax_AB-ECP-6-n,Purchase Goods 6% - Extra-Community fin privées (-),AB-ECP-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1140,,tag_lu_525,tax_group_6
lu_2015_tax_AB-ECP-6-p,Purchase Goods 6% - Extra-Community fin privées (+),AB-ECP-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1141,,tag_lu_346,tax_group_6
lu_2015_tax_AB-ECP-6,Purchase Goods 6% - Extra-Community fin privées,AB-ECP-6,purchase,group,100,,,lu_2011_chart_1,139,"lu_2015_tax_AB-ECP-6-n,lu_2015_tax_AB-ECP-6-p",tag_lu_57,tax_group_6
lu_2015_tax_AB-ECP-8-n,Purchase Goods 8% - Extra-Community fin privées (-),AB-ECP-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1143,,tag_lu_526,tax_group_8
lu_2015_tax_AB-ECP-8-p,Purchase Goods 8% - Extra-Community fin privées (+),AB-ECP-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1144,,tag_lu_378,tax_group_8
lu_2015_tax_AB-ECP-8,Purchase Goods 8% - Extra-Community fin privées,AB-ECP-8,purchase,group,100,,,lu_2011_chart_1,142,"lu_2015_tax_AB-ECP-8-n,lu_2015_tax_AB-ECP-8-p",tag_lu_97,tax_group_8
lu_2011_tax_AB-IC-0,Purchase Goods Exempted - Intra-Community,AB-IC-0,purchase,percent,0,,,lu_2011_chart_1,145,,tag_lu_20,tax_group_0
lu_2011_tax_AB-IC-12-n,Purchase Goods 12% - Intra-Community (-),AB-IC-12-n,none,percent,-12,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1147,,tag_lu_491,tax_group_12
lu_2011_tax_AB-IC-12-p,Purchase Goods 12% - Intra-Community (+),AB-IC-12-p,none,percent,12,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1148,,tag_lu_309,tax_group_12
lu_2011_tax_AB-IC-12,Purchase Goods 12% - Intra-Community,AB-IC-12,purchase,group,100,,,lu_2011_chart_1,146,"lu_2011_tax_AB-IC-12-n,lu_2011_tax_AB-IC-12-p",tag_lu_16,tax_group_12
lu_2015_tax_AB-IC-14-n,Purchase Goods 14% - Intra-Community (-),AB-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1150,,tag_lu_492,tax_group_14
lu_2015_tax_AB-IC-14-p,Purchase Goods 14% - Intra-Community (+),AB-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1151,,tag_lu_317,tax_group_14
lu_2015_tax_AB-IC-14,Purchase Goods 14% - Intra-Community,AB-IC-14,purchase,group,100,,,lu_2011_chart_1,149,"lu_2015_tax_AB-IC-14-n,lu_2015_tax_AB-IC-14-p",tag_lu_28,tax_group_14
lu_2011_tax_AB-IC-15-n,Purchase Goods 15% - Intra-Community (-),AB-IC-15-n,none,percent,-15,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1153,,tag_lu_493,tax_group_15
lu_2011_tax_AB-IC-15-p,Purchase Goods 15% - Intra-Community (+),AB-IC-15-p,none,percent,15,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1154,,tag_lu_297,tax_group_15
lu_2011_tax_AB-IC-15,Purchase Goods 15% - Intra-Community,AB-IC-15,purchase,group,100,,,lu_2011_chart_1,152,"lu_2011_tax_AB-IC-15-n,lu_2011_tax_AB-IC-15-p",tag_lu_04,tax_group_15
lu_2015_tax_AB-IC-17-n,Purchase Goods 17% - Intra-Community (-),AB-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1156,,tag_lu_494,tax_group_17
lu_2015_tax_AB-IC-17-p,Purchase Goods 17% - Intra-Community (+),AB-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1157,,tag_lu_313,tax_group_17
lu_2015_tax_AB-IC-17,Purchase Goods 17% - Intra-Community,AB-IC-17,purchase,group,100,,,lu_2011_chart_1,155,"lu_2015_tax_AB-IC-17-n,lu_2015_tax_AB-IC-17-p",tag_lu_24,tax_group_17
lu_2011_tax_AB-IC-3-n,Purchase Goods 3% - Intra-Community (-),AB-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1159,,tag_lu_495,tax_group_3
lu_2011_tax_AB-IC-3-p,Purchase Goods 3% - Intra-Community (+),AB-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1160,,tag_lu_305,tax_group_3
lu_2011_tax_AB-IC-3,Purchase Goods 3% - Intra-Community,AB-IC-3,purchase,group,100,,,lu_2011_chart_1,158,"lu_2011_tax_AB-IC-3-n,lu_2011_tax_AB-IC-3-p",tag_lu_12,tax_group_3
lu_2011_tax_AB-IC-6-n,Purchase Goods 6% - Intra-Community (-),AB-IC-6-n,none,percent,-6,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1162,,tag_lu_496,tax_group_6
lu_2011_tax_AB-IC-6-p,Purchase Goods 6% - Intra-Community (+),AB-IC-6-p,none,percent,6,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1163,,tag_lu_301,tax_group_6
lu_2011_tax_AB-IC-6,Purchase Goods 6% - Intra-Community,AB-IC-6,purchase,group,100,,,lu_2011_chart_1,161,"lu_2011_tax_AB-IC-6-n,lu_2011_tax_AB-IC-6-p",tag_lu_08,tax_group_6
lu_2015_tax_AB-IC-8-n,Purchase Goods 8% - Intra-Community (-),AB-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1165,,tag_lu_497,tax_group_8
lu_2015_tax_AB-IC-8-p,Purchase Goods 8% - Intra-Community (+),AB-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1166,,tag_lu_321,tax_group_8
lu_2015_tax_AB-IC-8,Purchase Goods 8% - Intra-Community,AB-IC-8,purchase,group,100,,,lu_2011_chart_1,164,"lu_2015_tax_AB-IC-8-n,lu_2015_tax_AB-IC-8-p",tag_lu_32,tax_group_8
lu_2011_tax_AB-PA-0,Purchase Goods 0% - Country,AB-PA-0,purchase,percent,0,,,lu_2011_chart_1,167,,tag_lu_220,tax_group_0
lu_2011_tax_AB-PA-12,Purchase Goods 12% - Country,AB-PA-12,purchase,percent,12,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,168,,"tag_lu_221,tag_lu_447",tax_group_12
lu_2015_tax_AB-PA-14,Purchase Goods 14% - Country,AB-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,169,,"tag_lu_222,tag_lu_448",tax_group_14
lu_2011_tax_AB-PA-15,Purchase Goods 15% - Country,AB-PA-15,purchase,percent,15,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,170,,"tag_lu_223,tag_lu_449",tax_group_15
lu_2015_tax_AB-PA-17,Purchase Goods 17% - Country,AB-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,171,,"tag_lu_224,tag_lu_450",tax_group_17
lu_2011_tax_AB-PA-3,Purchase Goods 3% - Country,AB-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,172,,"tag_lu_225,tag_lu_451",tax_group_3
lu_2011_tax_AB-PA-6,Purchase Goods 6% - Country,AB-PA-6,purchase,percent,6,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,173,,"tag_lu_226,tag_lu_452",tax_group_6
lu_2015_tax_AB-PA-8,Purchase Goods 8% - Country,AB-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,174,,"tag_lu_453,tag_lu_227",tax_group_8
lu_2011_tax_AP-EC-0,Purchase Services Exempted - Extra-Community,AP-EC-0,purchase,percent,0,,,lu_2011_chart_1,175,,tag_lu_153,tax_group_0
lu_2011_tax_AP-EC-12-n,Purchase Services 12% - Extra-Community (-),AP-EC-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1177,,tag_lu_556,tax_group_12
lu_2011_tax_AP-EC-12-p,Purchase Services 12% - Extra-Community (+),AP-EC-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1178,,tag_lu_425,tax_group_12
lu_2011_tax_AP-EC-12,Purchase Services 12% - Extra-Community,AP-EC-12,purchase,group,100,,,lu_2011_chart_1,176,"lu_2011_tax_AP-EC-12-n,lu_2011_tax_AP-EC-12-p",tag_lu_149,tax_group_12
lu_2015_tax_AP-EC-14-n,Purchase Services 14% - Extra-Community (-),AP-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1180,,tag_lu_557,tax_group_14
lu_2015_tax_AP-EC-14-p,Purchase Services 14% - Extra-Community (+),AP-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1181,,tag_lu_433,tax_group_14
lu_2015_tax_AP-EC-14,Purchase Services 14% - Extra-Community,AP-EC-14,purchase,group,100,,,lu_2011_chart_1,179,"lu_2015_tax_AP-EC-14-n,lu_2015_tax_AP-EC-14-p",tag_lu_161,tax_group_14
lu_2011_tax_AP-EC-15-n,Purchase Services 15% - Extra-Community (-),AP-EC-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1183,,tag_lu_558,tax_group_15
lu_2011_tax_AP-EC-15-p,Purchase Services 15% - Extra-Community (+),AP-EC-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1184,,tag_lu_413,tax_group_15
lu_2011_tax_AP-EC-15,Purchase Services 15% - Extra-Community,AP-EC-15,purchase,group,100,,,lu_2011_chart_1,182,"lu_2011_tax_AP-EC-15-n,lu_2011_tax_AP-EC-15-p",tag_lu_137,tax_group_15
lu_2015_tax_AP-EC-17-n,Purchase Services 17% - Extra-Community (-),AP-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1186,,tag_lu_559,tax_group_17
lu_2015_tax_AP-EC-17-p,Purchase Services 17% - Extra-Community (+),AP-EC-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1187,,tag_lu_429,tax_group_17
lu_2015_tax_AP-EC-17,Purchase Services 17% - Extra-Community,AP-EC-17,purchase,group,100,,,lu_2011_chart_1,185,"lu_2015_tax_AP-EC-17-n,lu_2015_tax_AP-EC-17-p",tag_lu_157,tax_group_17
lu_2011_tax_AP-EC-3-n,Purchase Services 3% - Extra-Community (-),AP-EC-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1189,,tag_lu_560,tax_group_3
lu_2011_tax_AP-EC-3-p,Purchase Services 3% - Extra-Community (+),AP-EC-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1190,,tag_lu_421,tax_group_3
lu_2011_tax_AP-EC-3,Purchase Services 3% - Extra-Community,AP-EC-3,purchase,group,100,,,lu_2011_chart_1,188,"lu_2011_tax_AP-EC-3-n,lu_2011_tax_AP-EC-3-p",tag_lu_145,tax_group_3
lu_2011_tax_AP-EC-6-n,Purchase Services 6% - Extra-Community (-),AP-EC-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1192,,tag_lu_561,tax_group_6
lu_2011_tax_AP-EC-6-p,Purchase Services 6% - Extra-Community (+),AP-EC-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1193,,tag_lu_417,tax_group_6
lu_2011_tax_AP-EC-6,Purchase Services 6% - Extra-Community,AP-EC-6,purchase,group,100,,,lu_2011_chart_1,191,"lu_2011_tax_AP-EC-6-n,lu_2011_tax_AP-EC-6-p",tag_lu_141,tax_group_6
lu_2015_tax_AP-EC-8-n,Purchase Services 8% - Extra-Community (-),AP-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1195,,tag_lu_562,tax_group_8
