"id","code","name","account_type","tag_ids","reconcile","name@de","name@fr"
"lu_2011_account_101","101","Subscribed capital","equity","","False","Gezeichnetes Kapital","Capital souscrit"
"lu_2011_account_102","102","Subscribed capital not called","asset_fixed","","False","Gezeichnetes nicht eingefordertes Kapital","Capital souscrit non appelé"
"lu_2011_account_103","103","Subscribed capital called but unpaid","asset_fixed","","False","Gezeichnetes eingefordertes und nicht eingezahltes Kapital","Capital souscrit appelé et non versé"
"lu_2020_account_104","104","Capital of individual companies, corporate partnerships and similar","equity","","False","Kapital von Einzelkaufleuten, Personenhandelsgesellschaften und ähnlichen","Capital des entreprises individuelles, des sociétés de personnes et assimilées"
"lu_2011_account_105","105","Endowment of branches","equity","","False","Dotationskapital von Niederlassungen","Dotation des succursales"
"lu_2011_account_10611","10611","Cash withdrawals (daily life)","equity","","False","Barentnahmen (Lebenshaltungskosten)","Prélèvements en numéraire (train de vie)"
"lu_2011_account_10612","10612","Withdrawals of merchandise, finished products and services (at cost)","equity","","False","Sachentnahme von Waren, von fertigen Erzeugnissen und Dienstleistungen (zu Einstandspreisen)","Prélèvements en nature de marchandises, de produits finis et services (au prix de revient)"
"lu_2011_account_10613","10613","Private share of medical services expenses","equity","","False","Privater Anteil an den Krankheitskosten","Part personnelle des frais de maladie"
"lu_2011_account_106141","106141","Life insurance","equity","","False","Lebensversicherung","Vie"
"lu_2011_account_106142","106142","Accident insurance","equity","","False","Unfallversicherung","Accident"
"lu_2011_account_106143","106143","Fire insurance","equity","","False","Brandschutzversicherung","Incendie"
"lu_2011_account_106144","106144","Third-party insurance","equity","","False","Haftpflichtversicherung","Assurance responsabilité civile"
"lu_2011_account_106145","106145","Full coverage insurance","equity","","False","Mehrgefahrenversicherung","Multirisques"
"lu_2011_account_106148","106148","Other private insurance premiums","equity","","False","Sonstige Beiträge für private Versicherungen","Autres primes d’assurances privées"
"lu_2011_account_106151","106151","Social Security","equity","","False","Sozialversicherungen (Pflegeversicherung)","Assurances sociales (assurance dépendance)"
"lu_2011_account_106152","106152","Child benefit office","equity","","False","Familienzulagen","Allocations familiales"
"lu_2011_account_106153","106153","Health insurance funds","equity","","False","Krankenversicherungen","Cotisations pour mutuelles"
"lu_2011_account_106154","106154","Death and other health insurance funds","equity","","False","Sterbekasse oder sonstige Krankenzusatzversicherungen","Caisse de décès, médico-chirurgicale, Prestaplus"
"lu_2011_account_106158","106158","Other contributions","equity","","False","Sonstige Beiträge","Autres cotisations"
"lu_2011_account_106161","106161","Wages","equity","","False","Löhne","Salaires"
"lu_2011_account_106162","106162","Rent","equity","","False","Miete","Loyer"
"lu_2011_account_106163","106163","Heating, gas, electricity","equity","","False","Heizung, Gas, Strom","Chauffage, gaz, électricité"
"lu_2011_account_106164","106164","Water","equity","","False","Wasser","Eau"
"lu_2011_account_106165","106165","Telephone","equity","","False","Telefon","Téléphone"
"lu_2011_account_106166","106166","Car","equity","","False","Fahrzeug","Voiture"
"lu_2011_account_106168","106168","Other in kind withdrawals","equity","","False","Sonstige Sachentnahmen","Autres prélèvements en nature"
"lu_2011_account_106171","106171","Private furniture","equity","","False","Privates Mobiliar","Mobilier privé"
"lu_2011_account_106172","106172","Private car","equity","","False","Privates Fahrzeug","Voiture privée"
"lu_2011_account_106173","106173","Private held securities","equity","","False","Private Wertpapiere","Titres privés"
"lu_2011_account_106174","106174","Private buildings","equity","","False","Private Gebäude","Immeubles privés"
"lu_2011_account_106178","106178","Other acquisitions","equity","","False","Sonstiger Erwerb","Autres acquisitions"
"lu_2011_account_106181","106181","Income tax paid","equity","","False","Gezahlte Einkommenssteuer","Impôt sur le revenu payé (IRPP)"
"lu_2011_account_106183","106183","Municipal business tax - payment in arrears","equity","","False","Gewerbesteuer - gezahlte Rückstände","Impôt commercial communal (ICC) - arriérés payés"
"lu_2011_account_106188","106188","Other taxes","equity","","False","Sonstige Steuern","Autres impôts"
"lu_2011_account_106191","106191","Repairs to private buildings","equity","","False","Reparaturen an privaten Gebäuden","Réparations aux immeubles privés"
"lu_2011_account_106192","106192","Deposits on private financial accounts","equity","","False","Anlagen auf finanziellen Privatkonten","Placements sur comptes financiers privés"
"lu_2011_account_106193","106193","Refund of private debts","equity","","False","Rückzahlungen privater Schulden","Remboursements de dettes privées"
"lu_2011_account_106194","106194","Gifts and allowance to children","equity","","False","Spenden und Zuwendungen an Kinder","Dons et dotations aux enfants"
"lu_2011_account_106195","106195","Inheritance taxes and mutation tax due to death","equity","","False","Erbschaftssteuern und Wechselsteuer durch Sterbefall","Droits de succession et droits de mutation par décès"
"lu_2011_account_106198","106198","Other special private withdrawals","equity","","False","Sonstige besondere Privatentnahmen","Autres prélèvements privés particuliers"
"lu_2011_account_10621","10621","Inheritance or donation","equity","","False","Erbschaft oder Schenkung","Héritage ou donation"
"lu_2011_account_10622","10622","Personal holdings","equity","","False","Private Guthaben","Avoirs privés"
"lu_2011_account_10623","10623","Private loans","equity","","False","Private Ausleihungen","Emprunts privés"
