id,code,name,parent_id:id,type,user_type:id,reconcile
lv_2012_account_0,0,Kontu plāns,,view,account.data_account_type_view,FALSE
lv_2012_account_1,1,Ilgtermiņa ieguldījumi,lv_2012_account_0,view,account.data_account_type_view,FALSE
lv_2012_account_1_1,11,Nemateriālie ieguldījumi,lv_2012_account_1,view,account.data_account_type_view,FALSE
lv_2012_account_1110,1110,Attīstības izmaksas,lv_2012_account_1_1,other,account_type_2012_1_1,FALSE
lv_2012_account_1120,1120,"Koncesijas, patenti, licences, preču zīmes un tamlīdzīgas tiesības",lv_2012_account_1_1,other,account_type_2012_1_1,FALSE
lv_2012_account_1130,1130,Citi nemateriālie ieguldījumi,lv_2012_account_1_1,other,account_type_2012_1_1,FALSE
lv_2012_account_1140,1140,Nemateriālā vērtība,lv_2012_account_1_1,other,account_type_2012_1_1,FALSE
lv_2012_account_1150,1150,Avansa maksājumi par nemateriālajiem ieguldījumiem,lv_2012_account_1_1,other,account_type_2012_1_1,FALSE
lv_2012_account_119,119,Nemateriālo ieguldījumu vērtības norakstītā daļa (pasīvā),lv_2012_account_1_1,view,account.data_account_type_view,FALSE
lv_2012_account_1191,1191,Attīstības izmaksu norakstītā daļa (pasīvā),lv_2012_account_119,other,account_type_2012_1_1,FALSE
lv_2012_account_1192,1192,"Koncesiju, patentu, licenču, preču zīmju un tamlīdzīgu tiesību norakstītā daļa (pasīvā)",lv_2012_account_119,other,account_type_2012_1_1,FALSE
lv_2012_account_1193,1193,Citu nemateriālo ieguldījumu vērtības norakstītā daļa (pasīvā),lv_2012_account_119,other,account_type_2012_1_1,FALSE
lv_2012_account_1_2,12,Pamatlīdzekļi,lv_2012_account_1,view,account.data_account_type_view,FALSE
lv_2012_account_1210,1210,"Zemes gabali, ēkas un būves un ilggadīgie stādījumi",lv_2012_account_1_2,other,account_type_2012_1_2,FALSE
lv_2012_account_1220,1220,Ilgtermiņa ieguldījumi nomātajos pamatlīdzekļos,lv_2012_account_1_2,other,account_type_2012_1_2,FALSE
lv_2012_account_1230,1230,Iekārtas un mašīnas,lv_2012_account_1_2,other,account_type_2012_1_2,FALSE
lv_2012_account_1240,1240,Pārējie pamatlīdzekļi un inventārs,lv_2012_account_1_2,other,account_type_2012_1_2,FALSE
lv_2012_account_1250,1250,Pamatlīdzekļu izveidošanas un nepabeigto celtniecības objektu izmaksas,lv_2012_account_1_2,other,account_type_2012_1_2,FALSE
