id,position_id:id,tax_src_id:id,tax_dest_id:id
fiscal_position_tax_template_LV_1,account_fiscal_position_template_LV_LR_PVN_nemaks,lv_tax_Pr-SR,
fiscal_position_tax_template_LV_2,account_fiscal_position_template_LV_LR_PVN_nemaks,lv_tax_Pr-RR,
fiscal_position_tax_template_LV_3,account_fiscal_position_template_LV_LR_PVN_nemaks,lv_tax_Pr-SR-80,
fiscal_position_tax_template_LV_4,account_fiscal_position_template_LV_LR_PVN_nemaks,lv_tax_Pr-SR-40,
fiscal_position_tax_template_LV_5,account_fiscal_position_template_LV_ES_PVN_maks,lv_tax_Pr-SR,lv_tax_PVN-Rev-SR-EU
fiscal_position_tax_template_LV_6,account_fiscal_position_template_LV_ES_PVN_maks,lv_tax_Pr-RR,lv_tax_PVN-Rev-RR-EU
fiscal_position_tax_template_LV_7,account_fiscal_position_template_LV_ES_PVN_maks,lv_tax_PVN-SR,lv_tax_Pieg-ES
fiscal_position_tax_template_LV_8,account_fiscal_position_template_LV_ES_PVN_maks,lv_tax_PVN-RR,lv_tax_Pieg-ES
fiscal_position_tax_template_LV_9,account_fiscal_position_template_LV_ES_PVN_maks,lv_tax_Pr-SR-80,lv_tax_PVN-Rev-SR-EU-80
fiscal_position_tax_template_LV_10,account_fiscal_position_template_LV_ES_PVN_maks,lv_tax_Pr-SR-40,lv_tax_PVN-Rev-SR-EU-40
