"id","name","code","account_type","tag_ids","reconcile","name@lv"
"a1110","Research and company development costs","1110","asset_non_current","","False","Pētniecības un uzņēmuma attīstības izmaksas"
"a1120","Concessions, patents, licenses, trademarks and similar rights","1120","asset_non_current","","False","Koncesijas, patenti, licences, preču zīmes un tamlīdzīgas tiesības"
"a1130","Other intangible assets","1130","asset_non_current","","False","Citi nemateriālie ieguldījumi"
"a1140","Goodwill","1140","asset_non_current","","False","Nemateriālā vērtība"
"a1180","Advance payments for intangible assets","1180","asset_prepayments","","False","Avansa maksājumi par nemateriālajiem ieguldījumiem"
"a1191","Amortization on portion of development costs","1191","asset_non_current","","False","Attīstības izmaksu norakstītā daļa (pasīvā)"
"a1192","Amortization of concessions, patents, licenses, trademarks and similar rights","1192","asset_non_current","","False","Koncesiju, patentu, licenču, preču zīmju un tamlīdzīgu tiesību norakstītā daļa (pasīvā)"
"a1193","Amortization on part of the value of other intangible investments","1193","asset_non_current","","False","Citu nemateriālo ieguldījumu vērtības norakstītā daļa (pasīvā)"
"a1195","Amortization of other intangible investments","1195","asset_non_current","","False","Citu nemateriālo ieguldījumi norakstītā daļa"
"a1210","Land plots, buildings, constructions, perennial plantations and other real estate objects","1210","asset_fixed","","False","Zemes gabali, ēkas, būves, ilggadīgie stādījumi un citi nekustamā īpašuma objekti"
"a1220","Technological equipment and machinery","1220","asset_fixed","","False","Tehnoloģiskās iekārtas un mašīnas"
"a1230","Other fixed assets and inventory","1230","asset_fixed","","False","Pārējie pamatlīdzekļi un inventārs"
"a1240","Costs of fixed asset creation and unfinished object construction","1240","asset_fixed","","False","Pamatlīdzekļu izveidošanas un nepabeigto celtniecības objektu izmaksas"
"a1280","Advance payments for fixed assets","1280","asset_prepayments","","False","Avansa maksājumi par pamatlīdzekļiem"
"a1291","Accumulated depreciation for Land, buildings, perennial plantings","1291","asset_fixed","","False","Zemes gabalu, ēku un būvju un ilggadīgo stādījumu nolietojums (pasīvā)"
"a1292","Accumulated depreciation on equipment and machinery","1292","asset_fixed","","False","Iekārtu un mašīnu nolietojums (pasīvā)"
"a1293","Accumulated depreciation for other fixed assets","1293","asset_fixed","","False","Pārējo pamatlīdzekļu uzkrātais nolietojums"
"a1310","Participation in the capital of subsidiaries","1310","asset_fixed","","False","Līdzdalība meitas uzņēmumu kapitālā"
"a1320","Loans to a subsidiary","1320","asset_fixed","","False","Aizdevumi meitas uzņēmumam"
"a1330","Participations in the capital of related companies","1330","asset_fixed","","False","Līdzdalības saistīto uzņēmumu kapitālā"
"a1340","Loans to affiliates","1340","asset_fixed","","False","Aizdevumi saistītajiem uzņēmumiem"
"a1350","Other securities and investments","1350","asset_fixed","","False","Pārējie vērtspapīri un ieguldījumi"
"a1360","Other loans and other long-term debtors","1360","asset_fixed","","False","Pārējie aizdevumi un citi ilgtermiņa debitori"
"a1370","Own shares","1370","asset_fixed","","False","Pašu akcijas un daļas"
"a1380","Loans to company members and the board","1380","asset_fixed","","False","Aizdevumi akcionāriem vai dalībniekiem un vadībai"
"a2110","Raw materials, basic materials and auxiliary materials","2110","asset_current","","False","Izejvielas, pamatmateriāli un palīgmateriāli"
"a2120","Unfinished production / Work in progress","2120","asset_current","","False","Nepabeigtie ražojumi"
"a2130","Finished products and goods for sale","2130","asset_current","","False","Gatavie ražojumi un preces pārdošanai"
"a2140","Uncompleted orders","2140","asset_current","","False","Nepabeigtie pasūtījumi"
"a2190","Advance payments for goods","2190","asset_prepayments","","False","Avansa maksājumi par precēm"
"a2210","Adult productive livestock","2210","asset_current","","False","Pieaugušie produktīvie lopi"
"a2220","Young and small animals","2220","asset_current","","False","Jaunlopi un sīkie dzīvnieki"
"a2230","Working cattle","2230","asset_current","","False","Darba lopi"
"a2290","Depreciated value of working livestock","2290","asset_current","","False","Darba lopu norakstītā vērtība"
"a2310","Accounts receivable – trade","2310","asset_receivable","","True","Norēķini ar pircējiem un pasūtītājiem"
"a2318","Settlement of doubtful debtors","2318","asset_receivable","","True","Norēķini ar šaubīgiem debitoriem"
"a2320","Bills of exchange received for deliveries and customers","2320","asset_receivable","","True","Par piegādēm un pasūtījumiem saņemtie vekseļi"
"a2330","Debts of subsidiaries","2330","asset_receivable","","True","Meitas uzņēmumu parādi"
"a2340","Debts of related companies","2340","asset_receivable","","True","Saistīto uzņēmumu parādi"
"a2350","Settlements with other debtors","2350","asset_receivable","","True","Norēķini ar citiem debitoriem"
"a2360","Settlement of unpaid amounts of the company's capital","2360","asset_receivable","","True","Norēķini par sabiedrības kapitāla neiemaksātām summām"
"a2370","Short-term loans for company shareholder and management","2370","asset_receivable","","True","Īstermiņa aizdevumi sabiedrības dalībniekiem un valdei"
"a2380","Settlements of claims against personnel and short-term loans to personnel","2380","asset_receivable","","True","Norēķini par prasībām pret personālu un īstermiņa aizdevumi personālam"
"a2388","Accrued revenue","2388","asset_current","","False","Uzkrātie ieņēmumi"
"a2390","Tax overpayments, taxes paid in advance","2390","asset_current","","False","Pārmaksātie nodokļi, iepriekš samaksātie nodokļi"
"a2391","Tax and fee cancellation (tax account)","2391","asset_current","","False","Nodokļu un nodevu dzēšana (nodokļu konts)"
"a2392","Frozen recoverable VAT","2392","asset_current","","False","Iesaldēts atgūstams PVN"
"a2399","VAT charged but not deducted","2399","asset_current","","False","Aprēķināts, bet neatskaitīts PVN"
"a2410","Deferred expenses","2410","asset_current","","False","Nākamo periodu izmaksas"
"a2420","Share issue valuation","2420","asset_current","","False","Akciju emisijas nocenojums"
"a2510","Shares of the subsidiary company","2510","asset_current","","False","Meitas uzņēmuma akcijas un daļas"
"a2520","Shares of related companies","2520","asset_current","","False","Saistīto uzņēmumu akcijas un daļas"
"a2530","Shares of own company","2530","asset_current","","False","Pašu uzņēmuma akcijas un daļas"
"a2540","Other securities and participations in equity","2540","asset_current","","False","Pārējie vērtspapīri un līdzdalība kapitālos"
"a2550","Derivative financial instruments","2550","asset_current","","False","Atvasinātie finanšu instrumenti"
"a2610","Cash","2610","asset_cash","","False","Skaidras naudas kase"
"a2613","ECR (retail) cash register","2613","asset_cash","","False","EKA (mazumtirdzniecības) kase"
"a2620","Bank account","2620","asset_cash","","False","Bankas konts"
"a26291","Bank Suspense Account","26291","asset_current","","False","Bankas pagaidu konts"
"a26292","Outstanding Receipts","26292","asset_current","","False","Nonoslēgtie ieņēmumi"
"a26293","Outstanding Payments","26293","asset_current","","False","Nonoslēgtie izdevumi"
"a2640","Credit notes, checks and special forms of payment accounts","2640","asset_cash","","False","Akreditīvi, čeki un īpašu formu konti"
"a2650","Other bank accounts","2650","asset_cash","","False","Citi konti bankās"
"a2670","Other funds","2670","asset_cash","","False","Pārējie naudas līdzekļi"
"a2671","POS or payment system settlements","2671","asset_cash","","False","POS vai maksājumu sistēmu norēķini"
"a2696","Clearing of payments","2696","asset_current","","False","Maksājumu ieskaite"
"a2698","Currency exchange account","2698","asset_current","","False","Valūtas konvertācijas konts"
"a3110","Share capital or participation capital","3110","equity","","False","Pamatkapitāls vai līdzdalības kapitāls"
"a3111","Unregistered share capital","3111","equity","","False","Nereģistrēts pamatkapitāls"
"a3120","Share issue premium","3120","equity","","False","Akciju emisijas uzcenojums"
"a3130","Revaluation reserve for long-term investments","3130","equity","","False","Ilgtermiņa ieguldījumu pārvērtēšanas rezerve"
