"id","name","auto_apply","vat_required","country_id","sequence","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_lv","Latvia","1","1","base.lv","10","","",""
"fiscal_position_eu","EU Companies","1","1","","20","base.europe","tax_sale_vat_21","tax_sale_vat_0_eu_g"
"","","","","","","","tax_sale_vat_reverse","tax_sale_vat_0_eu_g"
"","","","","","","","tax_sale_vat_12","tax_sale_vat_0_eu_g"
"","","","","","","","tax_sale_vat_5","tax_sale_vat_0_eu_g"
"","","","","","","","tax_purchase_vat_21","tax_purchase_vat_21_eu"
"","","","","","","","tax_purchase_vat_12","tax_purchase_vat_12_eu"
"","","","","","","","tax_purchase_vat_5","tax_purchase_vat_5_eu"
"fiscal_position_eu_private","EU Consumer","1","","","30","base.europe","",""
"fiscal_position_ex","Outside EU","1","","","40","","tax_sale_vat_5","tax_sale_vat_0_ex_g"
"","","","","","","","tax_sale_vat_12","tax_sale_vat_0_ex_g"
"","","","","","","","tax_sale_vat_reverse","tax_sale_vat_0_ex_g"
"","","","","","","","tax_sale_vat_21","tax_sale_vat_0_ex_g"
"","","","","","","","tax_purchase_vat_21","tax_purchase_vat_21_ex_g"
"","","","","","","","tax_purchase_vat_12","tax_purchase_vat_21_ex_g"
"","","","","","","","tax_purchase_vat_5","tax_purchase_vat_21_ex_g"
