id,code_prefix_start,code_prefix_end,name,chart_template_id/id
ma_group_1,1,,Permanent Funding,l10nma_chart_template
ma_group_11,11,,Shareholders' Equity,l10nma_chart_template
ma_group_111,111,,Corporate or Personal Capital,l10nma_chart_template
ma_group_112,112,,"Share, Merger and Contribution Premiums",l10nma_chart_template
ma_group_113,113,,Revaluation Differences,l10nma_chart_template
ma_group_114,114,,Legal Reserve,l10nma_chart_template
ma_group_115,115,,Other Reserves,l10nma_chart_template
ma_group_116,116,,Retained Result,l10nma_chart_template
ma_group_118,118,,Net Results Pending Allocation,l10nma_chart_template
ma_group_119,119,,Net Result for the Fiscal Year,l10nma_chart_template
ma_group_13,13,,Related Shareholders' Equity,l10nma_chart_template
ma_group_131,131,,Investment Grants,l10nma_chart_template
ma_group_135,135,,Regulated Provisions,l10nma_chart_template
ma_group_14,14,,Financial Debts,l10nma_chart_template
ma_group_141,141,,Bond Loans,l10nma_chart_template
ma_group_148,148,,Other Financial Liabilities,l10nma_chart_template
ma_group_15,15,,Long-Term Provisions for Risks and Expenses,l10nma_chart_template
ma_group_151,151,,Provisions for Risks,l10nma_chart_template
ma_group_155,155,,Provisions for Expenses,l10nma_chart_template
ma_group_16,16,,Establishments' and Branches' Liaison Accounts,l10nma_chart_template
ma_group_160,160,,Establishments' and Branches' Liaison Accounts,l10nma_chart_template
ma_group_17,17,,Foreign Exchange Liabilities,l10nma_chart_template
ma_group_171,171,,Increase in Non-Current Receivables,l10nma_chart_template
ma_group_172,172,,Decrease in Financing Liabilities,l10nma_chart_template
ma_group_2,2,,Non-Current Assets,l10nma_chart_template
ma_group_21,21,,Non-Value Non-Current Assets,l10nma_chart_template
ma_group_211,211,,Start-Up Costs,l10nma_chart_template
ma_group_212,212,,Deferred Expenses over Several Years,l10nma_chart_template
ma_group_213,213,,Bond Redemption Premiums,l10nma_chart_template
ma_group_22,22,,Intangible Non-Current Assets,l10nma_chart_template
ma_group_221,221,,Non-Current Assets in Research and Development,l10nma_chart_template
ma_group_222,222,,"Patents, Trademarks, Rights and Similar Assets",l10nma_chart_template
ma_group_223,223,,Commercial Funds,l10nma_chart_template
ma_group_228,228,,Other Intangible Non-Current Assets,l10nma_chart_template
ma_group_23,23,,Tangible Non-Current Assets,l10nma_chart_template
ma_group_231,231,,Land,l10nma_chart_template
ma_group_232,232,,Constructions,l10nma_chart_template
ma_group_233,233,,"Technical Installations, Equipment and Tools",l10nma_chart_template
ma_group_234,234,,Transport Equipment,l10nma_chart_template
ma_group_235,235,,"Furniture, Office Equipment, Miscellaneous Amenities",l10nma_chart_template
ma_group_238,238,,Other Tangible Non-Current Assets,l10nma_chart_template
ma_group_239,239,,Tangible Non-Current Assets in Progress,l10nma_chart_template
ma_group_24,24,25,Financial Non-Current Assets,l10nma_chart_template
ma_group_241,241,,Non-Current Loans,l10nma_chart_template
ma_group_248,248,,Other Financial Receivables,l10nma_chart_template
ma_group_251,251,,Equity Securities,l10nma_chart_template
ma_group_258,258,,Other Long-Term Securities,l10nma_chart_template
ma_group_27,27,,Foreign Exchange Assets,l10nma_chart_template
ma_group_271,271,,Decrease in Non-Current Assets,l10nma_chart_template
ma_group_272,272,,Increase in Financing Liabilities,l10nma_chart_template
ma_group_28,28,,Depreciations of Non-Current Assets,l10nma_chart_template
ma_group_281,281,,Depreciations of Non-Value Assets,l10nma_chart_template
ma_group_282,282,,Depreciations of Intangible Non-Current Assets,l10nma_chart_template
ma_group_283,283,,Depreciations of Tangible Non-Current Assets,l10nma_chart_template
ma_group_29,29,,Provisions for Depreciation of Non-Current Assets,l10nma_chart_template
ma_group_292,292,,Provisions for Depreciation of Intangible Non-Current Assets,l10nma_chart_template
ma_group_293,293,,Provisions for Depreciation of Tangible Non-Current Assets,l10nma_chart_template
ma_group_294,294,295,Provisions for Depreciation of Financial Non-Current Assets,l10nma_chart_template
ma_group_3,3,,Current Assets Excluding Cash,l10nma_chart_template
ma_group_31,31,,Inventories,l10nma_chart_template
ma_group_311,311,,Goods,l10nma_chart_template
ma_group_312,312,,Consumable Materials and Supplies,l10nma_chart_template
ma_group_313,313,,Products in Progress,l10nma_chart_template
ma_group_314,314,,Intermediary and Residual Products,l10nma_chart_template
ma_group_315,315,,Finished Products,l10nma_chart_template
ma_group_34,34,,Receivables from Current Assets,l10nma_chart_template
ma_group_341,341,,"Supplier Receivables, Advances and Down Payments",l10nma_chart_template
ma_group_342,342,,Customers and Related Accounts,l10nma_chart_template
ma_group_343,343,,Personnel - Receivables,l10nma_chart_template
ma_group_345,345,,Government - Receivables,l10nma_chart_template
ma_group_346,346,,Partner Accounts - Receivables,l10nma_chart_template
ma_group_348,348,,Other Receivables,l10nma_chart_template
ma_group_349,349,,Accruals and Deferrals - Assets,l10nma_chart_template
ma_group_35,35,,Securities and Investment Assets,l10nma_chart_template
ma_group_350,350,,Securities and Investment Assets,l10nma_chart_template
ma_group_37,37,,Foreign Exchange Assets (Current Part),l10nma_chart_template
ma_group_370,370,,Foreign Exchange Assets (Current Part),l10nma_chart_template
ma_group_39,39,,Provisions for Depreciation of Current Assets Accounts,l10nma_chart_template
ma_group_391,391,,Provisions for Depreciation of Inventories,l10nma_chart_template
ma_group_394,394,,Provisions for Depreciation of Receivables from Current Assets,l10nma_chart_template
ma_group_395,395,,Provisions for Depreciation of Securities and Investment Assets,l10nma_chart_template
ma_group_4,4,,Current Liabilities Excluding Cash,l10nma_chart_template
ma_group_44,44,,Debts of Current Liabilities,l10nma_chart_template
ma_group_441,441,,Suppliers and Related Accounts,l10nma_chart_template
ma_group_442,442,,"Customer Payables, Advances and Down Payments",l10nma_chart_template
ma_group_443,443,,Personnel - Payables,l10nma_chart_template
ma_group_444,444,,Social Organizations - Payables,l10nma_chart_template
ma_group_445,445,,Government - Payables,l10nma_chart_template
ma_group_446,446,,Partner Accounts - Payables,l10nma_chart_template
ma_group_448,448,,Other Creditors,l10nma_chart_template
ma_group_449,449,,Accruals and Deferrals - Liabilities,l10nma_chart_template
ma_group_45,45,,Other Provisions for Risks and Expenses,l10nma_chart_template
ma_group_450,450,,Other Provisions for Risks and Expenses,l10nma_chart_template
ma_group_47,47,,Foreign Exchange Liabilities (Current Part),l10nma_chart_template
ma_group_470,470,,Foreign Exchange Liabilities (Current Part),l10nma_chart_template
ma_group_5,5,,Cash,l10nma_chart_template
ma_group_51,51,,Cash - Assets,l10nma_chart_template
ma_group_511,511,,Checks and Securities to be Cashed,l10nma_chart_template
ma_group_514,514,,"Bank, General Treasury and Postal Checks in Debit",l10nma_chart_template
ma_group_516,516,,"Cash, Imprest Accounts and Letters of Credit",l10nma_chart_template
ma_group_55,55,,Cash - Liabilities,l10nma_chart_template
ma_group_552,552,,Discount Credits,l10nma_chart_template
ma_group_553,553,,Cash Credits,l10nma_chart_template
ma_group_554,554,,Banks (Credit Balances),l10nma_chart_template
ma_group_59,59,,Provisions for Depreciation of Cash Accounts,l10nma_chart_template
ma_group_590,590,,Provisions for Depreciation of Cash Accounts,l10nma_chart_template
ma_group_6,6,,Expense Accounts,l10nma_chart_template
ma_group_61,61,,Operating Expenses,l10nma_chart_template
ma_group_611,611,,Purchases of Goods Resold,l10nma_chart_template
ma_group_612,612,,Purchases of Materials and Supplies Consumed,l10nma_chart_template
ma_group_613,613,614,Other External Expenses,l10nma_chart_template
ma_group_616,616,,Taxes and Duties,l10nma_chart_template
ma_group_617,617,,Personnel Expenses,l10nma_chart_template
ma_group_618,618,,Other Operating Expenses,l10nma_chart_template
ma_group_619,619,,Operating Allocations,l10nma_chart_template
ma_group_63,63,,Financial Expenses,l10nma_chart_template
ma_group_631,631,,Interest Expenses,l10nma_chart_template
ma_group_633,633,,Foreign Exchange Losses,l10nma_chart_template
ma_group_638,638,,Other Financial Expenses,l10nma_chart_template
ma_group_639,639,,Financial Allocations,l10nma_chart_template
ma_group_65,65,,Non-Current Expenses,l10nma_chart_template
ma_group_651,651,,Net Depreciation Value of Non-Current Assets Sold,l10nma_chart_template
ma_group_656,656,,Subsidies Granted,l10nma_chart_template
