"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@fr","invoice_label@fr"
"vat_out_20_74","10","Rental of electricity meters","20%","20% 74","20","percent","sale","tax_group_vat_20","","on_payment","pcg_44551","base","invoice","+74B","","","20% 74","Location de compteurs d’électricité"
"","","","","","","","","","","","","tax","invoice","+74T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-74B","","","",""
"","","","","","","","","","","","","tax","refund","-74T","pcg_4455","","",""
"vat_out_20_80","20","Production and distribution operations","20%","20% 80","20","percent","sale","tax_group_vat_20","","on_payment","pcg_44551","base","invoice","+80B","","","20% 80","Opérations de production et de distribution"
"","","","","","","","","","","","","tax","invoice","+80T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-80B","","","",""
"","","","","","","","","","","","","tax","refund","-80T","pcg_4455","","",""
"vat_out_20_81","30","Services","20%","20% 81","20","percent","sale","tax_group_vat_20","","on_payment","pcg_44551","base","invoice","+81B","","","20% 81","Prestations de services"
"","","","","","","","","","","","","tax","invoice","+81T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-81B","","","",""
"","","","","","","","","","","","","tax","refund","-81T","pcg_4455","","",""
"vat_out_20_82","40","Liberal professions referred to in Article 89-I-12°-(b) of the CGI","20%","20% 82","20","percent","sale","tax_group_vat_20","False","on_payment","pcg_44551","base","invoice","+82B","","","20% 82","Professions libérales visées à l'article 89-I-12°-(b) du CGI"
"","","","","","","","","","","","","tax","invoice","+82T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-82B","","","",""
"","","","","","","","","","","","","tax","refund","-82T","pcg_4455","","",""
"vat_out_20_83","50","Leasing operations","20%","20% 83","20","percent","sale","tax_group_vat_20","False","on_payment","pcg_44551","base","invoice","+83B","","","20% 83","Opérations de crédit-bail "
"","","","","","","","","","","","","tax","invoice","+83T","pcg_4455","","",""
"","","","","","","","","","","","","base","refund","-83B","","","",""
"","","","","","","","","","","","","tax","refund","-83T","pcg_4455","","",""
