"id","name","country_id","tax_receivable_account_id","tax_payable_account_id","name@fr"
"tax_group_vat_20","VAT 20%","base.ma","pcg_3456","pcg_4456","TVA 20%"
"tax_group_vat_18","VAT 18%","base.ma","pcg_3456","pcg_4456","TVA 18%"
"tax_group_vat_16","VAT 16%","base.ma","pcg_3456","pcg_4456","TVA 16%"
"tax_group_vat_15","VAT 15%","base.ma","pcg_3456","pcg_4456","TVA 15%"
"tax_group_vat_14","VAT 14%","base.ma","pcg_3456","pcg_4456","TVA 14%"
"tax_group_vat_13","VAT 13%","base.ma","pcg_3456","pcg_4456","TVA 13%"
"tax_group_vat_12","VAT 12%","base.ma","pcg_3456","pcg_4456","TVA 12%"
"tax_group_vat_11","VAT 11%","base.ma","pcg_3456","pcg_4456","TVA 11%"
"tax_group_vat_10","VAT 10%","base.ma","pcg_3456","pcg_4456","TVA 10%"
"tax_group_vat_9","VAT 9%","base.ma","pcg_3456","pcg_4456","TVA 9%"
"tax_group_vat_8","VAT 8%","base.ma","pcg_3456","pcg_4456","TVA 8%"
"tax_group_vat_7","VAT 7%","base.ma","pcg_3456","pcg_4456","TVA 7%"
"tax_group_vat_0","VAT 0%","base.ma","pcg_3456","pcg_4456","TVA 0%"
