"id","name","country_id:id","name@my_MM"
"l10n_mm_tax_group_5_commercial_tax","5% Commercial Tax","base.mm","၅% ကုန်သွယ်လုပ်ငန်းခွန်"
"l10n_mm_tax_group_3_commercial_tax","3% Commercial Tax","base.mm","၃% ကုန်သွယ်လုပ်ငန်းခွန်"
"l10n_mm_tax_group_1_commercial_tax","1% Commercial Tax","base.mm","၁% ကုန်သွယ်လုပ်ငန်းခွန်"
"l10n_mm_tax_group_15_commercial_tax","15% Commercial Tax","base.mm","၁၅% ကုန်သွယ်လုပ်ငန်းခွန်"
"l10n_mm_tax_group_0_commercial_tax","0% Commercial Tax","base.mm","၀% ကုန်သွယ်လုပ်ငန်းခွန်"
"l10n_mm_tax_group_exempt","Exempt","base.mm","အခွန်ကင်းလွတ်ခွင့် (သို့မဟုတ်) ကင်းလွတ်"
"l10n_mm_tax_group_2_r_wht","2% R WHT","base.mm","၂% နေထိုင်သူ ကြိုတင်နှုတ်ယူခွန်"
"l10n_mm_tax_group_2_5_nr_wht","2.5% NR WHT","base.mm","၂.၅% နေထိုင်သူမဟုတ်သူ ကြိုတင်နှုတ်ယူခွန်"
"l10n_mm_tax_group_10_r_wht","10% R WHT","base.mm","၁၀% နေထိုင်သူ ကြိုတင်နှုတ်ယူခွန်"
"l10n_mm_tax_group_15_nr_wht","15% NR WHT","base.mm","၁၅% နေထိုင်သူမဟုတ်သူ ကြိုတင်နှုတ်ယူခွန်"
