"id","name","code","account_type","tag_ids","reconcile"
"mu_current_assets","Current Assets","1010","asset_current","","False"
"mu_stock_in","Stock Interim (Received)","1102","asset_current","","True"
"mu_stock_valuation","Stock Valuation","1101","asset_current","","False"
"mu_stock_out","Stock Interim (Delivered)","1103","asset_current","","True"
"mu_cost_of_production","Cost of Production","1104","asset_current","","True"
"mu_receivable","Account Receivable","1210","asset_receivable","","True"
"mu_pos_receivable","Account Receivable (PoS)","122O","asset_receivable","","True"
"mu_to_receive_rec","Products to receive","1230","asset_current","","True"
"mu_tax_paid","Tax Paid","1310","asset_current","","False"
"mu_tax_receivable","Tax Receivable","1320","asset_current","","False"
"mu_prepayments","Prepayments","1410","asset_prepayments","","False"
"mu_fixed_assets","Fixed Asset","1510","asset_fixed","","False"
"mu_non_current_assets","Non-current assets","1910","asset_non_current","","False"
"mu_current_liabilities","Current Liabilities","2010","liability_current","","False"
"mu_payable","Account Payable","2110","liability_payable","","True"
"mu_to_receive_pay","Bills to receive","2111","liability_current","","True"
"mu_salary_payable","Salary Payable","2300","liability_current","","True"
"mu_employee_payroll_taxes","Employee Payroll Taxes","2301","liability_current","","True"
"mu_employer_payroll_taxes","Employer Payroll Taxes","2302","liability_current","","True"
"mu_tax_received","Tax Received","2510","liability_current","","False"
"mu_tax_payable","Tax Payable","2520","liability_current","","False"
"mu_non_current_liabilities","Non-current Liabilities","2910","liability_non_current","","False"
"mu_capital","Capital","3010","equity","","False"
"mu_dividends","Dividends","3020","equity","","False"
"mu_income","Product Sales","4000","income","account.account_tag_operating","False"
"mu_income_currency_exchange","Foreign Exchange Gain","4410","income","account.account_tag_financing","False"
"mu_cash_diff_income","Cash Difference Gain","4420","income","account.account_tag_investing","False"
"mu_cash_discount_loss","Cash Discount Loss","4430","expense","","False"
"mu_other_income","Other Income","4500","income_other","","False"
"mu_cost_of_goods_sold","Cost of Goods Sold","5000","expense_direct_cost","account.account_tag_operating","False"
"mu_expense","Expenses","6000","expense","account.account_tag_operating","False"
"mu_expense_invest","Purchase of Equipments","6110","expense","account.account_tag_investing","False"
"mu_expense_rent","Rent","6120","expense","account.account_tag_investing","False"
"mu_expense_finance","Bank Fees","6200","expense","account.account_tag_financing","False"
"mu_expense_salary","Salary Expenses","6300","expense","account.account_tag_operating","False"
"mu_expense_currency_exchange","Foreign Exchange Loss","6410","expense","account.account_tag_financing","False"
"mu_cash_diff_expense","Cash Difference Loss","6420","expense","account.account_tag_investing","False"
"mu_cash_discount_gain","Cash Discount Gain","6430","income","","False"
"mu_expense_rd","RD Expenses","9610","expense","account.account_tag_investing","False"
"mu_expense_sales","Sales Expenses","9620","expense","account.account_tag_investing","False"
