id,name,applicability,country_id/id,color
tag_iva,IVA,taxes,base.mx,0
tag_isr,ISR,taxes,base.mx,0
tag_ieps,IEPS,taxes,base.mx,0
tag_diot_16,DIOT: 16%,taxes,base.mx,0
tag_diot_16_non_cre,DIOT: 16% NO ACREDITABLE,taxes,base.mx,0
tag_diot_16_refund,DIOT: 16% REFUNDS,taxes,base.mx,0
tag_diot_16_imp,DIOT: 16% IMPORTACIÓN,taxes,base.mx,0
tag_diot_16_imp_non_cre,DIOT: 16% IMPORTACIÓN NO ACREDITABLE,taxes,base.mx,0
tag_diot_16_imp_refund,DIOT: 16% IMPORTACIÓN REFUNDS,taxes,base.mx,0
tag_diot_0,DIOT: 0%,taxes,base.mx,0
tag_diot_8,DIOT: 8% N.,taxes,base.mx,0
tag_diot_8_non_cre,DIOT: 8% N. NO ACREDITABLE,taxes,base.mx,0
tag_diot_8_refund,DIOT: 8% N. REFUNDS,taxes,base.mx,0
tag_diot_8_south,DIOT: 8% S.,taxes,base.mx,0
tag_diot_8_south_non_cre,DIOT: 8% S. NO ACREDITABLE,taxes,base.mx,0
tag_diot_8_south_refund,DIOT: 8% S. REFUNDS,taxes,base.mx,0
tag_diot_16_imp_int,DIOT: 16% IMPORTACIÓN INTANGIBLES,taxes,base.mx,0
tag_diot_16_imp_int_non_cre,DIOT: 16% IMPORTACIÓN INTANGIBLES NO ACREDITABLE,taxes,base.mx,0
tag_diot_16_imp_int_refund,DIOT: 16% IMPORTACIÓN INTANGIBLES REFUNDS,taxes,base.mx,0
tag_diot_ret,DIOT: Retención,taxes,base.mx,0
tag_diot_exento,DIOT: Exento,taxes,base.mx,0
tag_diot_exento_imp,DIOT: Exento Importación,taxes,base.mx,0
tag_diot_no_obj,DIOT: No tax object,taxes,base.mx,0
tag_debit_balance_account,Debit Balance Account,accounts,base.mx,0
tag_credit_balance_account,Credit Balance Account,accounts,base.mx,0
