id,name,code,account_type,chart_template_id/id,reconcile,tag_ids/id
cuenta102_02,Foreign currency bank transfers,102.02.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta105_01,Domestic customers,105.01.01,asset_receivable,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta105_02,National customers (PoS),105.01.02,asset_receivable,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta107_05_01,Goods Shipped - No Invoices,107.05.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta108_01,Allowance for doubtful accounts national,108.01.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta108_02,Allowance for doubtful accounts foreign,108.02.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta115_01,Inventory,115.01.01,asset_current,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta115_02,Raw materials and materials,115.02.01,asset_current,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta115_03,Production in progress,115.03.01,asset_current,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta115_04,Finished products,115.04.01,asset_current,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta115_05,Goods in transit,115.05.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta115_06,Goods held by third parties,115.06.01,asset_current,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta118_01,Creditable VAT paid,118.01.01,asset_current,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta118_03,IEPS creditable paid,118.03.01,asset_current,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta119_01,VAT due,119.01.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta119_03,IEPS due,119.03.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta120_01,Advance to national suppliers,120.01.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta120_02,Advance payment to foreign suppliers,120.02.01,asset_current,l10n_mx.mx_coa,True,l10n_mx.tag_debit_balance_account
cuenta201_01,National suppliers,201.01.01,liability_payable,l10n_mx.mx_coa,True,l10n_mx.tag_credit_balance_account
cuenta205_06_01,Goods Received - No Invoices,205.06.01,liability_current,l10n_mx.mx_coa,True,l10n_mx.tag_credit_balance_account
cuenta206_01,Domestic customer advance,206.01.01,liability_current,l10n_mx.mx_coa,True,l10n_mx.tag_credit_balance_account
cuenta206_02,Advance payment from foreign customer,206.02.01,liability_current,l10n_mx.mx_coa,True,l10n_mx.tag_credit_balance_account
cuenta206_05_01,Other customer advances,206.05.01,liability_current,l10n_mx.mx_coa,True,l10n_mx.tag_credit_balance_account
cuenta208_01,VAT carried forward collected,208.01.01,liability_current,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta208_02,IEPS carried forward collected,208.02.01,liability_current,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta209_01,VAT carried forward not collected,209.01.01,liability_current,l10n_mx.mx_coa,True,l10n_mx.tag_credit_balance_account
cuenta209_02,IEPS carried forward not collected,209.02.01,liability_current,l10n_mx.mx_coa,True,l10n_mx.tag_credit_balance_account
cuenta216_03,Withholding of income tax for leasing,216.03.01,liability_current,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta216_04,Taxes withheld from income tax for professional services,216.04.01,liability_current,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta216_10,VAT withholding taxes,216.10.10,liability_current,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta216_10_20,VAT withholding tax effectively paid,216.10.20,liability_current,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta302_01,Heritage,302.01.01,equity,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta304_01,Profit from previous years,304.01.01,equity,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta305_01,Profit for the year,305.01.01,equity,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta401_01,Sales and/or services taxed at the general rate,401.01.01,income,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta501_01,Cost of sales,501.01.01,expense_direct_cost,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta601_84,Other overheads,601.84.01,expense,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta701_01,Foreign exchange loss,701.01.01,expense,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta702_01,Exchange profit,702.01.01,income,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
cuenta801_01,Tax gain or loss on sale and/or derecognition of fixed assets,811.01.01,expense,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta801_01_99,Taxable Cash Flow Tax Basis,899.01.99,expense,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta9993,Cash Discount Loss,9993,expense,l10n_mx.mx_coa,False,l10n_mx.tag_debit_balance_account
cuenta9994,Cash Discount Gain,9994,income_other,l10n_mx.mx_coa,False,l10n_mx.tag_credit_balance_account
