"id","chart_template_id/id","name","code_prefix_start"
"account_group_activos","l10n_mx.mx_coa","Activos","1"
"account_subgroup_activo_a_corto_plazo","l10n_mx.mx_coa","Activo a corto plazo","100.01"
"account_subgroup_caja","l10n_mx.mx_coa","Caja","101"
"account_subgroup_caja_y_efectivo","l10n_mx.mx_coa","Caja y efectivo","101.01"
"account_subgroup_bancos","l10n_mx.mx_coa","Bancos","102"
"account_subgroup_bancos_nacionales","l10n_mx.mx_coa","Bancos nacionales","102.01"
"account_subgroup_bancos_extranjeros","l10n_mx.mx_coa","Bancos extranjeros","102.02"
"account_subgroup_inversiones","l10n_mx.mx_coa","Inversiones","103"
"account_subgroup_inversiones_temporales","l10n_mx.mx_coa","Inversiones temporales","103.01"
"account_subgroup_inversiones_en_fideicomisos","l10n_mx.mx_coa","Inversiones en fideicomisos","103.02"
"account_subgroup_otras_inversiones","l10n_mx.mx_coa","Otras inversiones","103.03"
"account_subgroup_otros_instrumentos_financieros","l10n_mx.mx_coa","Otros instrumentos financieros","104"
"account_subgroup_otros_instrumentos_financieros_1","l10n_mx.mx_coa","Otros instrumentos financieros","104.01"
"account_subgroup_clientes","l10n_mx.mx_coa","Clientes","105"
"account_subgroup_clientes_nacionales","l10n_mx.mx_coa","Clientes nacionales","105.01"
"account_subgroup_clientes_extranjeros","l10n_mx.mx_coa","Clientes extranjeros","105.02"
"account_subgroup_clientes_nacionales_parte_relacionada","l10n_mx.mx_coa","Clientes nacionales parte relacionada","105.03"
"account_subgroup_clientes_extranjeros_parte_relacionada","l10n_mx.mx_coa","Clientes extranjeros parte relacionada","105.04"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo","l10n_mx.mx_coa","Cuentas y documentos por cobrar a corto plazo","106"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo_nacional","l10n_mx.mx_coa","Cuentas y documentos por cobrar a corto plazo nacional","106.01"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo_extranjero","l10n_mx.mx_coa","Cuentas y documentos por cobrar a corto plazo extranjero","106.02"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo_nacional_parte_relacionada","l10n_mx.mx_coa","Cuentas y documentos por cobrar a corto plazo nacional parte relacionada","106.03"
"account_subgroup_cuentas_y_documentos_por_cobrar_a_corto_plazo_extranjero_parte_relacionada","l10n_mx.mx_coa","Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada","106.04"
