"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","tax_exigibility","cash_basis_transition_account_id","include_base_amount","l10n_mx_tax_type","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","name@es"
"ieps_8_sale","0","IEPS 8% SALES","","IEPS 8%","8.0","percent","sale","tax_group_ieps_8","on_payment","cuenta209_02","1","","0","base","invoice","","","IEPS 8% VENTAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta208_02","l10n_mx.tag_ieps",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta208_02","l10n_mx.tag_ieps",""
"ieps_8_purchase","1","IEPS 8% PURCHASES","","IEPS 8%","8.0","percent","purchase","tax_group_ieps_8","on_payment","cuenta119_03","1","","","base","invoice","","","IEPS 8% COMPRAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta118_03","l10n_mx.tag_ieps",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta118_03","l10n_mx.tag_ieps",""
"ieps_25_sale","2","IEPS 25% SALES","","IEPS 25%","25.0","percent","sale","tax_group_ieps_25","on_payment","cuenta209_02","1","","0","base","invoice","","","IEPS 25% VENTAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta208_02","l10n_mx.tag_ieps",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta208_02","l10n_mx.tag_ieps",""
"ieps_25_purchase","3","IEPS 25% PURCHASES","","IEPS 25%","25.0","percent","purchase","tax_group_ieps_25","on_payment","cuenta119_03","1","","","base","invoice","","","IEPS 25% COMPRAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta118_03","l10n_mx.tag_ieps",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta118_03","l10n_mx.tag_ieps",""
"ieps_26_5_sale","4","IEPS 26.5% SALES","","IEPS 26.5%","26.5","percent","sale","tax_group_ieps_26_5","on_payment","cuenta209_02","1","","0","base","invoice","","","IEPS 26.5% VENTAS"
"","","","","","","","","","","","","","","tax","invoice","cuenta208_02","l10n_mx.tag_ieps",""
"","","","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","","","tax","refund","cuenta208_02","l10n_mx.tag_ieps",""
