id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
l10n_my_11,Fixed Assets,11,account.data_account_type_fixed_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1110,Furniture and Fixtures,1110,account.data_account_type_non_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1130,Equipment,1130,account.data_account_type_non_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1140,Decoration,1140,account.data_account_type_non_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1160,Investments,1160,account.data_account_type_non_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_12,Current Assets,12,account.data_account_type_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1240,Account Receivable,1240,account.data_account_type_receivable,l10n_my.l10n_my_chart_template,,True
l10n_my_1241,Utility & Rental Deposit,1241,account.data_account_type_current_assets,l10n_my.l10n_my_chart_template,,True
l10n_my_1242,Supplier Prepayments,1242,account.data_account_type_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1243,Account Receivable (PoS),1243,account.data_account_type_receivable,l10n_my.l10n_my_chart_template,,True
l10n_my_1245,Sundry Deposits,1245,account.data_account_type_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1246,Other Receivable,1246,account.data_account_type_receivable,l10n_my.l10n_my_chart_template,,True
l10n_my_1250,Stock Interim Account (Received),1250,account.data_account_type_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1260,Stock Interim Account (Delivered),1260,account.data_account_type_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_1270,Stock Valuation Account,1270,account.data_account_type_current_assets,l10n_my.l10n_my_chart_template,,False
l10n_my_21,Non-current Liabilities,21,account.data_account_type_non_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_22,Current Liabilities,22,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_2210,Accruals,2210,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_22101,Accruals - KWSP,22101,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_22102,Accruals - PCB,22102,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_22103,Accruals - SOCSO,22103,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_22104,Accruals - EIS,22104,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_2211,Account Payable,2211,account.data_account_type_payable,l10n_my.l10n_my_chart_template,,True
l10n_my_2212,Receipt in Advance (Customer Prepayments),2212,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_2213,SST Control Account,2213,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_2214,Provision for Taxation,2214,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_2215,Proposed Dividend,2215,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_2216,Other Payable,2216,account.data_account_type_payable,l10n_my.l10n_my_chart_template,,True
l10n_my_31,Paid Capital,31,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_32,Accumulated Profit & Loss,32,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_33,Profit & Loss Account,33,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_34,Short-term Borrowing,34,account.data_account_type_current_liabilities,l10n_my.l10n_my_chart_template,,False
l10n_my_41,Trade Income,41,account.data_account_type_revenue,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_42,Other Income and Gains,42,account.data_account_type_revenue,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_4210,Sundry Income,4210,account.data_account_type_revenue,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_4220,Exchange Adjustment,4220,account.data_account_type_revenue,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_4230,Bank Interest Income,4230,account.data_account_type_revenue,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_4240,Foreign Exchange Gain,4240,account.data_account_type_revenue,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_51,Costs,51,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5101,Trade Costs,5101,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5105,Misc. Costs,5105,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5106,Costs of Transportation,5106,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5111,Declaration Fees,5111,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5112,Packing Fees,5112,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_52,Expenses,52,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5201,Bank Charges,5201,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5202,Entertainment,5202,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5203,Electricity & Water Fees,5203,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
l10n_my_5205,Postage & Stamps,5205,account.data_account_type_expenses,l10n_my.l10n_my_chart_template,account.account_tag_operating,False
