id,code_prefix_start,code_prefix_end,name,chart_template_id/id
"l10n_mz_account_group_1",1,," Financial resources","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_2",2,,"Inventories and biological assets","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_21",21,,"Purchased Inventories","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_212",212,,"Purchased Raw materials and other supplies","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_2123",2123,,"Other Purchased materials","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_22",22,,"Goods","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_23",23,,"Finished and intermediate goods","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_24",24,,"By-products, waste and scrap","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_26",26,,"Raw materials and other supplies","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_263",263,,"Other materials","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_27",27,,"Biological assets","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_271",271,,"Biological assets for production","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_272",272,,"Consumable biological assets","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_28",28,,"Inventory adjustments","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_29",29,,"Net realisable value adjustments","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_3",3,,"Capital investments","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_31",31,,"Financial investments","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_32", 32,,"Tangible assets","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_321",321,,"Buildings","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_33",33,,"Intangible assets","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_34",34,,"Assets under construction","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_38",38,,"Accumulated depreciation and amortisation","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_4",4,,"Accounts receivable, accounts payable, accruals, and deferrals","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_41",41,,"Trade receivables","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_42",42,,"Trade payables","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_43",43,,"Borrowings","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_431",431,,"Bank loans","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_44",44,,"State","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_441",441,,"Income tax","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_442",442,,"Withholding tax","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_443",443,,"Value added tax","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_4431",4431,,"Input VAT","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_4432",4432,,"Deductible VAT","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_4433",4433,,"Assessed VAT","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_4434",4434,,"VAT adjustments","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_444",444,,"Remaining taxes","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_45",45,,"Other receivables","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_451",451,,"Employees receivables","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_452",452,,"Subscribers of Capital","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_454",454,,"Debtors – partners, shareholders or owners","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_455",455,,"Grants receivable","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_46",46,,"Other payables","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_461",461,,"Capital expenditure creditors","l10n_mz.l10n_mz_chart_template"
"l10n_mz_account_group_462",462,,"Employees payables","l10n_mz.l10n_mz_chart_template"
