id,code,name,user_type_id:id,reconcile,chart_template_id:id
1002010,1002010,Cost: Fixtures and Fittings,account.data_account_type_fixed_assets,FALSE,l10n_ng
1002011,1002011,Fixtures and Fittings Accum Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_ng
1003010,1003010,Cost: Motor Vehicles,account.data_account_type_fixed_assets,FALSE,l10n_ng
1003011,1003011,Motor Vehicles Accum Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_ng
1004010,1004010,Cost: Office Equipment + Computers,account.data_account_type_fixed_assets,FALSE,l10n_ng
1004011,1004011,Office Equipment + Computers Accum Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_ng
1005010,1005010,"Cost: Plant,Machinery & Equipment",account.data_account_type_fixed_assets,FALSE,l10n_ng
1005011,1005011,"Plant,Machinery & Equipment Accum Depreciation",account.data_account_type_fixed_assets,FALSE,l10n_ng
1006010,1006010,Cost: Investment Property,account.data_account_type_fixed_assets,FALSE,l10n_ng
1006011,1006011,Investment Property Accum Depreciation,account.data_account_type_fixed_assets,FALSE,l10n_ng
1011010,1011010,Cost:Software,account.data_account_type_non_current_assets,FALSE,l10n_ng
1011011,1011011,Software Accum Amortization,account.data_account_type_non_current_assets,FALSE,l10n_ng
1031001,1031001,Fixed Deposit in Bank,account.data_account_type_non_current_assets,FALSE,l10n_ng
1031002,1031002,Deferred Tax Asset,account.data_account_type_non_current_assets,FALSE,l10n_ng
1100011,1100011,Trade Receivable Control Account,account.data_account_type_receivable,TRUE,l10n_ng
1200011,1200011,Prepaid Rent,account.data_account_type_prepayments,FALSE,l10n_ng
1200012,1200012,Prepaid Insurance,account.data_account_type_prepayments,FALSE,l10n_ng
1200013,1200013,Prepaid Others,account.data_account_type_prepayments,FALSE,l10n_ng
1300011,1300011,Inventory 1,account.data_account_type_current_assets,FALSE,l10n_ng
1300012,1300012,Inventory 2,account.data_account_type_current_assets,FALSE,l10n_ng
1400011,1400011,Value Added Tax - Receivable,account.data_account_type_current_assets,FALSE,l10n_ng
1400012,1400012,Withholding Tax Receivable,account.data_account_type_current_assets,FALSE,l10n_ng
1400013,1400013,Staff Loans Receivable,account.data_account_type_current_assets,FALSE,l10n_ng
1400014,1400014,Others Receivables,account.data_account_type_current_assets,TRUE,l10n_ng
1410011,1410011,Other current Assets,account.data_account_type_current_assets,TRUE,l10n_ng
1410012,1410012,Outstanding Receipts,account.data_account_type_current_assets,TRUE,l10n_ng
1410013,1410013,Outstanding Payments,account.data_account_type_current_assets,TRUE,l10n_ng
1410014,1410014,Outstanding Receipts,account.data_account_type_current_assets,TRUE,l10n_ng
1410015,1410015,Outstanding Payments,account.data_account_type_current_assets,TRUE,l10n_ng
1410016,1410016,Outstanding Receipts,account.data_account_type_current_assets,TRUE,l10n_ng
1410017,1410017,Outstanding Payments,account.data_account_type_current_assets,TRUE,l10n_ng
1410018,1410018,Outstanding Receipts,account.data_account_type_current_assets,TRUE,l10n_ng
1410019,1410019,Outstanding Payments,account.data_account_type_current_assets,TRUE,l10n_ng
1410020,1410020,Transfer Account,account.data_account_type_current_assets,TRUE,l10n_ng
1410021,1410021,Liquidity Transfer,account.data_account_type_current_assets,TRUE,l10n_ng
1500011,1500011,Cash,account.data_account_type_liquidity,FALSE,l10n_ng
1500012,1500012,Petty Cash Account 1,account.data_account_type_liquidity,FALSE,l10n_ng
1500013,1500013,Bank Account 1,account.data_account_type_liquidity,FALSE,l10n_ng
1500014,1500014,Bank Account 2,account.data_account_type_liquidity,FALSE,l10n_ng
2010001,2010001,Long Term Loan,account.data_account_type_non_current_liabilities,TRUE,l10n_ng
2100011,2100011,Trade Creditors Control,account.data_account_type_payable,TRUE,l10n_ng
2100012,2100012,Bank Suspense Account,account.data_account_type_current_liabilities,TRUE,l10n_ng
