"id","country_id:id","name","code"
state_nl_dr,base.nl,"Drenthe","DR"
state_nl_fl,base.nl,"Flevoland","FL"
state_nl_fr,base.nl,"Friesland","FR"
state_nl_ge,base.nl,"Gelderland","GE"
state_nl_gr,base.nl,"Groningen","GR"
state_nl_li,base.nl,"Limburg","LI"
state_nl_nb,base.nl,"Noord-Brabant","NB"
state_nl_nh,base.nl,"Noord-Holland","NH"
state_nl_ov,base.nl,"Overijssel","OV"
state_nl_ut,base.nl,"Utrecht","UT"
state_nl_ze,base.nl,"Zeeland","ZE"
state_nl_zh,base.nl,"Zuid-Holland","ZH"
state_nl_bq1,base.nl,"Bonaire","BQ1"
state_nl_bq2,base.nl,"Saba","BQ2"
state_nl_bq3,base.nl,"Sint Eustatius","BQ3"
