"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@nl","invoice_label@nl"
"btw_0","10","0%","Sales/turnover untaxed (zero rate)","0% VAT","0.0","percent","sale","tax_group_0","","base","invoice","+1e (omzet)","","","Verkopen/omzet onbelast (nul-tarief) diensten","0% BTW"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","-1e (omzet)","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"btw_9","10","9% ST","Sales/turnover low 9%","9% VAT","9.0","percent","sale","tax_group_9","","base","invoice","+1b (omzet)","","","BTW te vorderen laag (inkopen) 9%","9% BTW"
"","","","","","","","","","","tax","invoice","+1b (BTW)","vat_payable_l","","",""
"","","","","","","","","","","base","refund","-1b (omzet)","","","",""
"","","","","","","","","","","tax","refund","-1b (BTW)","vat_payable_l","","",""
"btw_21","5","21% ST","Sales/turnover high","21% VAT","21.0","percent","sale","tax_group_21","","base","invoice","+1a (omzet)","","","Verkopen/omzet hoog","21% BTW"
"","","","","","","","","","","tax","invoice","+1a (BTW)","vat_payable_h","","",""
"","","","","","","","","","","base","refund","-1a (omzet)","","","",""
"","","","","","","","","","","tax","refund","-1a (BTW)","vat_payable_h","","",""
"btw_overig","15","21% ST O","Sales/turnover other","variable VAT","21.0","percent","sale","tax_group_21","","base","invoice","+1a (omzet)","","","Verkopen/omzet overig diensten","variabel BTW"
"","","","","","","","","","","tax","invoice","+1a (BTW)","vat_payable_h","","",""
"","","","","","","","","","","base","refund","-1c (omzet)","","","",""
"","","","","","","","","","","tax","refund","-1c (BTW)","vat_payable_h","","",""
"btw_0_d","10","0% ST S","Sales/turnover untaxed (zero rate) services","0% VAT","0.0","percent","sale","tax_group_0","","base","invoice","+1e (omzet)","","","Verkopen/omzet onbelast (nul-tarief) diensten","0% BTW"
"","","","","","","","","","","tax","invoice","","","","",""
