"Referentiecode";"Referentienummer";"Omschrijving";"D/C";"Niveau";"ReferentieOmslagcode";"Wijziging"
"B";;;;1;;
"BIva";;"IMMATERIËLE VASTE ACTIVA";"D";2;;
"BIvaKou";"0101000";"Kosten van oprichting en van uitgifte van aandelen";"D";3;;
"BIvaKouVvp";"0101010";"Verkrijgings- of vervaardigingsprijs kosten van oprichting en van uitgifte van aandelen";"D";4;;
"BIvaKouVvpBeg";"0101010.01";"Beginbalans kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouVvpInv";"0101010.02";"Investeringen kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouVvpAdo";"0101010.03";"Aankopen door overnames kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouVvpDes";"0101010.04";"Desinvesteringen kosten van oprichting en van uitgifte van aandelen";"C";5;;
"BIvaKouVvpDda";"0101010.05";"Desinvesteringen door afstotingen kosten van oprichting en van uitgifte van aandelen";"C";5;;
"BIvaKouVvpOmv";"0101010.06";"Omrekeningsverschillen kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouVvpOvm";"0101010.07";"Overige mutaties kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouCae";"0101020";"Cumulatieve afschrijvingen en waardeverminderingen kosten van oprichting en van uitgifte van aandelen";"C";4;;
"BIvaKouCaeBeg";"0101020.01";"Beginbalans kosten van oprichting en van uitgifte van aandelen";"C";5;;
"BIvaKouCaeAfs";"0101020.02";"Afschrijvingen kosten van oprichting en van uitgifte van aandelen";"C";5;;
"BIvaKouCaeDca";"0101020.03";"Desinvestering cumulatieve afschrijvingen en waardeverminderingen kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouCaeWvr";"0101020.04";"Waardeverminderingen kosten van oprichting en van uitgifte van aandelen";"C";5;;
"BIvaKouCaeTvw";"0101020.05";"Terugneming van waardeverminderingen kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouCuh";"0101030";"Cumulatieve herwaarderingen kosten van oprichting en van uitgifte van aandelen";"D";4;;
"BIvaKouCuhBeg";"0101030.01";"Beginbalans kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouCuhHer";"0101030.02";"Herwaarderingen kosten van oprichting en van uitgifte van aandelen";"D";5;;
"BIvaKouCuhAfh";"0101030.03";"Afschrijving herwaarderingen kosten van oprichting en van uitgifte van aandelen";"C";5;;
"BIvaKouCuhDeh";"0101030.04";"Desinvestering herwaarderingen kosten van oprichting en van uitgifte van aandelen";"C";5;;
"BIvaKoo";"0102000";"Kosten van onderzoek en ontwikkeling";"D";3;;
"BIvaKooVvp";"0102010";"Verkrijgings- of vervaardigingsprijs kosten van onderzoek en ontwikkeling";"D";4;;
"BIvaKooVvpBeg";"0102010.01";"Beginbalans kosten van onderzoek en ontwikkeling";"D";5;;
"BIvaKooVvpInv";"0102010.02";"Investeringen kosten van onderzoek en ontwikkeling";"D";5;;
"BIvaKooVvpAdo";"0102010.03";"Aankopen door overnames kosten van onderzoek en ontwikkeling";"D";5;;
"BIvaKooVvpDes";"0102010.04";"Desinvesteringen kosten van onderzoek en ontwikkeling";"C";5;;
"BIvaKooVvpDda";"0102010.05";"Desinvesteringen door afstotingen kosten van onderzoek en ontwikkeling";"C";5;;
"BIvaKooVvpOmv";"0102010.06";"Omrekeningsverschillen kosten van onderzoek en ontwikkeling";"D";5;;
