"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@es","invoice_label@es","fiscal_position_ids","original_tax_ids"
"itbms_7_sale","7%","ITBMS 7% Sale","ITBMS 7% Sale","7","percent","sale","tax_group_7","True","base","invoice","","ITBMS 7% Venta","ITBMS 7% Venta","",""
"","","","","","","","","","tax","invoice","2_1_03_01","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","2_1_03_01","","","",""
"itbms_7_purchase","7%","ITBMS 7% Purchase","ITBMS 7% Purchase","7","percent","purchase","tax_group_7","True","base","invoice","","ITBMS 7% Compra","ITBMS 7% Compra","",""
"","","","","","","","","","tax","invoice","1_1_05_02","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","1_1_05_02","","","",""
"itbms_10_sale","10%","ITBMS 10% Sale","ITBMS 10% Sale","10","percent","sale","tax_group_10","True","base","invoice","","ITBMS 10% Venta","ITBMS 10% Venta","",""
"","","","","","","","","","tax","invoice","2_1_03_01","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","2_1_03_01","","","",""
"itbms_10_purchase","10%","ITBMS 10% Purchase","ITBMS 10% Purchase","10","percent","purchase","tax_group_10","True","base","invoice","","ITBMS 10% Compra","ITBMS 10% Compra","",""
"","","","","","","","","","tax","invoice","1_1_05_02","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","1_1_05_02","","","",""
"itbms_15_sale","15%","ITBMS 15% Sale","ITBMS 15% Sale","15","percent","sale","tax_group_15","True","base","invoice","","ITBMS 15% Venta","ITBMS 15% Venta","",""
"","","","","","","","","","tax","invoice","2_1_03_01","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","2_1_03_01","","","",""
"itbms_15_purchase","15%","ITBMS 15% Purchase","ITBMS 15% Purchase","15","percent","purchase","tax_group_15","True","base","invoice","","ITBMS 15% Compra","ITBMS 15% Compra","",""
"","","","","","","","","","tax","invoice","1_1_05_02","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","1_1_05_02","","","",""
"itbms_exempt_sale","Exempt","ITBMS Exempt Sale","ITBMS Exempt","0","percent","sale","tax_group_exempt","True","base","invoice","","ITBMS Exento Venta","ITBMS Exento","fp_zona_franca","itbms_7_sale,itbms_10_sale,itbms_15_sale"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"itbms_exempt_purchase","Exempt","ITBMS Exempt Purchase","ITBMS Exempt","0","percent","purchase","tax_group_exempt","True","base","invoice","","ITBMS Exento Compra","ITBMS Exento","fp_foreign,fp_zona_franca","itbms_7_purchase,itbms_10_purchase,itbms_15_purchase"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"itbms_0_export_sale","0% Export","ITBMS 0% Export Sale","ITBMS 0% Export","0","percent","sale","tax_group_0","True","base","invoice","","ITBMS 0% Exportación Venta","ITBMS 0% Exportación","fp_foreign","itbms_7_sale,itbms_10_sale,itbms_15_sale"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"itbms_non_taxable_sale","Non-taxable","ITBMS Non-taxable Sale","ITBMS Non-taxable","0","percent","sale","tax_group_non_taxable","True","base","invoice","","ITBMS No Gravado Venta","ITBMS No Gravado","",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"itbms_non_taxable_purchase","Non-taxable","ITBMS Non-taxable Purchase","ITBMS Non-taxable","0","percent","purchase","tax_group_non_taxable","True","base","invoice","","ITBMS No Gravado Compra","ITBMS No Gravado","",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"oti_sume_911_purchase","SUME 911 1%","SUME 911 1% Purchase","SUME 911 1%","1","percent","purchase","tax_group_oti","True","base","invoice","","SUME 911 1% Compra","SUME 911 1%","",""
"","","","","","","","","","tax","invoice","5_2_04_02","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","5_2_04_02","","","",""
"oti_portabilidad_purchase","Number Portability Fee","Number Portability Fee Purchase","Number Portability","0.02","fixed","purchase","tax_group_oti","True","base","invoice","","Tasa de Portabilidad Numérica Compra","Portabilidad Numérica","",""
"","","","","","","","","","tax","invoice","5_2_04_02","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","5_2_04_02","","","",""
"oti_seguro_purchase","Insurance Premium Tax 5%","Insurance Premium Tax 5% Purchase","Insurance Tax 5%","5","percent","purchase","tax_group_oti","True","base","invoice","","Impuesto sobre Primas de Seguro 5% Compra","Impuesto sobre Seguro 5%","",""
"","","","","","","","","","tax","invoice","5_2_04_02","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","5_2_04_02","","","",""
"isc_purchase","ISC","ISC Purchase","ISC","0","percent","purchase","tax_group_isc","False","base","invoice","","ISC Compra","ISC","",""
"","","","","","","","","","tax","invoice","5_2_04_02","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","5_2_04_02","","","",""
