"id","name","code","chart_template_id/id","account_type","tag_ids/id","reconcile"
"chart01010000","Proprietary land and rights of perpetual usufruct of land","01.010.000","l10n_pl.pl_chart_template","asset_fixed",,"False"
"chart01020000","Buildings, premises and civil engineering structures","01.020.000","l10n_pl.pl_chart_template","asset_fixed",,"False"
"chart01030000","Technical equipment and machinery","01.030.000","l10n_pl.pl_chart_template","asset_fixed",,"False"
"chart01040000","Means of transport","01.040.000","l10n_pl.pl_chart_template","asset_fixed",,"False"
"chart01050000","Other fixed assets","01.050.000","l10n_pl.pl_chart_template","asset_fixed",,"False"
"chart02010000","Costs of completed development","02.010.000","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart02020000","Acquired goodwill","02.020.000","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart02080000","Other intangible assets","02.080.000","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart02090000","Advances for intangible assets","02.090.000","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03010100","Shares or stocks","03.010.100","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03010200","Other securities","03.010.200","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03010300","Loans granted","03.010.300","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03010400","Other long-term financial assets","03.010.400","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03020100","Shares or stocks","03.020.100","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03020200","Other securities","03.020.200","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03020300","Loans granted","03.020.300","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03020400","Other long-term financial assets","03.020.400","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03050100","Shares or stocks","03.050.100","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03050200","Other securities","03.050.200","l10n_pl.pl_chart_template","asset_non_current",,"False"
"chart03050300","Loans granted","03.050.300","l10n_pl.pl_chart_template","asset_non_current",,"False"
