id,code_prefix_start,code_prefix_end,name,chart_template_id/id
pl_group_0,0,,"Non-current assets",l10n_pl.pl_chart_template
pl_group_01,01,,"Fixed assets",l10n_pl.pl_chart_template
pl_group_02,02,,"Intangible assets",l10n_pl.pl_chart_template
pl_group_03,03,,"Long-term financial assets",l10n_pl.pl_chart_template
pl_group_04,04,,"Investments in real estate and rights",l10n_pl.pl_chart_template
pl_group_05,05,,"Long-term accruals",l10n_pl.pl_chart_template
pl_group_06,06,,"Long-term receivables",l10n_pl.pl_chart_template
pl_group_07,07,,"Depreciation of fixed assets, intangible assets and investments in real estate and rights",l10n_pl.pl_chart_template
pl_group_08,08,,"Fixed assets under construction",l10n_pl.pl_chart_template
pl_group_09,09,,"Write-downs of long-term financial assets",l10n_pl.pl_chart_template
pl_group_1,1,,"Cash, bank accounts and other short-term financial assets",l10n_pl.pl_chart_template
pl_group_10,10,,"Cash",l10n_pl.pl_chart_template
pl_group_15,15,,"Short-term financial assets",l10n_pl.pl_chart_template
pl_group_18,18,,"Short-term prepayments and accruals",l10n_pl.pl_chart_template
pl_group_2,2,,"Settlements and claims",l10n_pl.pl_chart_template
pl_group_20,20,,"Settlements with customers",l10n_pl.pl_chart_template
pl_group_21,21,,"Settlements with suppliers",l10n_pl.pl_chart_template
pl_group_22,22,,"Public and legal settlements",l10n_pl.pl_chart_template
pl_group_23,23,,"Settlements of salaries and other benefits for employees",l10n_pl.pl_chart_template
pl_group_24,24,,"Other settlements",l10n_pl.pl_chart_template
pl_group_28,28,,"Write-downs of settlements",l10n_pl.pl_chart_template
pl_group_29,29,,"Off-balance sheet settlements",l10n_pl.pl_chart_template
pl_group_3,3,,"Materials and goods",l10n_pl.pl_chart_template
pl_group_30,30,,"Purchase settlement",l10n_pl.pl_chart_template
pl_group_31,31,,"Materials and packaging",l10n_pl.pl_chart_template
pl_group_33,33,,"Goods",l10n_pl.pl_chart_template
pl_group_34,34,,"Deviations from the registered prices of materials and goods",l10n_pl.pl_chart_template
pl_group_39,39,,"Third-party stocks",l10n_pl.pl_chart_template
pl_group_4,4,,"Costs by type and their settlement",l10n_pl.pl_chart_template
pl_group_40,40,,"Costs by type",l10n_pl.pl_chart_template
pl_group_401,401,,"Consumption of materials and energy",l10n_pl.pl_chart_template
pl_group_402,402,,"Third-party services",l10n_pl.pl_chart_template
pl_group_403,403,,"Taxes and fees",l10n_pl.pl_chart_template
pl_group_404,404,,"Salaries",l10n_pl.pl_chart_template
pl_group_405,405,,"Social security and other benefits",l10n_pl.pl_chart_template
pl_group_41,41,,"Employee benefits",l10n_pl.pl_chart_template
pl_group_42,42,,"Depreciation",l10n_pl.pl_chart_template
pl_group_43,43,,"Other costs by type",l10n_pl.pl_chart_template
pl_group_49,49,,"Settlement of costs",l10n_pl.pl_chart_template
pl_group_5,5,,"Costs by type of activity and their settlement",l10n_pl.pl_chart_template
pl_group_6,6,,"Products and accruals",l10n_pl.pl_chart_template
pl_group_60,60,,"Finished and semi-finished products",l10n_pl.pl_chart_template
pl_group_62,62,,"Deviations from the inventory prices of products",l10n_pl.pl_chart_template
pl_group_64,64,,"Accrued expenses",l10n_pl.pl_chart_template
pl_group_65,65,,"Other accruals",l10n_pl.pl_chart_template
pl_group_7,7,,"Revenues and related costs",l10n_pl.pl_chart_template
pl_group_70,70,,"Revenues and expenses related to product sales",l10n_pl.pl_chart_template
pl_group_700,700,,"Product sales",l10n_pl.pl_chart_template
pl_group_701,701,,"Cost of products sold",l10n_pl.pl_chart_template
pl_group_73,73,,"Revenues and expenses related to the sale of goods",l10n_pl.pl_chart_template
pl_group_730,730,,"Sale of goods",l10n_pl.pl_chart_template
pl_group_731,731,,"Value of goods sold at purchase (acquisition) prices",l10n_pl.pl_chart_template
pl_group_74,74,,"Revenues and expenses related to the sale of materials and packaging",l10n_pl.pl_chart_template
pl_group_740,740,,"Sales of materials and packaging",l10n_pl.pl_chart_template
pl_group_741,741,,"Value of materials and packaging sold",l10n_pl.pl_chart_template
pl_group_75,75,,"Financial income and expenses",l10n_pl.pl_chart_template
pl_group_750,750,,"Financial income",l10n_pl.pl_chart_template
pl_group_751,751,,"Financial costs",l10n_pl.pl_chart_template
pl_group_76,76,,"Other operating income and expenses",l10n_pl.pl_chart_template
pl_group_760,760,,"Other operating income",l10n_pl.pl_chart_template
pl_group_761,761,,"Other operating expenses",l10n_pl.pl_chart_template
pl_group_77,77,,"Extraordinary gains and losses",l10n_pl.pl_chart_template
pl_group_79,79,,"Internal turnover",l10n_pl.pl_chart_template
pl_group_8,8,,"Equity (funds), special funds and financial result",l10n_pl.pl_chart_template
pl_group_80,80,,"Primary capital (fund)",l10n_pl.pl_chart_template
pl_group_811,811,,"Supplementary capital (fund)",l10n_pl.pl_chart_template
pl_group_812,812,,"Reserve capital (fund)",l10n_pl.pl_chart_template
pl_group_813,813,,"Revaluation reserve (fund)",l10n_pl.pl_chart_template
pl_group_814,814,,"Separate capitals (funds) in the statutory unit and establishments (branches) independently preparing the balance sheet",l10n_pl.pl_chart_template
pl_group_82,82,,"Settlement of financial result",l10n_pl.pl_chart_template
pl_group_83,83,,"Reserves",l10n_pl.pl_chart_template
pl_group_84,84,,"Deferred income",l10n_pl.pl_chart_template
pl_group_85,85,,"Special funds",l10n_pl.pl_chart_template
pl_group_86,86,,"Financial result",l10n_pl.pl_chart_template
pl_group_87,87,,"Income tax and other mandatory charges on the financial result",l10n_pl.pl_chart_template
