"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@pl"
"fiscal_position_template_1","1","Domestic","1","1","base.pl","","","","Kraj"
"fiscal_position_template_4","2","Community Private","1","","","base.europe","","","Wspólnota Prywatny"
"fiscal_position_template_2","3","Community","1","1","","base.europe","vs_kraj_23","vs_unia","Wspólnota"
"","","","","","","","vs_kraj_8","vs_unia",""
"","","","","","","","vs_kraj_5","vs_unia",""
"","","","","","","","vs_kraj_0","vs_unia",""
"","","","","","","","vs_kraj_zw","vs_unia",""
"","","","","","","","vs_kraj_usl_23","vs_dostu",""
"","","","","","","","vz_kraj_23","vz_unia",""
"","","","","","","","vz_kraj_8","vz_unia",""
"","","","","","","","vz_kraj_5","vz_unia",""
"","","","","","","","vz_kraj_0","vz_unia",""
"","","","","","","","vz_kraj_zw","vz_unia",""
"","","","","","","","vz_kraj_usl_23","vz_nabu",""
"fiscal_position_template_3","4","Import/Export","1","","","","vs_kraj_23","vs_eksp_tow","Import/Eksport"
"","","","","","","","vs_kraj_8","vs_eksp_tow",""
"","","","","","","","vs_kraj_5","vs_eksp_tow",""
"","","","","","","","vs_kraj_0","vs_eksp_tow",""
"","","","","","","","vs_kraj_zw","vs_eksp_tow",""
"","","","","","","","vs_kraj_usl_23","vs_ekspu",""
"","","","","","","","vz_kraj_23","vz_imp_tow",""
"","","","","","","","vz_kraj_8","vz_imp_tow",""
"","","","","","","","vz_kraj_5","vz_imp_tow",""
"","","","","","","","vz_kraj_0","vz_imp_tow",""
"","","","","","","","vz_kraj_zw","vz_imp_tow",""
"","","","","","","","vz_kraj_usl_23","vz_impu",""
