id,code_prefix_start,name,chart_template_id/id
chart_group_1,1,Liquid financial means,l10n_pt.pt_chart_template
chart_group_14,14,Other Financial Instruments,l10n_pt.pt_chart_template
chart_group_141,141,Byproducts,l10n_pt.pt_chart_template
chart_group_142,142,Financial instruments held for negotiation,l10n_pt.pt_chart_template
chart_group_143,143,Other assets and financial liabilities,l10n_pt.pt_chart_template
chart_group_2,2,Accounts receivable and payable,l10n_pt.pt_chart_template
chart_group_21,21,Customers,l10n_pt.pt_chart_template
chart_group_211,211,Customers c/c,l10n_pt.pt_chart_template
chart_group_212,212,Customers - Titles Receivable,l10n_pt.pt_chart_template
chart_group_219,219,Accumulated impairment losses,l10n_pt.pt_chart_template
chart_group_2191,2191,Customers c/c,l10n_pt.pt_chart_template
chart_group_2192,2192,Customers - Titles Receivable,l10n_pt.pt_chart_template
chart_group_22,22,Suppliers,l10n_pt.pt_chart_template
chart_group_221,221,Suppliers c/c,l10n_pt.pt_chart_template
chart_group_222,222,Suppliers - Titles payable,l10n_pt.pt_chart_template
chart_group_23,23,Staff,l10n_pt.pt_chart_template
chart_group_231,231,Remunerations to be paid,l10n_pt.pt_chart_template
chart_group_232,232,Advance,l10n_pt.pt_chart_template
chart_group_2331,2331,With the corporate bodies,l10n_pt.pt_chart_template
chart_group_2332,2332,With the staff,l10n_pt.pt_chart_template
chart_group_2341,2341,With the corporate bodies,l10n_pt.pt_chart_template
chart_group_2342,2342,With the staff,l10n_pt.pt_chart_template
chart_group_2351,2351,With the corporate bodies,l10n_pt.pt_chart_template
chart_group_2352,2352,With the staff,l10n_pt.pt_chart_template
chart_group_2361,2361,With the corporate bodies,l10n_pt.pt_chart_template
chart_group_2362,2362,With the staff,l10n_pt.pt_chart_template
chart_group_237,237,Guarantees,l10n_pt.pt_chart_template
chart_group_2371,2371,Of corporate bodies,l10n_pt.pt_chart_template
chart_group_2372,2372,Of staff,l10n_pt.pt_chart_template
chart_group_238,238,Other operations,l10n_pt.pt_chart_template
chart_group_2381,2381,With the corporate bodies,l10n_pt.pt_chart_template
chart_group_2382,2382,With the staff,l10n_pt.pt_chart_template
chart_group_239,239,Accumulated impairment losses,l10n_pt.pt_chart_template
chart_group_2391,2391,Advance,l10n_pt.pt_chart_template
chart_group_2392,2392,Other operations,l10n_pt.pt_chart_template
chart_group_23921,23921,To corporate bodies,l10n_pt.pt_chart_template
chart_group_23922,23922,To staff,l10n_pt.pt_chart_template
chart_group_24,24,State and other public entities,l10n_pt.pt_chart_template
chart_group_243,243,Value added tax (VAT),l10n_pt.pt_chart_template
chart_group_25,25,Financing obtained,l10n_pt.pt_chart_template
chart_group_251,251,Credit institutions and financial companies,l10n_pt.pt_chart_template
chart_group_2511,2511,Bank loans,l10n_pt.pt_chart_template
chart_group_252,252,Securities market,l10n_pt.pt_chart_template
chart_group_2521,2521,Loans by obligations,l10n_pt.pt_chart_template
chart_group_253,253,Capital participants,l10n_pt.pt_chart_template
chart_group_2531,2531,Mother company - Supplies and other mutual,l10n_pt.pt_chart_template
chart_group_2532,2532,Other participants - Supplies and other mutual,l10n_pt.pt_chart_template
chart_group_254,254,"Subsidiaries, associates and joint enterprises",l10n_pt.pt_chart_template
chart_group_258,258,Other funders,l10n_pt.pt_chart_template
chart_group_26,26,Shareholders/partners,l10n_pt.pt_chart_template
chart_group_266,266,Loans granted - Mother company,l10n_pt.pt_chart_template
chart_group_268,268,Other operations,l10n_pt.pt_chart_template
chart_group_269,269,Accumulated impairment losses,l10n_pt.pt_chart_template
chart_group_2696,2696,Loans granted - Mother company,l10n_pt.pt_chart_template
chart_group_2697,2697,Other operations,l10n_pt.pt_chart_template
chart_group_27,27,Other receivable and payable accounts,l10n_pt.pt_chart_template
chart_group_271,271,Investment suppliers,l10n_pt.pt_chart_template
chart_group_2711,2711,Investment suppliers - General accounts,l10n_pt.pt_chart_template
chart_group_2712,2712,Invoices received and checked,l10n_pt.pt_chart_template
chart_group_2713,2713,Advances to investment suppliers,l10n_pt.pt_chart_template
chart_group_272,272,Debtors and creditors by additions (economic periodization),l10n_pt.pt_chart_template
chart_group_274,274,Deferred taxes,l10n_pt.pt_chart_template
chart_group_275,275,Creditors for unreleased subscriptions,l10n_pt.pt_chart_template
chart_group_278,278,Other debtors and creditors,l10n_pt.pt_chart_template
chart_group_279,279,Accumulated impairment losses,l10n_pt.pt_chart_template
chart_group_2791,2791,Advances to investment suppliers,l10n_pt.pt_chart_template
chart_group_2794,2794,Other debtors and creditors,l10n_pt.pt_chart_template
chart_group_28,28,Deferments,l10n_pt.pt_chart_template
chart_group_29,29,Provisions,l10n_pt.pt_chart_template
chart_group_3,3,Inventories and biological assets,l10n_pt.pt_chart_template
chart_group_31,31,Purchases,l10n_pt.pt_chart_template
chart_group_317,317,Purchase returns,l10n_pt.pt_chart_template
chart_group_318,318,Discounts and rebates on purchases,l10n_pt.pt_chart_template
chart_group_329,329,Accumulated impairment losses,l10n_pt.pt_chart_template
chart_group_33,33,"Raw materials, subsidiaries and consumption",l10n_pt.pt_chart_template
chart_group_339,339,Accumulated impairment losses,l10n_pt.pt_chart_template
chart_group_34,34,Finished and intermediate products,l10n_pt.pt_chart_template
chart_group_349,349,Accumulated impairment losses,l10n_pt.pt_chart_template
chart_group_35,35,"Byproducts, waste, residues and refuses",l10n_pt.pt_chart_template
chart_group_359,359,Accumulated impairment losses,l10n_pt.pt_chart_template
chart_group_36,36,Products and work in progress,l10n_pt.pt_chart_template
