id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
rs_000,"Subscribed shares unpaid",000,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_001,"Subscribed stakes unpaid",001,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_010,"Investment in development",010,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_011,"Concessions, patents, licenses, goods and services brands",011,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_012,"Software and other rights",012,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_013,"Godwill",013,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_014,"Other intangible assets",014,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_015,"Intangible assets under preparation",015,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_016,"Advances for acquisition of intangible assets",016,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_019,"Provisions for acquisition of intangible assets",019,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_020,"Agricultural and other land",020,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_021,"Building land",021,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_022,"Buildings",022,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_023,"Plant and equipment",023,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_024,"Investment property",024,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_025,"Other property, plant and equipment",025,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_026,"Property, plant and equipment under construction",026,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_027,"Investment in other property, plant and equipment",027,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_028,"Advances for property, plant and equipment",028,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_029,"Provisions for property, plant and equipment",029,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_030,"Forests",030,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_031,"Plantations",031,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_032,"Livestock",032,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_037,"Natural assets under construction",037,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_038,"Advances for natural assets",038,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_039,"Provisions of natural assets",039,account.data_account_type_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_040,"Investments in capital of parent companies and subsidiaries",040,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_041,"Investments in capital of associated legal entities and joint ventures",041,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_042,"Investments in other legal entities and other securities available for sale",042,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_0430,"Long-term domestic loans to parent companies, to subsidiaries",0430,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_0431,"Long-term domestic loans to other associated companies",0431,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_0440,"Long-term foreign loans to parent companies, to subsidiaries",0440,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_0441,"Long-term foreign loans to other associated companies",0441,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_0450,"Long term domestic loans",0450,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_0451,"Long term foreign loans",0451,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_046,"Securities held to maturity",046,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_047,"Own stocks and shares purchased",047,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_048,"Other long term financial investments",048,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
rs_049,"Provisions for long-term financial investments",049,account.data_account_type_non_current_assets,l10n_rs.l10n_rs_chart_template,,False
