"id","code","name","account_type","chart_template_id/id",tag_ids/id,"reconcile"
a1030,1030,"Patent",asset_non_current,l10nse_chart_template,l10n_se.account_tag_1,False
a1039,1039,Ackumulerade avskrivningar på patent,asset_non_current,l10nse_chart_template,l10n_se.account_tag_1,False
a1060,1060,"Hyresrätter, tomträtter och liknande",asset_non_current,l10nse_chart_template,l10n_se.account_tag_1,False
a1069,1069,"Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande",asset_non_current,l10nse_chart_template,l10n_se.account_tag_1,False
a1110,1110,Byggnader,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1119,1119,Ackumulerade avskrivningar på byggnader,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1130,1130,Mark,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1150,1150,Markanläggningar,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1159,1159,Ackumulerade avskrivningar på markanläggningar,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1210,1210,Maskiner och andra tekniska anläggningar,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1219,1219,Ackumulerade avskrivningar på maskiner och andra tekniska anläggningar,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1220,1220,Inventarier och verktyg,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1229,1229,Ackumulerade avskrivningar på inventarier och verktyg,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1240,1240,Bilar och andra transportmedel,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1249,1249,Ackumulerade avskrivningar på bilar och andra transportmedel,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1250,1250,Datorer,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1259,1259,Ackumulerade avskrivningar på datorer,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1290,1290,Övriga materiella anläggningstillgångar,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1291,1291,Konst och liknande tillgångar,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1299,1299,Ackumulerade avskrivningar på övriga materiella anläggningstillgångar,asset_fixed,l10nse_chart_template,l10n_se.account_tag_2,False
a1350,1350,Andelar och värdepapper i andra företag,asset_non_current,l10nse_chart_template,l10n_se.account_tag_3,False
a1380,1380,Andra långfristiga fordringar,asset_non_current,l10nse_chart_template,l10n_se.account_tag_3,False
a1410,1410,Lager av råvaror,asset_current,l10nse_chart_template,l10n_se.account_tag_4,False
