"id","name","auto_apply","country_id","vat_required","sequence","country_group_id","account_ids/account_src_id","account_ids/account_dest_id"
"fp_sweden","Sverige","1","base.se","","10","","",""
"fp_euro_b2c","Europaunionen (B2C)","1","","","30","account.europe_vat","",""
"fp_euro_b2b","Europaunionen (B2B)","1","","1","20","account.europe_vat","",""
"","","","","","","","a30011","a3106"
"","","","","","","","a30021","a3106"
"","","","","","","","a30031","a3106"
"","","","","","","","a30041","a3106"
"","","","","","","","a30012","a3308"
"","","","","","","","a30022","a3308"
"","","","","","","","a30032","a3308"
"","","","","","","","a30042","a3308"
"fp_outside_euro","Utanför Europaunionen","1","","","40","","",""
"","","","","","","","a30011","a3105"
"","","","","","","","a30021","a3105"
"","","","","","","","a30031","a3105"
"","","","","","","","a30041","a3105"
"","","","","","","","a30012","a3305"
"","","","","","","","a30022","a3305"
"","","","","","","","a30032","a3305"
"","","","","","","","a30042","a3305"
