"id","name","category_id/id"
"l10n_sg_statutory_board_res_partner_acr","ACRA","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_agc","Attorney-General's Chambers","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_aud","Auditor-General's Office","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_bca","Building&Constructn Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_boa","Board of Architects","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_caa","Cvl Avtn Authrty of Singapore","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_cab","The Cabinet","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ccy","Ministry of Cul, Comm & Youth","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_cda","Communicable Diseases Agency","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_cea","Council for Estate Agencies","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_com","Competition and Consumer Comm","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_cpf","Central Provident Fund","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_cra","Gambling Regulatory Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_csc","Civil Service College","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_cvl","Civil List for President","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_dst","Defence Science & Tech Agency","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_edb","Economic Development Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ema","Energy Market Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_env","Ministry of Sustainability&Env","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_esg","Enterprise Singapore","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_fin","AGD Pensions Branch","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_gvt","GovTech","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_hdb","Housing & Development Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_hpb","Health Promotion Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_hsa","Health Sciences Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_htx","Home Team Sci & Tech Agency","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ief","ITE Education Fund","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_imd","Infocomm Media Devt Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ipo","Intellectual Property Office","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ira","Inland Revenue Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ise","ISEAS - Yusof Ishak Institute","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ita","Ministry of Digital Dev & Info","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ite","Inst Technical Education","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_jtc","JTC Corporation","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_jud","Judiciary Court","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_law","Ministry of Law","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_lta","Land Transport Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mas","Monetary Authority of S'pore","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mcd","Ministry of Soc & Family Dev","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mfa","Ministry of Foreign Affairs","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mha","Ministry of Home Affairs","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mnd","Ministry of Nation'l Developmt","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_moc","Ministry of Transport","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mod","Ministry of Defence","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_moe","Ministry of Education","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mof","Ministry of Finance","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_moh","Ministry of Health","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mom","Ministry of Manpower","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mpa","Maritime and Port Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mti","Ministry of Trade & Industry","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_mui","Majlis Ugama Islam Singapura","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_nac","National Arts Council","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ncs","Natl Council of Social Srvc","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_nea","National Environmt Agency","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_nhb","National Heritage Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_nlb","National Library Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_npb","National Parks Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_npo","Ngee Ann Polytechnic","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_nyp","Nanyang Polytechnic","res_partner_category_statutory_board"
