"id","name","code","chart_template_id/id","account_type","reconcile"
"chart_sk_012000","Aktivované náklady na vývoj","012000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_013000","Softvér","013000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_014000","Oceniteľné práva","014000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_015000","Goodwill","015000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_019000","Ostatný dlhodobý nehmotný majetok","019000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_021000","Stavby","021000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_022000","Samostatné hnuteľné veci a súbory hnuteľných vecí","022000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_025000","Pestovateľské celky trvalých porastov","025000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_026000","Základné stádo a ťažné zvieratá","026000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_029000","Ostatný dlhodobý hmotný majetok","029000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_031000","Pozemky","031000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_032000","Umelecké diela a zbierky","032000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_041000","Obstaranie dlhodobého nehmotného majetku","041000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_042000","Obstaranie dlhodobého hmotného majetku","042000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_043000","Obstaranie dlhodobého finančného majetku","043000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_051000","Poskytnuté preddavky na dlhodobý nehmotný majetok","051000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_052000","Poskytnuté preddavky na dlhodobý hmotný majetok","052000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_055000","Poskytnuté preddavky na dlhodobý finančný majetok","055000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_061000","Podielové cenné papiere a podiely v dcérskej účtovnej jednotke","061000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_062000","Podielové cenné papiere a podiely v spoločnosti alebo družstve s podielovou účasťou","062000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_063000","Realizovateľné cenné papiere a podiely","063000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_065000","Dlhové cenné papiere držané do splatnosti","065000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_066000","Pôžičky prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti","066000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_067000","Ostatné pôžičky","067000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_069000","Ostatný dlhodobý finančný majetok","069000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_072000","Oprávky k aktivovaným nákladom na vývoj","072000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_073000","Oprávky k softvéru","073000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_074000","Oprávky k oceniteľným právam","074000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_075000","Oprávky ku goodwilu","075000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_079000","Opravky k ostatnému dlhodobému nehmotnému majetku","079000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_081000","Oprávky k stavbám","081000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_082000","Oprávky k samostatným hnuteľným veciam a k súboru hnuteľných vecí","082000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_085000","Oprávky k pestovateľským celkom trvalých porastov","085000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_086000","Oprávky k základnému stádu a ťažným zvieratám","086000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_089000","Oprávky k ostatnému dlhodobému hmotnému majetku","089000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_091000","Opravné položky k dlhodobému nehmotnému majetku","091000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_092000","Opravné položky k dlhodobému hmotnému majetku","092000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_093000","Opravné položky k nedokončenému dlhodobému nehmotnému majetku","093000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_094000","Opravné položky k nedokončenému dlhodobému hmotnému majetku","094000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_095000","Opravné položky k poskytnutým preddavkom na dlhodobý majetok","095000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_096000","Opravné položky k dlhodobému finančnému majetku","096000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_097000","Opravné položky k nadobudnutému majetku","097000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_098000","Oprávky k opravnej položke k nadobudnutému majetku","098000","l10n_sk.sk_chart_template","asset_non_current","False"
"chart_sk_111000","Obstaranie materiálu","111000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_112000","Materiál na sklade","112000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_119000","Materiál na ceste","119000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_121000","Nedokončená výroba","121000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_122000","Polotovary vlastnej výroby","122000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_123000","Výrobky","123000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_124000","Zvieratá","124000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_131000","Obstaranie tovaru","131000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_132000","Tovar na sklade a v predajniach","132000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_133000","Nehnuteľnosť na predaj","133000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_139000","Tovar na ceste","139000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_191000","Opravné položky k materiálu","191000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_192000","Opravné položky k nedokončenej výrobe","192000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_193000","Opravné položky k polotovarom vlastnej výroby","193000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_194000","Opravné položky k výrobkom","194000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_195000","Opravné položky k zvieratám","195000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_196000","Opravné položky k tovaru","196000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_211000","Pokladnica","211000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_213000","Ceniny","213000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_221000","Bankové účty","221000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_231000","Krátkodobé bankové úvery","231000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_232000","Eskontné úvery","232000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_241000","Vydané krátkodobé dlhopisy","241000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_249000","Ostatné krátkodobé finančné výpomoci","249000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_251000","Majetkové cenné papiere na obchodovanie","251000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_252000","Vlastné akcie a vlastné obchodné podiely","252000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_253000","Dlhové cenné papiere na obchodovanie","253000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_255000","Vlastné dlhopisy","255000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_256000","Dlhové cenné papiere so splatnosťou do jedného roka držané do splatnosti","256000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_257000","Ostatné realizovateľné cenné papiere","257000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_259000","Obstaranie krátkodobého finančného majetku","259000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_261000","Peniaze na ceste","261000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_291000","Opravné položky ku krátkodobému finančnému majetku","291000","l10n_sk.sk_chart_template","asset_cash","False"
"chart_sk_311000","Odberatelia","311000","l10n_sk.sk_chart_template","asset_receivable","True"
"chart_sk_312000","Zmenky na inkaso","312000","l10n_sk.sk_chart_template","asset_receivable","True"
"chart_sk_313000","Pohľadávky za eskontované cenné papiere","313000","l10n_sk.sk_chart_template","asset_receivable","True"
"chart_sk_314000","Poskytnuté preddavky","314000","l10n_sk.sk_chart_template","asset_receivable","True"
"chart_sk_315000","Ostatné pohľadávky","315000","l10n_sk.sk_chart_template","asset_receivable","True"
"chart_sk_316000","Čistá hodnota zákazky","316000","l10n_sk.sk_chart_template","asset_receivable","True"
"chart_sk_321000","Dodávatelia","321000","l10n_sk.sk_chart_template","liability_payable","True"
"chart_sk_322000","Zmenky na úhradu","322000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_323000","Krátkodobé rezervy","323000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_324000","Prijaté preddavky","324000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_325000","Ostatné záväzky","325000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_326000","Nevyfakturované dodávky","326000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_331000","Zamestnanci","331000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_333000","Ostatné záväzky voči zamestnancom","333000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_335000","Pohľadávky voči zamestnancom","335000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_336000","Zúčtovanie s orgánmi sociálneho zabezpečenia a zdravotného poistenia","336000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_341000","Daň z príjmov","341000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_342000","Ostatné priame dane","342000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_343000","Daň z pridanej hodnoty","343000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_343110","DPH nižšia sadzba vstup","343110","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_343120","DPH základná sadzba vstup","343120","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_343210","DPH nižšia sadzba výstup","343210","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_343220","DPH základná sadzba výstup","343220","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_345000","Ostatné dane a poplatky","345000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_346000","Dotácie zo štatneho rozpočtu","346000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_347000","Ostatné dodácie","347000","l10n_sk.sk_chart_template","liability_current","False"
"chart_sk_351000","Pohľadávky voči prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti","351000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_353000","Pohľadávky za upísané vlastné imanie","353000","l10n_sk.sk_chart_template","equity","False"
"chart_sk_354000","Pohľadávky voči spoločníkom a členom pri úhrade straty","354000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_355000","Ostatné pohľadávky voči spoločníkom a členom","355000","l10n_sk.sk_chart_template","asset_current","False"
"chart_sk_358000","Pohľadávky voči účastníkom združenia","358000","l10n_sk.sk_chart_template","asset_current","False"
