"id","name","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@sk","fiscal_position_ids","original_tax_ids","invoice_legal_notes","tax_scope","invoice_legal_notes@sk"
"vy_tuz_23","23%","VAT sales 23%","23%","23.0","percent","sale","0","tax_group_vat_23","base","invoice","","","DPH na výstupe 23%","fiscal_position_template_1,fp_intra_private","","","",""
"","","","","","","","","","tax","invoice","chart_sk_343220","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343220","","","","","","",""
"vy_tuz_23_s","23% S","VAT sales 23% Services","23%","23.0","percent","sale","0","tax_group_vat_23","base","invoice","","","DPH na výstupe 23% služby","fiscal_position_template_1,fp_intra_private","","","service",""
"","","","","","","","","","tax","invoice","chart_sk_343220","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343220","","","","","","",""
"vy_tuz_23_m","23% M","VAT sales 23% Goods","23%","23.0","percent","sale","1","tax_group_vat_23","base","invoice","","","DPH na výstupe 23% tovar","fiscal_position_template_1,fp_intra_private","vy_tuz_23","","consu",""
"","","","","","","","","","tax","invoice","chart_sk_343220","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343220","","","","","","",""
"vy_tuz_19","19%","VAT sales 19%","19%","19.0","percent","sale","0","tax_group_vat_19","base","invoice","","","DPH na výstupe 19%","fiscal_position_template_1,fp_intra_private","","","",""
"","","","","","","","","","tax","invoice","chart_sk_343210","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343210","","","","","","",""
"vy_tuz_19_s","19% S","VAT sales 19% Services","19%","19.0","percent","sale","0","tax_group_vat_19","base","invoice","","","DPH na výstupe 19% služby","fiscal_position_template_1,fp_intra_private","","","service",""
"","","","","","","","","","tax","invoice","chart_sk_343210","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343210","","","","","","",""
"vy_tuz_19_m","19% M","VAT sales 19% Goods","19%","19.0","percent","sale","1","tax_group_vat_19","base","invoice","","","DPH na výstupe 19% tovar","fiscal_position_template_1,fp_intra_private","vy_tuz_19","","consu",""
"","","","","","","","","","tax","invoice","chart_sk_343210","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343210","","","","","","",""
"vy_tuz_0","0%","VAT sales 0%","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","DPH na výstupe 0%","fiscal_position_template_1,fp_intra_private","","","",""
"","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","",""
"vy_tuz_0_s","0% S","VAT sales 0% Services","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","DPH na výstupe 0% služby","fiscal_position_template_1,fp_intra_private","","","service",""
"","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","",""
"vy_tuz_0_m","0% M","VAT sales 0% Goods","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","DPH na výstupe 0% tovar","fiscal_position_template_1,fp_intra_private","vy_tuz_0","","consu",""
"","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","",""
"vs_tuz_23","23%","VAT purchases 23%","23%","23.0","percent","purchase","0","tax_group_vat_23","base","invoice","","","DPH na vstupe 23%","fiscal_position_template_1,fp_intra_private","","","",""
"","","","","","","","","","tax","invoice","chart_sk_343120","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343120","","","","","","",""
"vs_tuz_19","19%","VAT purchases 19%","19%","19.0","percent","purchase","0","tax_group_vat_19","base","invoice","","","DPH na vstupe 19%","fiscal_position_template_1,fp_intra_private","","","",""
"","","","","","","","","","tax","invoice","chart_sk_343110","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343110","","","","","","",""
"vy_eu_s","0% EU S","EU Services","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","Služby do EU","fiscal_position_template_2","vy_tuz_23_s,vy_tuz_19_s,vy_tuz_0_s","VAT Reverse charge - Article 196 of the Directive 2006/112/EC","service","Obrátené zdanenie DPH - článok 196 smernice 2006/112/ES"
"","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","",""
"vy_eu_m","0% EU M","EU Goods","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","Dodanie do EU","fiscal_position_template_2","vy_tuz_23,vy_tuz_19,vy_tuz_0","Exempt intra-community supplies - Article 138 of the Directive 2006/112/EC","consu","Oslobodené dodávky v rámci Spoločenstva - článok 138 smernice 2006/112/ES"
"","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","",""
"vy_eu_t","0% EU T","EU Triangular","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","Trojstranné transakcie","fiscal_position_template_2","","Exempt triangular transaction - Article 141 of the Directive 2006/112/EC","","Oslobodené trojstranné transakcie - článok 141 smernice 2006/112/ES"
"","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","",""
"vs_nad_eu","23% EU","EU import","23%","23.0","percent","purchase","","tax_group_vat_23","base","invoice","","","Nadobudnutie z EU","fiscal_position_template_2","vs_tuz_23,vs_tuz_19","","",""
"","","","","","","","","","tax","invoice","chart_sk_343120","","","","","","",""
"","","","","","","","","","tax","invoice","chart_sk_343220","-100","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343120","","","","","","",""
"","","","","","","","","","tax","refund","chart_sk_343220","-100","","","","","",""
"vy_mimo_eu","0% EXP","Export Outside EU","0%","0.0","percent","sale","","tax_group_vat_0","base","invoice","","","vývoz mimo EU","fiscal_position_template_3","vy_tuz_23,vy_tuz_23_s,vy_tuz_19,vy_tuz_19_s,vy_tuz_0,vy_tuz_0_s","","",""
"","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","","",""
