"id","name","code","account_type","reconcile","name@fr"
"syscebnl_1011","Non-consumable endowment with no right of reversal in cash",1011,"equity","False","Dotation non consomptible sans droit de reprise en numéraire"
"syscebnl_1015","Non-consumable endowment with no right of reversal in kind",1015,"equity","False","Dotation non consomptible sans droit de reprise en nature"
"syscebnl_1021","Non-consumable endowment with right of reversal in cash",1021,"equity","False","Dotation non consomptible avec droit de reprise en numéraire"
"syscebnl_1025","Non-consumable endowment with right of reversal in kind",1025,"equity","False","Dotation non consomptible avec droit de reprise en nature"
"syscebnl_103","Entrance fee",103,"equity","False","Droit d'entrée"
"syscebnl_1041","Expendable endowment",1041,"equity","False","Dotation consomptible"
"syscebnl_1049","Consumptive endowment",1049,"equity","False","Dotation consomptile"
"syscebnl_10611","Revaluation differences on assets without trade-in rights - property, plant and equipment",10611,"equity","False","Écarts de réévaluation sur des biens sans droit de reprise-immobilisations corporelles"
"syscebnl_10612","Revaluation differences on assets without trade-in rights - financial fixed assets",10612,"equity","False","Écarts de réévaluation sur des biens sans droit de reprise-immobilisations financières"
"syscebnl_10621","Revaluation surplus on assets with trade-in rights - property, plant and equipment",10621,"equity","False","Écarts de réévaluation sur des biens avec droit de reprise-immobilisations corporelles"
"syscebnl_10622","Revaluation differences on assets with trade-in rights - financial fixed assets",10622,"equity","False","Écarts de réévaluation sur des biens avec droit de reprise-immobilisations finanicères"
"syscebnl_112","Statutory or contractual reserves",112,"equity","False","Réserves statutaires ou contractuelles"
"syscebnl_118","Other reserves",118,"equity","False","Autres réserves"
"syscebnl_121","Retained earnings",121,"equity","False","Report à nouveau des excédents"
"syscebnl_128","Net income pending appropriation",128,"equity_unaffected","False","Résultat net en instance d'affectation"
"syscebnl_129","Retained earnings carried forward",129,"equity","False","Report à nouveau des déficits"
"syscebnl_131","Surplus for the year",131,"equity","False","Excédent de l'exercice"
"syscebnl_139","Deficit for the year",139,"equity","False","Déficit de l'exercice"
"syscebnl_1411","Equipment grants - State",1411,"equity","False","Subventions d'équipment - État"
"syscebnl_1412","Equipment grants - Regions",1412,"equity","False","Subventions d'équipment - Régions"
"syscebnl_1413","Equipment grants - Departments",1413,"equity","False","Subventions d'équipment - Départements"
"syscebnl_1414","Equipment grants - Decentralized local authorities",1414,"equity","False","Subventions d'équipment - Communes et collectivités publiques décentralisés"
"syscebnl_1415","Equipment grants - Public or mixed entities or balance of operations for development projects",1415,"equity","False","Subventions d'équipment - Entités publiques ou mixtes ou solde des opérations de l'exercice pour les projets de développement"
"syscebnl_1416","Equipment grants - Private entities and organizations",1416,"equity","False","Subventions d'équipment - Entités et organismes privés"
"syscebnl_1417","Equipment grants - International organizations",1417,"equity","False","Subventions d'équipment - Organismes internationaux"
"syscebnl_1418","Equipment grants - Other reserves",1418,"equity","False","Subventions d'équipment - Autres"
"syscebnl_148","Other investment grants",148,"equity","False","Autres subventions d'investissement"
"syscebnl_154","Special revaluation provisions",154,"equity","False","Provisions spéciales de réevaluation"
"syscebnl_158","Other regulated provisions and similar funds",158,"equity","False","Autres provisions réglementées et fonds assimilés"
"syscebnl_161","Development project fund - accountable cash advances",161,"equity","False","Fonds projet de développement - avances de fonds à justifier"
"syscebnl_162","Funds earmarked for development project investments – donors",162,"equity","False","Fonds affectés aus investissements du projet de développement - bailleurs de fonds"
"syscebnl_163","Funds allocated to development project investments - the State",163,"equity","False","Fonds affectés aux investissements du projet de développement - l'État"
"syscebnl_164","Funds allocated to investments by other similar financing organizations",164,"equity","False","Fonds affectés aux investissements des autres organismes de financement assimilés"
"syscebnl_165","Funds earmarked for a specific project",165,"equity","False","Fonds affectés à un projet spécifique"
"syscebnl_1671","Allocated funds from gifts and bequests of fixed assets",1671,"equity","False","Fonds affectés provenant de dons et legs d'immobilisations"
"syscebnl_1672","Unallocated Funds from gifts and bequests of fixed assets",1672,"equity","False","Fonds non affectés provenant de dons et legs d'immobilisations"
"syscebnl_1679","Donor commitments",1679,"equity","False","Engagements auprès donateur"
"syscebnl_168","Other restricted funds",168,"equity","False","Autres fonds affectés"
"syscebnl_169","Restricted funds receivable",169,"equity","False","Fonds affectés à recevoir"
"syscebnl_171","Temporary donation of usufruct",171,"equity","False","Donation temporaire d'usufruit"
"syscebnl_172","Donations and bequests not yet received from fixed assets held for sale",172,"equity","False","Donations et legs non encore reçus d'immobilisations destinées à la vente"
"syscebnl_178","Other deferred funds",178,"equity","False","Autres fonds reportés"
"syscebnl_181","Bond issues",181,"liability_non_current","False","Emprunts obligataires"
"syscebnl_182","Borrowings from credit institutions",182,"liability_non_current","False","Emprunts et dettes auprès des ètablissements de crédit"
"syscebnl_183","Advances received from the State",183,"liability_non_current","False","Avances reçues de l'État"
"syscebnl_1851","Deposits",1851,"liability_non_current","False","Dépôts"
"syscebnl_1852","Surety bonds",1852,"liability_non_current","False","Cautionnements"
"syscebnl_1861","Accrued interest on bond issues",1861,"liability_non_current","False","Intérêts courus sur emprunts obligataires"
"syscebnl_1862","Accrued interest on borrowings from credit institutions",1862,"liability_non_current","False","Intérêts courus sur emprunts et dettes auprès des établissements de crédit"
"syscebnl_1863","Accrued interest on advances received from the State",1863,"liability_non_current","False","Intérêts courus sur avances reçues de l'État"
"syscebnl_1865","Accrued interest on deposits and guarantees received",1865,"liability_non_current","False","Intérêts courus sur dépôts et cautionnements reçus"
"syscebnl_1868","Accrued interest on other loans and debts",1868,"liability_non_current","False","Intérêts courus sur autres emprunts et dettes"
"syscebnl_1871","Capital lease liabilities / property leasing",1871,"liability_non_current","False","Dettes de location-acquisition/ crédit-bail immobilier"
"syscebnl_1872","Capital lease liabilities / equipment leasing",1872,"liability_non_current","False","Dettes de location-acquisition/ crédit-bail mobilier"
"syscebnl_1873","Capital lease liabilities / sales-type leases",1873,"liability_non_current","False","Dettes de location-acquisition /location-vente"
"syscebnl_1876","Capital lease liabilities - Accrued interest",1876,"liability_non_current","False","Dettes de location-acquisition - Intérêts courus"
"syscebnl_188","Other borrowings and debts",188,"liability_non_current","False","Autres emprunts et dettes"
"syscebnl_191","Provisions for litigation",191,"liability_non_current","False","Provisions pour litiges"
"syscebnl_192","Provisions for charges on gifts and bequests",192,"liability_non_current","False","Provisions pour charges sur donations et legs"
"syscebnl_194","Provisions for exchange losses",194,"liability_non_current","False","Provisions pour pertes de change"
"syscebnl_196","Provisions for pensions and similar obligations",196,"liability_non_current","False","Provisions pour pensions et obligations similaires"
"syscebnl_1981","Provisions for fines and penalties",1981,"liability_non_current","False","Provisions pour amendes et pénalités"
"syscebnl_1984","Provisions for dismantling and restoration",1984,"liability_non_current","False","Provisions pour démantèlement et remise en état"
"syscebnl_1988","Provisions for contingencies and charges",1988,"liability_non_current","False","Provisions pour divers risques et charges"
"syscebnl_2011","Temporary usufruct",2011,"asset_non_current","False","Usufruit temporaire"
"syscebnl_2012","Patents, licenses, concessions and similar rights",2012,"asset_non_current","False","Brevets, licences, concessions et droits similaires"
"syscebnl_2013","Software and websites",2013,"asset_non_current","False","Logiciels et sites internet"
"syscebnl_2014","Brands",2014,"asset_non_current","False","Marques"
"syscebnl_2017","Other intangible assets",2017,"asset_non_current","False","Autres immobilisations incorporelles"
"syscebnl_202","Land",202,"asset_non_current","False","Terrains"
"syscebnl_203","Buildings",203,"asset_non_current","False","Bâtiments"
"syscebnl_204","Equipment",204,"asset_non_current","False","Matériels"
"syscebnl_205","Shareholdings",205,"asset_non_current","False","Titre de participations"
"syscebnl_2121","Patents",2121,"asset_non_current","False","Brevets"
"syscebnl_2122","Licenses",2122,"asset_non_current","False","Licences"
"syscebnl_2123","Public service concessions",2123,"asset_non_current","False","Concessions de service public"
"syscebnl_2128","Other concessions and similar rights",2128,"asset_non_current","False","Autres concessions et droits similaires"
"syscebnl_2131","Software",2131,"asset_non_current","False","Logiciels"
"syscebnl_2132","Websites",2132,"asset_non_current","False","Sites internet"
"syscebnl_214","Brands",214,"asset_non_current","False","Marques"
"syscebnl_2181","Transfer compensation for players",2181,"asset_non_current","False","Indemnités de transfert aux joueurs"
"syscebnl_2193","Software and websites",2193,"asset_non_current","False","Logiciels et sites internet"
"syscebnl_2198","Other intangible assets and rights",2198,"asset_non_current","False","Autres droits et valeurs incorporels"
"syscebnl_2211","Agricultural land",2211,"asset_fixed","False","Terrains d'exploitation agricole"
"syscebnl_2212","Forest land",2212,"asset_fixed","False","Terrains d'exploitation forestière"
"syscebnl_2218","Other land",2218,"asset_fixed","False","Autres terrains"
"syscebnl_222","Bare land",222,"asset_fixed","False","Terrains nus"
"syscebnl_2221","Building plots",2221,"asset_fixed","False","Terrains à bâtir"
"syscebnl_2228","Other bare land",2228,"asset_fixed","False","Autres terrains nus"
"syscebnl_2231","Built-up land for industrial and agricultural buildings",2231,"asset_fixed","False","Terrains bâtis pour bâtiments industriels et agricoles"
"syscebnl_2232","Built-up land for office and commercial buildings",2232,"asset_fixed","False","Terrains bâtis pour bâtiments administratifs et commerciaux"
"syscebnl_2234","Built-up land for buildings used for other professional operations",2234,"asset_fixed","False","Terrains bâtis pour bâtiments affectés aux autres opérations professionnelles"
"syscebnl_2235","Built-up land for buildings used for other non-professional operations",2235,"asset_fixed","False","Terrains bâtis pour bâtiments affectés aux autres opérations non professionnelles"
"syscebnl_2238","Other built-up land",2238,"asset_fixed","False","Autres terrains batis"
"syscebnl_2241","Tree and shrub planting",2241,"asset_fixed","False","Plantation d'arbres et d'arbustes"
"syscebnl_2245","Fund enhancements",2245,"asset_fixed","False","Améliorations du fonds"
"syscebnl_2248","Other work",2248,"asset_fixed","False","Autres travaux"
"syscebnl_2261","Parking lots",2261,"asset_fixed","False","Parkings"
"syscebnl_2281","Land and investment property",2281,"asset_fixed","False","Terrains-immeubles de placement"
"syscebnl_2285","Land for staff housing",2285,"asset_fixed","False","Terrains des logements affectés au personnel"
"syscebnl_2286","Capital lease land",2286,"asset_fixed","False","Terrains de location - acquisition"
"syscebnl_2288","Various plots",2288,"asset_fixed","False","Divers terrains"
"syscebnl_2291","Agricultural and forest land development in progress",2291,"asset_fixed","False","Aménagements de terrains agricoles et forestiers en cours"
"syscebnl_2292","Bare land development in progress",2292,"asset_fixed","False","Aménagements de terrains nus en cours"
"syscebnl_2298","Other land development in progress",2298,"asset_fixed","False","Aménagementes d'autres terrains en cours"
"syscebnl_2311","Industrial buildings on own land",2311,"asset_fixed","False","Bâtiments industriels sur sol propre"
"syscebnl_2312","Agricultural buildings on own land",2312,"asset_fixed","False","Bâtiments agricoles sur sol propre"
"syscebnl_2313","Administrative and commercial buildings on own land",2313,"asset_fixed","False","Bâtiments administratifs et commerciaux sur sol propre"
"syscebnl_2314","Staff housing buildings on own land",2314,"asset_fixed","False","Bâtiments affectés au logement du personnel sur sol propre"
"syscebnl_2315","Buildings-investment property on own land",2315,"asset_fixed","False","Bâtiments-immeubles de placement sur sol propre"
"syscebnl_2316","Capital lease buildings on own land",2316,"asset_fixed","False","Bâtiments de location-acquisition sur sol propre"
"syscebnl_2317","Religious and similar buildings on own land",2317,"asset_fixed","False","Edifices religieux et assimilés sur sol propre"
"syscebnl_2318","Other buildings on own land on own land",2318,"asset_fixed","False","Autres bâtiments sur sol propre"
"syscebnl_2321","Industrial buildings on third-party land",2321,"asset_fixed","False","Bâtiments industriels sur sol d'autrui"
"syscebnl_2322","Agricultural buildings on third-party land",2322,"asset_fixed","False","Bâtiments agricoles sur sol d'autrui"
"syscebnl_2323","Administrative and commercial buildings on third-party land",2323,"asset_fixed","False","Bâtiments administratifs et commerciaux sur sol d'autrui"
"syscebnl_2324","Staff housing buildings on third-party land",2324,"asset_fixed","False","Bâtiments affectés au logement du personnel sur sol d'autrui"
"syscebnl_2325","Buildings-investment property on third-party land",2325,"asset_fixed","False","Bâtiments-immeubles de placement sur sol d'autrui"
"syscebnl_2326","Capital lease buildings on third-party land",2326,"asset_fixed","False","Bâtiments de location - acquisition sur sol d'autrui"
"syscebnl_2327","Religious and similar buildings on third-party land",2327,"asset_fixed","False","Edifices religieux et assimilés sur sol d'autrui"
"syscebnl_2328","Other buildings on third-party land on third-party land",2328,"asset_fixed","False","Autres bâtiments sur sol d'autrui sur sol d'autrui"
"syscebnl_2331","Land tracks",2331,"asset_fixed","False","Voies de terre"
"syscebnl_2332","Railways",2332,"asset_fixed","False","Voies de fer"
"syscebnl_2333","Waterways",2333,"asset_fixed","False","Voies d'eau"
"syscebnl_2334","Dams and dikes",2334,"asset_fixed","False","Barrages, digues"
"syscebnl_2335","Airfield runways",2335,"asset_fixed","False","Pistes d'aérodrome"
"syscebnl_2337","Stadiums and other sports facilities",2337,"asset_fixed","False","Stades et autres infrastructures sportives"
"syscebnl_2338","Other infrastructure works",2338,"asset_fixed","False","Autres ouvrages d'infrastructures"
"syscebnl_2341","Specialized complex plants on own soil",2341,"asset_fixed","False","Installations complexes spécialisées sur sol propre"
"syscebnl_2342","Specialized complex installations on third-party land",2342,"asset_fixed","False","Installations complexes spécialisées sur sol d'autrui"
"syscebnl_2343","Specific installations on own land",2343,"asset_fixed","False","Installations à caractère spécifique sur sol propre"
"syscebnl_2344","Specific installations on third-party land",2344,"asset_fixed","False","Installations à caractère spécifique sur sol d'autrui"
"syscebnl_2345","Building fixtures and fittings",2345,"asset_fixed","False","Aménagements et agencements des bâtiments"
"syscebnl_2351","Office and similar facilities - general installations",2351,"asset_fixed","False","Aménagements de bureaux et assimilés - installations générales"
"syscebnl_2358","Other office fittings",2358,"asset_fixed","False","Autres aménagements de bureaux"
"syscebnl_2381","Other fixtures and fittings for religious and similar buildings",2381,"asset_fixed","False","Autres installations et agencements des édifices religieux et assimilés"
"syscebnl_2382","Other installations and fittings for stadiums and other sports facilities",2382,"asset_fixed","False","Autres installations et agencements des stades et autres infrastructures sportives"
"syscebnl_2391","Buildings on own land in progress",2391,"asset_fixed","False","Bâtiments sur sol propre en cours"
"syscebnl_2392","Buildings in progress on third-party land",2392,"asset_fixed","False","Bâtiments sur sol d'autrui en cours"
"syscebnl_2393","Infrastructure works in progress",2393,"asset_fixed","False","Ouvrages d'infrastructure en cours"
"syscebnl_2394","Fittings, fixtures and technical installations in progress",2394,"asset_fixed","False","Aménagements, agencements et installations techniques en cours"
"syscebnl_2395","Office developments in progress",2395,"asset_fixed","False","Aménagements de bureaux en cours"
"syscebnl_2396","Buildings in progress-investment property",2396,"asset_fixed","False","Bâtiments en cours-immeubles de placement"
"syscebnl_2398","Other fixtures and fittings in progress",2398,"asset_fixed","False","Autres installations et agencements en cours"
"syscebnl_2411","Industrial equipment",2411,"asset_fixed","False","Matériel industriel"
"syscebnl_2412","Industrial tools",2412,"asset_fixed","False","Outillage industriel"
"syscebnl_2413","Commercial material",2413,"asset_fixed","False","Matériel commercial"
"syscebnl_2414","Commercial tools",2414,"asset_fixed","False","Outillage commercial"
"syscebnl_2416","Industrial and commercial machinery and equipment for capital lease",2416,"asset_fixed","False","Matériel et outillage industriel et commercial de location-acquisition"
"syscebnl_2421","Farm machinery",2421,"asset_fixed","False","Matériel agricole"
"syscebnl_2422","Farm tools",2422,"asset_fixed","False","Outillage agricole"
"syscebnl_2426","Agricultural machinery and equipment for capital lease",2426,"asset_fixed","False","Matériel et outillage agricole de location-acquisition"
"syscebnl_243","Recyclable and identifiable packaging materials",243,"asset_fixed","False","Matériel d'emballage récupérable et identifiable"
"syscebnl_2441","Office equipment and furniture",2441,"asset_fixed","False","Matériel et mobilier de bureau"
"syscebnl_2442","Computer and office equipment",2442,"asset_fixed","False","Matériel informatique et bureautique"
"syscebnl_2443","Religious equipment and furnishings",2443,"asset_fixed","False","Matériel et mobilier religieux"
"syscebnl_2444","Sports equipment and furniture",2444,"asset_fixed","False","Matériel et mobilier sportifs"
"syscebnl_2445","Equipment and furniture - investment properties",2445,"asset_fixed","False","Matériel et mobilier - immeubles de placement"
"syscebnl_2446","Rental equipment and furniture – acquisition",2446,"asset_fixed","False","Matériel et mobilier de location - acquisition"
"syscebnl_2447","Staff housing equipment and furniture",2447,"asset_fixed","False","Matériel et mobilier des logements du personnel"
"syscebnl_2451","Automotive equipment",2451,"asset_fixed","False","Matériel automobile"
"syscebnl_2452","Railway equipment",2452,"asset_fixed","False","Matériel ferroviaire"
"syscebnl_2453","River and lagoon equipment",2453,"asset_fixed","False","Matériel fluvial, lagunaire"
"syscebnl_2454","Naval equipment",2454,"asset_fixed","False","Matériel naval"
"syscebnl_2455","Aircraft equipment",2455,"asset_fixed","False","Matériel aérien"
"syscebnl_2456","Capital lease transport equipment",2456,"asset_fixed","False","Matériel de transport de location - acquisition"
"syscebnl_2457","Horse-drawn equipment",2457,"asset_fixed","False","Matériel hippomobile"
"syscebnl_2458","Other transport equipment",2458,"asset_fixed","False","Autres matériels de transport"
"syscebnl_2461","Livestock, draught animals",2461,"asset_fixed","False","Cheptel, animaux de trait"
"syscebnl_2462","Livestock, breeding stock",2462,"asset_fixed","False","Cheptel, animaux reproducteurs"
"syscebnl_2463","Guard animals",2463,"asset_fixed","False","Animaux de garde"
"syscebnl_2465","Agricultural plantations",2465,"asset_fixed","False","Plantations agricoles"
"syscebnl_2468","Other biological assets",2468,"asset_fixed","False","Autres actifs biologiques"
"syscebnl_2471","Equipment fixtures and fittings",2471,"asset_fixed","False","Agencements et aménagements du matériel"
