"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"tr790","İLK MADDE VE MALZEME GİDERLERİ","790","expense","l10n_tr.chart_template_common",,"False"
"tr791","İŞÇİ ÜCRET VE GİDERLERİ","791","expense","l10n_tr.chart_template_common",,"False"
"tr792","MEMUR ÜCRET VE GİDERLERİ","792","expense","l10n_tr.chart_template_common",,"False"
"tr793","DIŞARIDAN SAĞLANAN FAYDA VE HİZMETLER","793","expense","l10n_tr.chart_template_common",,"False"
"tr794","ÇEŞİTLİ GİDERLER","794","expense","l10n_tr.chart_template_common",,"False"
"tr795","VERGİ RESİM VE HARÇLAR","795","expense","l10n_tr.chart_template_common",,"False"
"tr796","AMORTİSMANLAR VE TÜKENME PAYLARI","796","expense","l10n_tr.chart_template_common",,"False"
"tr797","FİNANSMAN GİDERLERİ","797","expense","l10n_tr.chart_template_common",,"False"
"tr798","GİDER ÇEŞİTLERİ YANSITMA HESAPLARI","798","expense","l10n_tr.chart_template_common",,"False"
"tr799","ÜRETİM MALİYET HESABI","799","expense","l10n_tr.chart_template_common",,"False"
