"id","name","name@tr_TR","code","percentage","code_type"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_212,"17/4-i Services Provided in Free Zones","17/4-ı Serbest Bölgelerde Verilen Hizmetler",212,0,"exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_228,"Deliveries Made Free of Charge to the Institutions and Organizations Listed in Article (17/1) of Law 17/2-b","17/2-b Kanunun (17/1) Maddesinde Sayılan Kurum ve Kuruluşlara Bedelsiz Olarak Yapılan Teslimler",228,0,"exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_250,"Partial Others","Kısmi İstisna Diğerleri",250,0,"exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_301,"11/1-a Export of Goods","Kısmi İstisna Diğerleri",301,0,"export_exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_302,"11/1-a Service Export","11/1-a Hizmet İhracatı",302,0,"exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_308,"13/d Delivery of Incentive Investment Goods","13/d Teşvikli Yatırım Mallarının Teslimi",308,0,"export_exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_316,"11/1-a Contract Services for Customers in Free Zones","11/1-a Serbest Bölgelerdeki Müşteriler İçin Yapılan Fason Hizmetler",316,0,"exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_328,"13/i Residential or Workplace Deliveries","13/i Konut veya İşyeri Teslimleri",328,0,"exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_338,"Exports of Goods by Manufacturers","İmalatçıların Mal İhracatları",338,0,"exception"
l10n_tr_nilvera_einvoice_extended.l10n_tr_nilvera_einvoice_extended_account_tax_code_350,"Other","İstisna Diğer",350,0,"exception"
