"id","code_prefix_start","code_prefix_end","name","name@uk_UA"
"account_group_ua_psbo_1_1","1","1","Off-balance sheet accounts","Позабалансові рахунки"
"account_group_ua_psbo_10_10","10","10","Fixed assets","Основні засоби"
"account_group_ua_psbo_12_12","12","12","Intangible assets","Нематеріальні активи"
"account_group_ua_psbo_13_13","13","13","Depreciation of non-current assets","Знос необоротних активів"
"account_group_ua_psbo_14_14","14","14","Long-term financial investments","Довгострокові фінансові інвестиції"
"account_group_ua_psbo_15_15","15","15","Capital investment","Капітальні інвестиції"
"account_group_ua_psbo_17_17","17","17","Deferred tax assets","Відстрочені податкові активи"
"account_group_ua_psbo_18_18","18","18","Long-term accounts receivable and other non-current assets","Довгострокова дебіторська заборгованість та інші необоротні активи"
"account_group_ua_psbo_20_20","20","20","Production stocks","Виробничі запаси"
"account_group_ua_psbo_203_203","203","203","Fuel","Паливо"
"account_group_ua_psbo_209_209","209","209","Other materials","Інші матеріали"
"account_group_ua_psbo_22_22","22","22","Low-value and fast-wearing items","Малоцінні та швидкозношувані предмети"
"account_group_ua_psbo_28_28","28","28","Products","Товари"
"account_group_ua_psbo_31_31","31","31","Bank accounts","Рахунки в банках"
"account_group_ua_psbo_311_311","311","311","Current accounts in the national currency","Поточні рахунки в національній валюті"
"account_group_ua_psbo_312_312","312","312","Current accounts in foreign currency","Поточні рахунки в іноземній валюті"
"account_group_ua_psbo_33_33","33","33","Other funds","Інші кошти"
"account_group_ua_psbo_36_36","36","36","Settlements with buyers and customers","Розрахунки з покупцями та замовниками"
"account_group_ua_psbo_37_37","37","37","Settlements with various debtors","Розрахунки з різними дебіторами"
"account_group_ua_psbo_371_371","371","371","Calculations for issued advances","Розрахунки за виданими авансами"
"account_group_ua_psbo_39_39","39","39","Deferred expenses","Витрати майбутніх періодів"
"account_group_ua_psbo_40_40","40","40","Registered (equity) capital","Зареєстрований (пайовий) капітал"
"account_group_ua_psbo_42_42","42","42","Additional capital","Додатковий капітал"
"account_group_ua_psbo_44_44","44","44","Retained earnings (uncovered losses)","Нерозподілені прибутки (непокриті збитки)"
"account_group_ua_psbo_46_46","46","46","Unpaid capital","Неоплачений капітал"
"account_group_ua_psbo_47_47","47","47","Securing future expenses and payments","Забезпечення майбутніх витрат i платежів"
"account_group_ua_psbo_48_48","48","48","Targeted funding","Цільове фінансування"
"account_group_ua_psbo_53_53","53","53","Non-current lease obligations","Довгострокові зобов’язaння з оренди"
"account_group_ua_psbo_61_61","61","61","Current debt on long-term liabilities","Поточна заборгованість зa довгостроковими зобов’язаннями"
"account_group_ua_psbo_63_63","63","63","Settlements with suppliers and contractors","Розрахунки з постачальниками тa підрядниками"
"account_group_ua_psbo_64_64","64","64","Calculations for taxes and payments","Розрахунки за податками й платежами"
"account_group_ua_psbo_641_641","641","641","Tax calculations","Розрахунки зa податками"
"account_group_ua_psbo_642_642","642","642","Calculations for mandatory payments","Розрахунки зa обов’язковими платежами"
"account_group_ua_psbo_643_643","643","643","VAT liabilities","Податкові зобов’язання з ПДВ"
"account_group_ua_psbo_644_644","644","644","VAT tax credit","Податковий кредит із ПДВ"
"account_group_ua_psbo_65_65","65","65","Insurance calculations","Розрахунки за страхуванням"
"account_group_ua_psbo_66_66","66","66","Calculations of employee benefits","Розрахунки зa виплатами працівникам"
"account_group_ua_psbo_68_68","68","68","Settlements on other transactions","Розрахунки зa іншими операціями"
"account_group_ua_psbo_681_681","681","681","Settlements on advances received","Розрахунки за авансами одержаними"
"account_group_ua_psbo_70_70","70","70","Sales revenue","Доходи від реалізації"
"account_group_ua_psbo_71_71","71","71","Other operating income","Інший операційний дохід"
"account_group_ua_psbo_73_73","73","73","Other financial income","Інші фінансові доходи"
"account_group_ua_psbo_79_79","79","79","Financial results","Фінансові результати"
"account_group_ua_psbo_903_903","903","903","Cost of works and services sold","Собівартість реалізованих робіт і послуг"
"account_group_ua_psbo_92_92","92","92","Administrative expenses","Адміністративні витрати"
"account_group_ua_psbo_93_93","93","93","Sales expenses","Витрати на збут"
"account_group_ua_psbo_94_94","94","94","Other operating expenses","Інші витрати операційної діяльності"
"account_group_ua_psbo_949_949","949","949","Other operating expenses","Інші витрати операційної діяльності"
"account_group_ua_psbo_95_95","95","95","Financial expenses","Фінансові витрати"
"account_group_ua_psbo_97_97","97","97","Other expenses","Інші витрати"
"account_group_ua_psbo_98_98","98","98","Income tax","Податок на прибуток"
