"id","sequence","name","description","invoice_label","amount","type_tax_use","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"sale_tax_template_vat20_psbo","9","ПДВ 20%","","+ ПДВ 20%","20.0","sale","tax_group_vat20","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6432"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6432"
"sale_tax_template_vat20incl_psbo","9","в т. ч. ПДВ 20%","","в т. ч. ПДВ 20%","20.0","sale","tax_group_vat20","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6432"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6432"
"sale_tax_template_vat14_psbo","10","ПДВ 14%","","+ ПДВ 14%","14.0","sale","tax_group_vat14","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6432"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6432"
"sale_tax_template_vat14incl_psbo","10","в т. ч. ПДВ 14%","","в т. ч. ПДВ 14%","14.0","sale","tax_group_vat14","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6432"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6432"
"sale_tax_template_vat7_psbo","11","ПДВ 7%","","+ ПДВ 7%","7.0","sale","tax_group_vat7","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6432"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6432"
"sale_tax_template_vat7incl_psbo","11","в т. ч. ПДВ 7%","","в т .ч. ПДВ 7%","7.0","sale","tax_group_vat7","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6432"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6432"
"sale_tax_template_vat0_psbo","12","ПДВ 0%","","ПДВ 0%","0.0","sale","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"sale_tax_template_vat_free_psbo","13","Звільнено від  ПДВ","","Звільнено від ПДВ","0.0","sale","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"sale_tax_template_vat_not_psbo","14","Не є об'єктом ПДВ","","Не є об'єктом ПДВ","0.0","sale","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"purchase_tax_template_vat20_psbo","19","ПДВ 20%","","+ ПДВ 20%","20.0","purchase","tax_group_vat20","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6442"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6442"
"purchase_tax_template_vat20incl_psbo","19","в т. ч. ПДВ 20%","","в т. ч. ПДВ 20%","20.0","purchase","tax_group_vat20","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6442"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6442"
"purchase_tax_template_vat14_psbo","20","ПДВ 14%","","+ ПДВ 14%","14.0","purchase","tax_group_vat14","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6442"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6442"
"purchase_tax_template_vat14incl_psbo","20","в т. ч. ПДВ 14%","","в т. ч. ПДВ 14%","14.0","purchase","tax_group_vat14","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6442"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6442"
"purchase_tax_template_vat7_psbo","21","ПДВ 7%","","+ ПДВ 7%","7.0","purchase","tax_group_vat7","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6442"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6442"
"purchase_tax_template_vat7incl_psbo","21","в т. ч. ПДВ 7%","","в т. ч. ПДВ 7%","7.0","purchase","tax_group_vat7","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_psbp_6442"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_psbp_6442"
"purchase_tax_template_vat0_psbo","22","ПДВ 0%","","ПДВ 0%","0.0","purchase","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"purchase_tax_template_vat_free_psbo","23","Звільнено від  ПДВ","","Звільнено від ПДВ","0.0","purchase","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"purchase_tax_template_vat_not_psbo","24","Не є об'єктом ПДВ","","Не є об'єктом ПДВ","0.0","purchase","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"simple_tax_sale_product_psbo","30","Дохід від продажу  товарів","","Дохід від продажу товарів","0.0","sale","","","","",""
"simple_tax_sale_gift_psbo","31","Дохід від безоплатно отриманих  товарів","","Дохід від безоплатно отриманих товарів","0.0","sale","","","","",""
"simple_tax_sale_old_psbo","32","Дохід від заборгованості за якою минув строк позивної давності","","Дохід від заборгованості, за якою минув строк позивної давності","0.0","sale","","","","",""
"simple_tax_sale_15_psbo","33","Дохід, за ставкою 15%","","Дохід за ставкою 15%","0.0","sale","","","","",""
"simple_tax_purchase_product_psbo","40","Витрати від продажу  товарів","","Витрати від продажу товарів","0.0","purchase","","","","",""
"simple_tax_purchase_salary_psbo","41","Витрати на оплату праці","","Витрати на оплату праці найманих працівників","0.0","purchase","","","","",""
"simple_tax_purchase_esv_psbo","42","Витрати ЄСВ","","Витрати на ЄСВ","0.0","purchase","","","","",""
"simple_tax_purchase_other_psbo","43","Витрати  інші","","Витрати інші","0.0","purchase","","","","",""
