"id","name","description","amount","type_tax_use","tax_scope","tax_group_id","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","active","fiscal_position_ids","original_tax_ids"
"sale_zero_rated","0%","Zero-rated supplies.","0","sale","","consumption_taxes","invoice","","base","","C1_base","True","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","","","","",""
"","","","","","","","refund","","base","","C1_base","","",""
"","","","","","","","refund","","tax","","","","",""
"purchase_zero_rated","0%","Zero-rated supplies.","0","purchase","","consumption_taxes","invoice","","base","","D11_base","True","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","","","","",""
"","","","","","","","refund","","base","","D11_base","","",""
"","","","","","","","refund","","tax","","","","",""
"sale_export_0","0% EX","Exported supplies attract a zero rate of tax.","0","sale","","consumption_taxes","invoice","","base","","C2_base","True","fiscal_position_template_non_ugandian","sale_vat_18,sale_zero_rated,sale_exempt,sale_deemed_vat_18,sale_capital_goods_18,sale_deemed_capital_goods_18"
"","","","","","","","invoice","","tax","","","","",""
"","","","","","","","refund","","base","","C2_base","","",""
"","","","","","","","refund","","tax","","","","",""
"sale_exempt","Tax Exempt","Supplies exempts of tax.","0","sale","","consumption_taxes","invoice","","base","","C3_base","True","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","","","","",""
"","","","","","","","refund","","base","","C3_base","","",""
"","","","","","","","refund","","tax","","","","",""
"sale_vat_18","18%","VAT on all supplies made by taxable persons.","18","sale","","consumption_taxes","invoice","","base","","C4_base","True","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","411722","C4_tax","","",""
"","","","","","","","refund","","base","","C4_base","","",""
"","","","","","","","refund","","tax","411722","C4_tax","","",""
"purchase_vat_18","18%","VAT on all supplies made by taxable persons.","18","purchase","","consumption_taxes","invoice","","base","","D13_base","True","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","352804","D13_tax","","",""
"","","","","","","","refund","","base","","D13_base","","",""
"","","","","","","","refund","","tax","352804","D13_tax","","",""
"sale_deemed_vat_18","18% Deemed","Deemed VAT on all supplies made by taxable persons.","18","sale","","consumption_taxes","invoice","","base","","C5_base","False","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","411722","C5_tax","","",""
"","","","","","","","invoice","-100","tax","411722","","","",""
"","","","","","","","refund","","base","","C5_base","","",""
"","","","","","","","refund","","tax","411722","C5_tax","","",""
"","","","","","","","refund","-100","tax","411722","","","",""
"purchase_deemed_vat_18","18% Deemed","Deemed VAT on all supplies made by taxable persons.","18","purchase","","consumption_taxes","invoice","","base","","D14_base","False","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","352804","D14_tax","","",""
"","","","","","","","invoice","-100","tax","352804","","","",""
"","","","","","","","refund","","base","","D14_base","","",""
"","","","","","","","refund","","tax","352804","D14_tax","","",""
"","","","","","","","refund","-100","tax","352804","","","",""
"sale_capital_goods_18","18% CG","Tax on all capital goods (business assets) sold.","18","sale","consu","consumption_taxes","invoice","","base","","C6_base","True","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","411722","C6_tax","","",""
"","","","","","","","refund","","base","","C6_base","","",""
"","","","","","","","refund","","tax","411722","C6_tax","","",""
"purchase_capital_goods_18","18% CG","Tax on all capital goods (business assets) purchased.","18","purchase","consu","consumption_taxes","invoice","","base","","D18_base","True","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","352804","D18_tax","","",""
"","","","","","","","refund","","base","","D18_base","","",""
"","","","","","","","refund","","tax","352804","D18_tax","","",""
"sale_deemed_capital_goods_18","18% CG Deemed","Deemed tax on all capital goods (business assets) sold.","18","sale","consu","consumption_taxes","invoice","","base","","C7_base","False","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","411722","C7_tax","","",""
"","","","","","","","invoice","-100","tax","411722","","","",""
"","","","","","","","refund","","base","","C7_base","","",""
"","","","","","","","refund","","tax","411722","C7_tax","","",""
"","","","","","","","refund","-100","tax","411722","","","",""
"purchase_deemed_capital_goods_18","18% CG Deemed","Deemed tax on all capital goods (business assets) purchased.","18","purchase","consu","consumption_taxes","invoice","","base","","D19_base","False","fiscal_position_template_national",""
"","","","","","","","invoice","","tax","352804","D19_tax","","",""
"","","","","","","","invoice","-100","tax","352804","","","",""
"","","","","","","","refund","","base","","D19_base","","",""
"","","","","","","","refund","","tax","352804","D19_tax","","",""
"","","","","","","","refund","-100","tax","352804","","","",""
"sale_import_services_18","18% IS","Tax on imported services sold.","18","sale","service","consumption_taxes","invoice","","base","","C9_i_base","True","fiscal_position_template_non_ugandian",""
"","","","","","","","invoice","","tax","411722","C9_i_tax","","",""
"","","","","","","","refund","","base","","C9_i_base","","",""
"","","","","","","","refund","","tax","411722","C9_i_tax","","",""
"purchase_import_services_18","18% IS","Tax on imported services sold.","18","purchase","service","consumption_taxes","invoice","","base","","D21_i_base","True","fiscal_position_template_non_ugandian",""
"","","","","","","","invoice","","tax","352804","D21_i_tax","","",""
"","","","","","","","refund","","base","","D21_i_base","","",""
