"id","sequence","description","invoice_label","type_tax_use","tax_scope","name","amount_type","amount","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","fiscal_position_ids","original_tax_ids"
"ST11","1","","20%","sale","","20%","percent","20.0","tax_group_20","True","base","invoice","6","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","1","220000","","",""
"","","","","","","","","","","","base","refund","6","","","",""
"","","","","","","","","","","","tax","refund","1","220000","","",""
"ST5","2","","5%","sale","","5%","percent","5.0","tax_group_5","True","base","invoice","6","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","1","220000","","",""
"","","","","","","","","","","","base","refund","6","","","",""
"","","","","","","","","","","","tax","refund","1","220000","","",""
"ST0","3","Zero Rated Sales","0%","sale","","0%","percent","0.0","tax_group_0","True","base","invoice","6","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","6","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"ST2","4","","Exempt","sale","","Exempt","percent","0.0","tax_group_0","True","base","invoice","6","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","6","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"ST4","5","","0%","sale","","0% EU (NIR)","percent","0.0","tax_group_0","False","base","invoice","8||6","","","account_fiscal_position_ni_to_eu_b2b","ST5,ST0,ST2,ST_0_EX,ST11"
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","8||6","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"ST_20_RCD","6","Reverse Charge (Domestic)","Reverse Charge: S55A VATA 94 applies","sale","consu","0% RC","percent","0","tax_group_0","True","base","invoice","6","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","6","","100","",""
"","","","","","","","","","","","tax","refund","","","","",""
"ST_0_EX","7","","0%","sale","","0% EX","percent","0.0","tax_group_0","True","base","invoice","6","","","account_fiscal_position_rest_of_world_b2b","ST5,ST0,ST2,ST11,ST4"
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","6","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"PT_20_G","101","","20%","purchase","consu","20% G","percent","20.0","tax_group_20","True","base","invoice","7","","","account_fiscal_position_domestic",""
"","","","","","","","","","","","tax","invoice","4","220100","","",""
"","","","","","","","","","","","base","refund","7","","","",""
"","","","","","","","","","","","tax","refund","4","220100","","",""
