"id","name","code","account_type","chart_template_id/id","reconcile"
"account_activa_account_1115001","PAPELES COMERCIALES","1115001","equity","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1115002","INVERSIONES TEMPORALES","1115002","equity","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1115003","INVERSIONES EN BONOS M.N.","1115003","equity","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1115004","INVERSIONES EN BONOS M.E.","1115004","equity","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1121001","EFECTOS POR COBRAR NACIONALES","1121001","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122001","CUENTAS POR COBRAR CLIENTES","1122001","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122002","COBRO ANTICIPO CLIENTES","1122002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122003","CUENTAS POR COBRAR CLIENTES (POS)","1122003","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122004","CUENTAS POR COBRAR MAYORISTA","1122004","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1122005","CUENTAS POR COBRAR DETALLISTA","1122005","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1124001","PROVISION INCOBRALES NACIONALES","1124001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1124002","PROVINCION INCOBRABLES EXTERIOR","1124002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125001","CUENTAS POR COBRAR CLIENTES","1125001","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125002","PRESTAMOS PERSONALES","1125002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125003","CUENTAS POR COBRAR SOCIOS","1125003","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125004","VIATICOS VENDEDORES","1125004","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125006","VACACIONES","1125006","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125007","UTILIDADES","1125007","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1125008","SEGURO DE VEHICULOS","1125008","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127001","ACCESORIOS AMD COMPUTADORAS,C.A.","1127001","asset_fixed","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127002","COMERCIALIZADORA M321,C.A.","1127002","asset_fixed","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127003","AMD COMPUTER SHOP, C.A.","1127003","asset_fixed","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127004","COMERCIALIZADORA JGV 3000, C.A.","1127004","asset_fixed","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1127005","COMERCIALIZADORA LVG ELECTRONIC, C.A.","1127005","asset_fixed","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1128001","CUENTAS POR PAGAR SOCIOS","1128001","liability_payable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129001","ADELANTO A PROVEEDORES","1129001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129002","ENTES GUBERNAMENTALES","1129002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129004","DEPOSITOS VARIOS","1129004","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129005","RECLAMO AL SEGURO","1129005","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1129009","0TRAS CUENTAS X COBRAR OTROS DEUDORES","1129009","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1131001","INVENTARIO FINAL","1131001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1131002","INVENTARIOS DE MERCANCIA NACIONAL","1131002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1131003","INVENTARIOS DE MERCANCIA EXTERIOR","1131003","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1131009","INVENTARIO MERCANCIA ACTUALIZACION DEL VALOR","1131009","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1134001","MERCANCIA EN TRANSITOS","1134001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1141001","PUBLICIDAD","1141001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1141002","SEGURO PREPAGADOS","1141002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1141003","SEGURO H.C.M.","1141003","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1141004","ALQUILERES","1141004","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1151001","I.S.L.R. DECLARACION ESTIMADAS","1151001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1151002","I.S.L.R RETENIDO","1151002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1151003","I.V.A. RETENIDO","1151003","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1151004","I.V.A. CREDITO FISCAL","1151004","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1151005","PATENTE  MUNICIPAL ESTIMADA","1151005","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1151006","I.V.A. CREDITO FISCAL IMPORTACION","1151006","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1211001","TERRENO COSTO ORIGINAL","1211001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1211005","INMUEBLES COSTO ORIGINAL","1211005","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1211007","MAQUINARIAS Y EQUIPOS COSTO ORIGINAL","1211007","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1211009","VEHICULOS COSTO ORIGINAL","1211009","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1211011","MUEBLES Y ENSERES COSTO ORIGINAL","1211011","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1211013","LICENCIA & SOFWARE COSTO ORIGINAL","1211013","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1212001","TERRENOS COSTO ORIGINAL","1212001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1212006","INMUEBLES COSTO ORIGINAL","1212006","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1212007","MAQUINARIAS Y EQUIPOS COSTO ORIGINAL","1212007","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1212009","VEHICULOS COSTO ORIGINAL","1212009","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1212011","MUEBLES Y ENSERES COSTO ORIGINAL","1212011","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1212015","MEJORAS A PROPIEDAD COSTO ORIGINAL","1212015","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1221001","INVERSIONES PERMANENTES","1221001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1221003","BONOS TITULOS","1221003","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1221004","INVERSIONES EN BONOS M.N.","1221004","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1251001","IMPUESTOS DIFERIDOS I.S.L.R","1251001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1271001","MARCA DE FABRICA","1271001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1271002","GASTOS DE CONSTITUCION","1271002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1271005","OTRAS CUENTAS POR COBRAR","1271005","asset_receivable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1291001","DEPOSITOS GARANTIA PROVEEDORES","1291001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1291002","DEPOSITOS GARANTIA BANCOS","1291002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_1291004","DEPOSITOS GARANTIA ARRENDAMIENTO LOCAL","1291004","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_2121001","T.W.C. COMPUTER, INC.","2121001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_2121002","STARREC GROUP USA,INC","2121002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_2121003","MICRO INFORMATICA 11C","2121003","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_2122001","CUENTAS POR PAGAR PROVEEDORES","2122001","liability_payable","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_2123001","ACCESORIOS AMD COMPUTADORAS,C.A.","2123001","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_2123002","COMERCIALIZADORA M321,C.A.","2123002","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_2123003","AMD COMPUTER SHOP, C.A.","2123003","asset_current","l10n_ve.ve_chart_template_amd","True"
"account_activa_account_2123004","COMERCIALIZADORA JGV 3000, C.A.","2123004","asset_current","l10n_ve.ve_chart_template_amd","True"
