"id","name","code_prefix_start","code_prefix_end","name@es"
"account_group_101","Current assets","101","101","Activo corriente"
"account_group_10101","Cash and cash equivalents","10101","10101","Efectivo y equivalentes"
"account_group_10102","Domestic banks","10102","10102","Bancos nacionales"
"account_group_10105","Inventory","10105","10105","Inventarios"
"account_group_10106","Trade receivables","10106","10106","Cuentas por cobrar"
"account_group_10107","Tax credits","10107","10107","Créditos fiscales"
"account_group_10108","Prepaid expenses","10108","10108","Gastos pagados por anticipado"
"account_group_10109","Liquidity transfers","10109","10109","Transferencias de liquidez"
"account_group_102","Non-current assets","102","102","Activo no corriente"
"account_group_10201","Property, plant and equipment","10201","10201","Propiedad, planta y equipo"
"account_group_10202","Intangible assets","10202","10202","Activos intangibles"
"account_group_10203","Long-term investments","10203","10203","Inversiones permanentes"
"account_group_199","Clearing accounts","199","199","Cuentas de enlace"
"account_group_19901","Outstanding payments","19901","19901","Pagos pendientes"
"account_group_19902","Outstanding receipts","19902","19902","Recibos pendientes"
"account_group_19999","Suspense accounts","19999","19999","Cuentas transitorias"
"account_group_201","Current liabilities","201","201","Pasivo corriente"
"account_group_20101","Accounts payable","20101","20101","Cuentas por pagar"
"account_group_20102","Taxes payable","20102","20102","Impuestos por pagar"
"account_group_20103","Tax withholdings payable","20103","20103","Retenciones fiscales por pagar"
"account_group_20104","Social contributions payable","20104","20104","Aportes laborales por pagar"
"account_group_20105","Employee benefits payable","20105","20105","Pasivos laborales"
"account_group_20106","Employee benefit provisions","20106","20106","Provisiones laborales"
"account_group_202","Non-current liabilities","202","202","Pasivo no corriente"
"account_group_20201","Long-term liabilities","20201","20201","Pasivos a largo plazo"
"account_group_301","Equity","301","301","Patrimonio"
"account_group_30101","Share capital","30101","30101","Capital"
"account_group_30102","Earnings","30102","30102","Resultados"
"account_group_30103","Inflation adjustments","30103","30103","Ajustes por inflación"
"account_group_30104","Reserves","30104","30104","Reservas"
"account_group_401","Operating income","401","401","Ingresos operativos"
"account_group_402","Other income","402","402","Otros ingresos"
"account_group_501","Cost of sales","501","501","Costo de ventas"
"account_group_601","Selling expenses","601","601","Gastos de ventas"
"account_group_602","Administrative expenses","602","602","Gastos de administración"
"account_group_603","Financial expenses","603","603","Gastos financieros"
