"id","country_id:id","name","code"
state_vn_VN-44,base.vn,An Giang,VN-44
state_vn_VN-57,base.vn,Binh Duong,VN-57
state_vn_VN-31,base.vn,Binh Dinh,VN-31
state_vn_VN-54,base.vn,Bac Giang,VN-54
state_vn_VN-53,base.vn,Bac Kan,VN-53
state_vn_VN-55,base.vn,Bac Lieu,VN-55
state_vn_VN-56,base.vn,Bac Ninh,VN-56
state_vn_VN-58,base.vn,Binh Phuoc,VN-58
state_vn_VN-43,base.vn,Ba Ria – Vung Tau,VN-43
state_vn_VN-40,base.vn,Binh Thuan,VN-40
state_vn_VN-50,base.vn,Ben Tre,VN-50
state_vn_VN-04,base.vn,Cao Bang,VN-04
state_vn_VN-59,base.vn,Ca Mau,VN-59
state_vn_VN-CT,base.vn,Can Tho,VN-CT
state_vn_VN-71,base.vn,Dien Bien,VN-71
state_vn_VN-33,base.vn,Dak Lak,VN-33
state_vn_VN-DN,base.vn,Da Nang,VN-DN
state_vn_VN-39,base.vn,Dong Nai,VN-39
state_vn_VN-72,base.vn,Dak Nong,VN-72
state_vn_VN-45,base.vn,Dong Thap,VN-45
state_vn_VN-30,base.vn,Gia Lai,VN-30
state_vn_VN-14,base.vn,Hoa Binh,VN-14
state_vn_VN-SG,base.vn,Ho Chi Minh,VN-SG
state_vn_VN-61,base.vn,Hai Duong,VN-61
state_vn_VN-73,base.vn,Hau Giang,VN-73
state_vn_VN-03,base.vn,Ha Giang,VN-03
state_vn_VN-HN,base.vn,Ha Noi,VN-HN
state_vn_VN-63,base.vn,Ha Nam,VN-63
state_vn_VN-HP,base.vn,Hai Phong,VN-HP
state_vn_VN-23,base.vn,Ha Tinh,VN-23
state_vn_VN-66,base.vn,Hung Yen,VN-66
state_vn_VN-47,base.vn,Kien Giang,VN-47
state_vn_VN-34,base.vn,Khanh Hoa,VN-34
state_vn_VN-28,base.vn,Kon Tum,VN-28
state_vn_VN-41,base.vn,Long An,VN-41
state_vn_VN-02,base.vn,Lao Cai,VN-02
state_vn_VN-01,base.vn,Lai Chau,VN-01
state_vn_VN-35,base.vn,Lam Dong,VN-35
state_vn_VN-09,base.vn,Lang Son,VN-09
state_vn_VN-22,base.vn,Nghe An,VN-22
state_vn_VN-18,base.vn,Ninh Binh,VN-18
state_vn_VN-67,base.vn,Nam Dinh,VN-67
state_vn_VN-36,base.vn,Ninh Thuan,VN-36
state_vn_VN-68,base.vn,Phu Tho,VN-68
state_vn_VN-32,base.vn,Phu Yen,VN-32
state_vn_VN-24,base.vn,Quang Binh,VN-24
state_vn_VN-13,base.vn,Quang Ninh,VN-13
state_vn_VN-27,base.vn,Quang Nam,VN-27
state_vn_VN-29,base.vn,Quang Ngai,VN-29
state_vn_VN-25,base.vn,Quang Tri,VN-25
state_vn_VN-05,base.vn,Son La,VN-05
state_vn_VN-52,base.vn,Soc Trang,VN-52
state_vn_VN-20,base.vn,Thai Binh,VN-20
state_vn_VN-46,base.vn,Tien Giang,VN-46
state_vn_VN-21,base.vn,Thanh Hoa,VN-21
state_vn_VN-69,base.vn,Thai Nguyen,VN-69
state_vn_VN-37,base.vn,Tay Ninh,VN-37
state_vn_VN-07,base.vn,Tuyen Quang,VN-07
state_vn_VN-26,base.vn,Thua Thien – Hue,VN-26
state_vn_VN-51,base.vn,Tra Vinh,VN-51
state_vn_VN-49,base.vn,Vinh Long,VN-49
state_vn_VN-70,base.vn,Vinh Phuc,VN-70
state_vn_VN-06,base.vn,Yen Bai,VN-06
