"id","code_prefix_start","name","name@vi"
"l10n_vn_group_111","111","Cash","Tiền mặt"
"l10n_vn_group_112","112","Demand Deposit","Tiền gửi không kỳ hạn"
"l10n_vn_group_113","113","Money in transit","Tiền đang chuyển"
"l10n_vn_group_121","121","Trading Securities","Chứng khoán kinh doanh"
"l10n_vn_group_128","128","Investment held to maturity","Đầu tư nắm giữ đến ngày đáo hạn"
"l10n_vn_group_1281","1281","Time Deposits","Tiền gửi có kỳ hạn"
"l10n_vn_group_1282","1282","Bonds","Trái phiếu"
"l10n_vn_group_1283","1283","Loan","Cho vay"
"l10n_vn_group_1288","1288","Securities and other financial instruments","Các khoản đầu tư khác nắm giữ đến ngày đáo hạn"
"l10n_vn_group_131","131","Trade receivables","Phải thu của khách hàng"
"l10n_vn_group_133","133","Deductible VAT","Thuế GTGT được khấu trừ"
"l10n_vn_group_136","136","Internal Receivables","Phải thu nội bộ"
"l10n_vn_group_1361","1361","Working capital provided to sub-units","Vốn kinh doanh ở các đơn vị trực thuộc"
"l10n_vn_group_1362","1362","Internal receivables on foreign exchange difference","Phải thu nội bộ về chênh lệch tỷ giá"
"l10n_vn_group_1363","1363","Internal receivables on borrowing costs eligible for capitalization","Phải thu nội bộ về chi phí đi vay đủ điều kiện được vốn hoá"
"l10n_vn_group_1368","1368","Other internal receivables ","Phải thu nội bộ khác"
"l10n_vn_group_138","138","Other receivables","Phải thu khác"
"l10n_vn_group_1381","1381","Shortage of assets awaiting resolution","Tài sản thiếu chờ xử lý"
"l10n_vn_group_1383","1383","Special consumption tax of imported goods","Thuế TTĐB của hàng nhập khẩu"
"l10n_vn_group_1388","1388","Other receivables","Phải thu khác"
"l10n_vn_group_141","141","Advances","Tạm ứng"
"l10n_vn_group_151","151","Goods in transit","Hàng mua đang đi đường"
"l10n_vn_group_152","152","Raw materials","Nguyên liệu, vật liệu"
"l10n_vn_group_153","153","Tools & supplies","Công cụ, dụng cụ"
"l10n_vn_group_154","154","Work in Progress","Chi phí sản xuất, kinh doanh dở dang"
"l10n_vn_group_155","155","Finished Goods","Sản phẩm"
