"id","parent_id","active","name","code","account_type","reconcile","non_trade"
"zm_group_1","","False","Sales income","","income","",""
"zm_group_2","","False","Sales extra incomes and fees","","income_other","",""
"zm_group_27","zm_group_2","False","Discount and Interests","","income_other","",""
"zm_group_28","zm_group_2","False","Non Current Assets Income","","income_other","",""
"zm_group_29","zm_group_2","False","Sundry Income","","income_other","",""
"zm_group_3","","False","Accounting Fees","3","expense","",""
"zm_group_30","zm_group_3","False","Accounting, Advertising and Promotion Costs","30","expense","",""
"zm_group_31","zm_group_3","False","Bad Debts","31","expense","",""
"zm_group_32","zm_group_3","False","Bank Charges and Cleaning","","expense","",""
"zm_group_33","zm_group_3","False","Computer Expenses and Consulting Fees","","expense","",""
"zm_group_34","zm_group_3","False","Courier, Postage and Depreciation","","expense","",""
"zm_group_35","zm_group_3","False","Cash Discount","35","expense","",""
"zm_group_36","zm_group_3","False","Donations and Electricity","","expense","",""
"zm_group_37","zm_group_3","False","Enternainement and Finance Expenses","","expense","",""
"zm_group_38","zm_group_3","False","General Expenses and Insurance","","expense","",""
"zm_group_39","zm_group_3","False","Interests and Leasing Charges","","expense","",""
"zm_group_40","","False","Legal Fees and Levies","40","expense","",""
"zm_group_41","","False","Motor Vehicle Expenses","41","expense","",""
"zm_group_42","","False","Printing, Stationery and Foreing Exchange Gains and Losses","","expense","",""
"zm_group_43","","False","Rent Paid, Repirs and Maintenance","","expense","",""
"zm_group_445","","False","Staff Training","","expense","",""
"zm_group_45","","False","Staff Wellfare and Subcriptions","","expense","",""
"zm_group_46","","False","Telephone, Fax, Travel and Accomodations","","expense","",""
"zm_group_52","","False","Retained Income","","liability_current","",""
"zm_group_55","","False","Long Term Liabilities","","liability_non_current","",""
"zm_group_56","","False","Instalment Sale Creditors Other","","liability_non_current","",""
"zm_group_61","","False","Land and Building","61","asset_fixed","",""
"zm_group_62","","False","Motor Vehicles and Computer Equipement","62","asset_fixed","",""
"zm_group_63","","False","Office Equipement and Furnitures and Fittings","63","asset_fixed","",""
"zm_group_66","","False","Other Fixed Assets","66","asset_fixed","",""
"zm_group_71","","False","Investments","","asset_current","",""
"zm_group_77","","False","Inventory Control Account","","liability_current","",""
"zm_group_81","","False","POS Cash Control","","asset_receivable","",""
"zm_group_82","","False","Sundry Customers","","asset_current","",""
