"id","description","invoice_label","type_tax_use","name","active","amount_type","amount","tax_group_id","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","price_include_override"
"zm_tax_sale_16","Standard Rate","16%","sale","16%","","percent","16.0","zm_tax_group_16","","","base","invoice","+zm_vat_08_no_vat","",""
"","","","","","","","","","","","tax","invoice","+zm_vat_08_vat","zm_account_9500000",""
"","","","","","","","","","","","base","refund","-zm_vat_08_no_vat","",""
"","","","","","","","","","","","tax","refund","-zm_vat_08_vat","zm_account_9500000",""
"zm_tax_sale_16_mtv","Local Sales Minimum Taxable Value Rate","16%","sale","16% MTV","","percent","16.0","zm_tax_group_16","","","base","invoice","+zm_vat_09_no_vat","",""
"","","","","","","","","","","","tax","invoice","+zm_vat_09_vat","zm_account_9500000",""
"","","","","","","","","","","","base","refund","-zm_vat_09_no_vat","",""
"","","","","","","","","","","","tax","refund","-zm_vat_09_vat","zm_account_9500000",""
"zm_tax_sale_0_disposal","Disposal of Capital Assets Rate","0%","sale","0% Dispos","False","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_10_no_vat","",""
"","","","","","","","","","","","tax","invoice","+zm_vat_10_vat","",""
"","","","","","","","","","","","base","refund","-zm_vat_10_no_vat","",""
"","","","","","","","","","","","tax","refund","-zm_vat_10_vat","",""
"zm_tax_sale_0_export_standard","Export Standard Rate","0%","sale","0% Std EX","","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_12_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_12_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_sale_0_export","Export Zero Rate","0%","sale","0% Zero EX","False","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_13_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_13_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_sale_0","Zero Rate","0%","sale","0%","","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_14_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_14_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_sale_0_exempt","Exempt Rate","0%","sale","0% Exmpt","False","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_19_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_19_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_sale_0_export_exempt","Export Exempt Rate","0%","sale","0% Exmpt EX","False","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_20_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_20_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_purchase_16","Standard Rate","16%","purchase","16%","","percent","16.0","zm_tax_group_16","","","base","invoice","+zm_vat_24_no_vat","",""
"","","","","","","","","","","","tax","invoice","+zm_vat_24_vat","zm_account_8300000",""
"","","","","","","","","","","","base","refund","-zm_vat_24_no_vat","",""
"","","","","","","","","","","","tax","refund","-zm_vat_24_vat","zm_account_8300000",""
"zm_tax_purchase_16_mtv","Local Purchases Minimum Taxable Value Rate","16%","purchase","16% MTV","","percent","16.0","zm_tax_group_16","","","base","invoice","+zm_vat_25_no_vat","",""
"","","","","","","","","","","","tax","invoice","+zm_vat_25_vat","zm_account_8300000",""
"","","","","","","","","","","","base","refund","-zm_vat_25_no_vat","",""
"","","","","","","","","","","","tax","refund","-zm_vat_25_vat","zm_account_8300000",""
"zm_tax_purchase_0","Zero Rate","0%","purchase","0%","","percent","0.0","zm_tax_group_0","","","base","invoice","+zm_vat_26_no_vat","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-zm_vat_26_no_vat","",""
"","","","","","","","","","","","tax","refund","","",""
"zm_tax_purchase_16_import_standard","Import Standard Rate","16%","purchase","16% EX","","percent","16.0","zm_tax_group_16","","","base","invoice","+zm_vat_27_no_vat","",""
