id,code_prefix_start,name,parent_id/id
sa_group_1,1,Assets,FALSE
sa_group_11,11,Fixed assets,sa_group_1
sa_group_111,111,Lands and Buildings,sa_group_11
sa_group_112,112,Autos and Trucks,sa_group_11
sa_group_113,113,Furnitures and Equipments,sa_group_11
sa_group_114,114,Accumulated Depreciation  ,sa_group_11
sa_group_115,115,Intangible Assets  ,sa_group_11
sa_group_116,116,Delaeyd Revenue Expenses,sa_group_11
sa_group_117,117,Deferred Tax,sa_group_11
sa_group_12,12,Current Assets  ,sa_group_1
sa_group_121,121,Cash and cash equivalents,sa_group_12
sa_group_1211,1211,Cash in hand,sa_group_121
sa_group_1212,1212,Banks,sa_group_121
sa_group_1213,1213,Electronic Payment cards,sa_group_121
sa_group_122,122,Stores (Inventory),sa_group_12
sa_group_123,123,Receivables,sa_group_12
sa_group_124,124,Prepaid Expenses ,sa_group_12
sa_group_125,125,Income due,sa_group_12
sa_group_2,2,Liabilities,FALSE
sa_group_21,21,Property Rights,sa_group_2
sa_group_211,211,Share Capital,sa_group_21
sa_group_22,22,Profits and Losses,sa_group_2
sa_group_221,221,Distributed Profits and Losses,sa_group_22
sa_group_222,222,Profits Held,sa_group_22
sa_group_23,23,Current Liabilities  ,sa_group_2
sa_group_231,231,Payables,sa_group_23
sa_group_232,232,Collections and Deductions,sa_group_23
sa_group_233,233,Insurance Income and Prepayments,sa_group_23
sa_group_234,234,Provisions,sa_group_23
sa_group_3,3,Expenses,FALSE
sa_group_31,31,Payroll,sa_group_3
sa_group_311,311,Cach Payroll,sa_group_31
sa_group_312,312,Fringe Benefits And wages ,sa_group_31
sa_group_32,32,Business Activity Requirements,sa_group_3
sa_group_321,321,Commodity Accessories,sa_group_32
sa_group_322,322,Service Supplies,sa_group_32
sa_group_33,33,Income costs,sa_group_3
sa_group_331,331,Net purchases and products sold,sa_group_33
sa_group_34,34,Current Transfers,sa_group_3
sa_group_341,341,Depreciation,sa_group_34
sa_group_342,342,Actual Rent,sa_group_34
sa_group_35,35,Current deductible expenses,sa_group_3
sa_group_351,351,Contributions,sa_group_35
sa_group_352,352,Compentsatiry Damages,sa_group_35
sa_group_4,4,Revenues,FALSE
sa_group_41,41,Impairment losses on goodwill,sa_group_4
sa_group_411,411,Net sales of goods for sale,sa_group_41
sa_group_412,412,Net sales of services for sale,sa_group_41
sa_group_42,42,Revenue earned,sa_group_4
sa_group_421,421,League revenues,sa_group_42
sa_group_422,422,Casual income,sa_group_42
sa_group_423,423,Capital Income,sa_group_42
