type,name,res_id,src,value
field,"account.account,code",0,Code,Kód
field,"account.account,name",0,Name,Név
model,"account.account,name",2,Assets,Követelések
model,"account.account,name",25,Results,Eredmények
model,"account.account,name",61,Liabilities,Tartozások
model,"account.account,name",62,Equity,Egyenleg
model,"account.account,name",63,Auction Adjudications,
model,"account.account,name",64,Auction Adjudication Expenses,
model,"account.account,name",3,Fixed,Fix
model,"account.account,name",4,Constitution,Szervezet
model,"account.account,name",5,Immaterial Assets,Immateriális vagyon
model,"account.account,name",6,Land Assets,
model,"account.account,name",7,Machines and Tools,Gépek és eszközök
model,"account.account,name",8,Mobile Equipment,Mobil eszközök
model,"account.account,name",9,Financial Investement,Anyagi befektetések
model,"account.account,name",10,Long Term Recievable,
model,"account.account,name",16,Stock,Raktár
model,"account.account,name",11,Current,Jelenlegi
model,"account.account,name",17,Merchandise Type A,A kereskedelmi árutípus
model,"account.account,name",18,Merchandise Type B,B kereskedelmi árutípus
model,"account.account,name",19,Receivable,Követelések
model,"account.account,name",20,Main Receivable,Legfontosabb követelések
model,"account.account,name",24,Tax TVA,
model,"account.account,name",21,Payable,Tartozások
model,"account.account,name",23,Credit Cards,Hitelkártyák
model,"account.account,name",22,Main Payable,Legfontosabb tartozások
model,"account.account,name",12,Cash,Készpénz
model,"account.account,name",13,Bank Account,Bankszámla
model,"account.account,name",14,Paypal Account,Paypal számla
model,"account.account,name",15,Petty Cash,Pénztár
model,"account.account,name",31,Expense,Kiadások
model,"account.account,name",32,Merchandise,Kereskedelem
model,"account.account,name",33,Products Purchase,Termékvásárlás
model,"account.account,name",34,Accessories Purchase,Kiegészítők vásárlása
model,"account.account,name",35,Subcontractor Purchase,Alvállalkozói költségek
model,"account.account,name",36,Merchandise Purchase,Áruvásárlás
model,"account.account,name",37,Remises,Helyiség
model,"account.account,name",58,Stock Expense,Tőkekiadás
model,"account.account,name",54,Stock,Tőke
model,"account.account,name",59,Merchandise Type A,A kereskedelmi árutípus
model,"account.account,name",60,Merchandise Type B,B kereskedelmi árutípus
model,"account.account,name",38,Services Purchase,Szolgáltatás vásárlás
model,"account.account,name",39,Loyer and location,
model,"account.account,name",40,Reparations,Jóvátétel
model,"account.account,name",41,Water Gaz Electricity,Víz gáz áram
model,"account.account,name",42,Phone Post Fax Internet,Telefon Posta Fax Internet
model,"account.account,name",43,Printed material,Nyomtatott anyagok
model,"account.account,name",44,Food,Étkezés
model,"account.account,name",45,Miscanellous charges,Egyéb költségek
model,"account.account,name",46,Insurances,Biztonsítások
model,"account.account,name",47,Transport Carburant,
model,"account.account,name",48,Travels,Utazások
model,"account.account,name",49,Publicity,Publicitás
model,"account.account,name",50,Taxes Charges,Adóterhek
model,"account.account,name",51,TVA non deductible,Nem leírható adóterhek
model,"account.account,name",52,Miscanellous Taxes,Egyéb adók
model,"account.account,name",53,Financial Charges,Anyagi terhek
model,"account.account,name",66,Auction Adjudication Expenses,
model,"account.account,name",68,Auction Seller Costs,
model,"account.account,name",26,Income,Bevétel
model,"account.account,name",27,Merchandise Sales,Kereskedelmi értékesítés
model,"account.account,name",28,Products Sales,Termék értékesítés
model,"account.account,name",29,Service Sales,Szolgáltatás értékesítés
model,"account.account,name",55,Stock Income,Tőke bevétel
model,"account.account,name",56,Merchandise Type A,A kereskedelmi árutípus
model,"account.account,name",57,Merchandise Type B,A kereskedelmi árutípus
model,"account.account,name",30,Financials Interests,Anyagi érdekeltségek
model,"account.account,name",65,Auction Adjudications,
model,"account.account,name",67,Auction Buyer Costs,
model,"account.account,name",1,PCMN Tree,PCMN Fa
field,"account.account,sign",0,Signe,Aláírás
field,"account.account,currency_id",0,Currency,Pénznem
field,"account.account,parent_id",0,Parents,Szülők
field,"account.account,child_id",0,Children,Gyerekek
field,"account.account,balance",0,Balance,Egyenleg
field,"account.account,type",0,Account Type,Számla típusa
field,"account.currency,digits",0,Digits,Számjegyek
field,"account.currency,name",0,Currency,Pénznem
field,"account.currency,priority",0,Usage priority,Használati prioritás
field,"account.currency,rate",0,Relative Change rate,
field,"account.currency,date",0,Last rate refresh,
field,"account.currency,accuracy",0,Computational accuracy,
field,"account.invoice,comment",0,Additionnal Information,Megjegyzés
field,"account.invoice,date_due",0,Date Due,Fizetési határidő
field,"account.invoice,reference",0,Invoice Reference,Számla hivatkozás
field,"account.invoice,payment_term",0,Payment Term,
field,"account.invoice,partner_contact",0,Partner Contact,Kapcsolattartó
field,"account.invoice,number",0,Invoice Number,Számla azonosító
field,"account.invoice,address_invoice_id",0,Billing Address,Számlázási cím
field,"account.invoice,partner_id",0,Partner,Partner
field,"account.invoice,amount_untaxed",0,Untaxed Amount,
field,"account.invoice,tax_line",0,Tax Lines,Adóbontás
field,"account.invoice,amount_tax",0,Tax Amount,Adó
field,"account.invoice,state",0,State,Állapot
field,"account.invoice,project_id",0,Project,Projekt
field,"account.invoice,type",0,Type,Típus
field,"account.invoice,invoice_line",0,Invoice Lines,Tételek
field,"account.invoice,account_id",0,Dest Account,Számlaszám
field,"account.invoice,partner_insite",0,Insite Contact,
field,"account.invoice,date_invoice",0,Date Invoiced,Számla kelte
field,"account.invoice,partner_ref",0,Partner Reference,Partner hivatkozás
field,"account.invoice,move_id",0,Invoice Movement,Számla mozgás
field,"account.invoice,amount_total",0,Total Amount,Teljes mennyiség
field,"account.invoice,name",0,Invoice Description,Számla leírása
field,"account.invoice,address_contact_id",0,Contact Address,Cím
field,"account.invoice.line,name",0,Description,Leírás
field,"account.invoice.line,invoice_id",0,Invoice Ref,Számla hiv.
field,"account.invoice.line,price_unit",0,Unit Price,Egységár
field,"account.invoice.line,account_id",0,Source Account,Forrás számla
field,"account.invoice.line,invoice_line_tax_id",0,Taxes,Adók
field,"account.invoice.line,quantity",0,Quantity,Mennyiség
field,"account.invoice.tax,invoice_id",0,Invoice Line,Számlasor
field,"account.invoice.tax,amount",0,Amount,Mennyiség
field,"account.invoice.tax,manual",0,Manual,Manuális
field,"account.invoice.tax,name",0,Tax Description,Adótípus
field,"account.invoice.tax,account_id",0,Taxe Account,Adó számla
field,"account.move,name",0,Move Name,Mozgás neve
field,"account.move,type",0,Transaction Type,Tranzakció típusa
field,"account.move,line_id",0,Transactions,Tranzakciók
field,"account.move,state",0,State,Állapot
field,"account.move,date",0,Date,Dátum
field,"account.move,project_id",0,Project Ref.,Projekt Ref.
field,"account.move,partner_id",0,Partner Ref.,Partner Ref.
field,"account.move,change",0,Change transaction,Tranzakció megváltoztatása
field,"account.move.line,reconcile_id",0,Reconcile,Összeegyeztet
field,"account.move.line,name",0,Name,Név
field,"account.move.line,state",0,State,Állapot
field,"account.move.line,amount",0,Amount,Mennyiség
field,"account.move.line,date",0,Date,Dátum
field,"account.move.line,balance",0,Balance,Egyenleg
field,"account.move.line,partner_id",0,Partner Ref.,Partner Ref.
field,"account.move.line,move_id",0,Move,Mozgatás
field,"account.move.line,account_id",0,Account,Számla
field,"account.move.reconcile,line_id",0,Move lines,
field,"account.move.reconcile,type",0,Type,Típus
field,"account.move.reconcile,name",0,Name,Név
field,"account.tax,domain",0,Domain,Tartomány
field,"account.tax,name",0,Tax Name,Adónév
field,"account.tax,account_collected_id",0,Collected Tax Account,Gyűjtött adó egyenleg
field,"account.tax,child_ids",0,Childs Tax Account,
field,"account.tax,account_paid_id",0,Paid Tax Account,Fizetett adó egyenleg
field,"account.tax,parent_id",0,Parent Tax Account,Szülő adó egyenleg
field,"account.tax,amount",0,Amount,Mennyiség
field,"account.tax,child_depend",0,Tax depends on its childs,Az adó az al-adónemektől függ
field,"account.tax,python_compute",0,Python Code,Python kód
field,"account.tax,python_applicable",0,Python Code,Python kód
field,"account.tax,type",0,Tax Type,Adótípus
field,"account.tax,applicable_type",0,Applicable Type,Vonatkozó típus
field,"account.transfer,name",0,Description,Leírás
field,"account.transfer,reference",0,Reference,Referencia
field,"account.transfer,partner_id",0,Partner,Partner
field,"account.transfer,amount",0,Amount,Mennyiség
field,"account.transfer,adjust_account_id",0,Adjustement Account,
field,"account.transfer,state",0,State,Állapot
field,"account.transfer,account_dest_id",0,Destination Account,Célszámla
field,"account.transfer,move_id",0,Transactions,Tranzakciók
field,"account.transfer,invoice_id",0,Invoices,Számlák
field,"account.transfer,date",0,Payment Date,Fizetés dátuma
field,"account.transfer,adjust_amount",0,Adjustement amount,
field,"account.transfer,project_id",0,Project,Projekt
field,"account.transfer,type",0,Transaction Type,Tranzakció típusa
field,"account.transfer,account_src_id",0,Source Account,Forrás számla
field,"account.transfer,change",0,Amount Changed,
field,"auction.artists,birth_death_dates",0,Birth / Death dates,
field,"auction.artists,pseudo",0,Pseudo,
field,"auction.artists,name",0,Artist/Author Name,
field,"auction.artists,biography",0,Biography,
field,"auction.bid,bid_lines",0,Bid,
field,"auction.bid,contact_tel",0,Contact,
field,"auction.bid,auction_id",0,Auction Date,
field,"auction.bid,partner_id",0,Buyer Name,
field,"auction.bid,name",0,Bid ID,Licit azonosító
field,"auction.bid_line,lot_id",0,Lot,Raktár
field,"auction.bid_line,price",0,Maximum Price,
field,"auction.bid_line,call",0,To be Called,
field,"auction.bid_line,name",0,Name,Név
field,"auction.bid_line,bid_id",0,Bid ID,Licit azonosító
field,"auction.dates,expo1",0,First Exposition Day,
field,"auction.dates,acc_expense",0,Compte Expense,
field,"auction.dates,expo2",0,Last Exposition Day,
field,"auction.dates,acc_income",0,Compte Income,
field,"auction.dates,adj_total",0,Total Adjudication,
field,"auction.dates,state",0,State,
field,"auction.dates,auction1",0,First Auction Day,
field,"auction.dates,buyer_costs",0,Buyer Costs,
field,"auction.dates,auction2",0,Last Auction Day,
field,"auction.dates,project_id",0,Project,
field,"auction.dates,seller_costs",0,Seller Costs,
field,"auction.deposit,info",0,Description,
field,"auction.deposit,name",0,Depositer Inventory,
field,"auction.deposit,date_dep",0,Deposit date,
field,"auction.deposit,lot_id",0,Objects,Objektumok
field,"auction.deposit,partner_id",0,Seller,Eladó
field,"auction.deposit,method",0,Withdrawned method,
field,"auction.deposit,tax_id",0,Expenses,
field,"auction.lots,vnd_lim",0,Seller limit,
field,"auction.lots,buy_inv_id",0,Seller Invoice,Eladó számla
field,"auction.lots,lot_num",0,Lot Number,Raktári szám
field,"auction.lots,ach_uid",0,Buyer,Vásárló
field,"auction.lots,tva",0,Tax,Adó
field,"auction.lots,bord_vnd_id",0,Depositer Inventory,
field,"auction.lots,ach_pay_id",0,Payment,Fizetési mód
field,"auction.lots,ach_emp",0,Taken Away,Elvitt
field,"auction.lots,ach_avance",0,Buyer Advance,
field,"auction.lots,vnd_lim_net",0,Net ?,
field,"auction.lots,artist2_id",0,Artist/Author 2,
field,"auction.lots,obj_comm",0,Commission,
field,"auction.lots,lot_local",0,Location,Hely
field,"auction.lots,state",0,State,Állapot
field,"auction.lots,artist_id",0,Artist/Author,Művész/Szerző
field,"auction.lots,ach_login",0,Buyer Username,
field,"auction.lots,lot_type",0,Object Type,Objektum típusa
field,"auction.lots,important",0,To be Emphatized,
field,"auction.lots,bid_lines",0,Bids,Licitek
field,"auction.lots,lot_est1",0,Minimum Estimation,
field,"auction.lots,lot_est2",0,Maximum Estimation,
field,"auction.lots,obj_num",0,Number,Szám
field,"auction.lots,name",0,Short Description,Rövid leírás
field,"auction.lots,ach_inv_id",0,Invoice,Számla
field,"auction.lots,obj_price",0,Adjudication price,
field,"auction.lots,obj_ret",0,Price retired,
field,"auction.lots,auction_id",0,Auction Date,
field,"auction.lots,obj_desc",0,Object Description,
field,"campaign.campaign,info",0,Description,Leírás
field,"campaign.campaign,date_stop",0,Stop Date,Befejezés dátuma
field,"campaign.campaign,name",0,Name,Név
field,"campaign.campaign,date_start",0,Start Date,Kezdés dátuma
field,"campaign.campaign,planned_costs",0,Planned Costs,Tervezett költségek
field,"campaign.campaign,costs",0,Initial Costs,Kezdeti költségek
field,"campaign.campaign,step_id",0,Campaign Steps,Kampány lépései
field,"campaign.campaign,planned_revenue",0,Planned Revenue,Tervezett bevétel
field,"campaign.partner,part_adr_id",0,Partner Address,Partner címe
field,"campaign.partner,info",0,Comments,Megjegyzések
field,"campaign.partner,state",0,State,Állapot
field,"campaign.partner,user_id",0,Attache Commercial,
field,"campaign.partner,name",0,Name / Reference,Név / Hivatkozás
field,"campaign.partner,date_recall",0,Recall Later,Később visszahívni
field,"campaign.partner,notes",0,Prospect Notes,Prospektus megjegyzések
field,"campaign.partner,campaign_id",0,Campaign,Kampány
field,"campaign.partner,priority",0,Priority,Prioritás
field,"campaign.partner,step",0,Step,Lépés
field,"campaign.partner,contact",0,Partner Contact,Partner névjegy
field,"campaign.partner,active",0,Active,Aktív
field,"campaign.partner,partner_id",0,Partner,Partner
field,"campaign.partner,history_id",0,History,Előzmények
field,"campaign.partner.history,info",0,Comments,Megjegyzések
field,"campaign.partner.history,name",0,History,Előzmények
field,"campaign.partner.history,camp_partner_id",0,Prospect Fiche,
field,"campaign.partner.history,step_attempt",0,Attempt,Próbálkozás
field,"campaign.partner.history,date",0,Date create,Létrehozás dátuma
field,"campaign.partner.history,step_id",0,Step,Lépés
field,"campaign.step,info",0,Description,Leírás
field,"campaign.step,name",0,Step Name,Lépés neve
field,"campaign.step,procent",0,Success Rate (0<x<1),Sikerráta (0-tól 1-ig)
field,"campaign.step,stop_date",0,Stop Date,Befejezés dátuma
field,"campaign.step,campaign_id",0,Campaign,Kampány
field,"campaign.step,priority",0,Order line,Megrendelési vonal
field,"campaign.step,costs",0,Step Costs,Lépés költségei
field,"campaign.step,active",0,Active,Aktív
field,"campaign.step,max_try",0,Max Attemps,Maximum próbálkozások száma
field,"campaign.step,start_date",0,Start Date,Kezdés dátuma
field,"crm.case,date_closed",0,Date Closed,Lezárás dátuma
field,"crm.case,history_line",0,Case History,Esettanulságok
field,"crm.case,partner_id",0,Partner,Partner
field,"crm.case,user_id",0,User Responsible,Felelős felhasználó
field,"crm.case,name",0,Case Description,Eset leírása
field,"crm.case,probability",0,Probability (0.50),Valószínűség (0.50)
field,"crm.case,canal_id",0,Canal,Csatorna
field,"crm.case,categ_id",0,Category,Kategória
field,"crm.case,planned_cost",0,Planned Costs,Tervezett költségek
field,"crm.case,som",0,State of Mind,
field,"crm.case,state",0,State,Állapot
field,"crm.case,date_deadline",0,Date Next Action,Következő művelet dátuma
field,"crm.case,priority",0,Priority,Prioritás
field,"crm.case,date",0,Date,Dátum
field,"crm.case,planned_revenue",0,Planned Revenue,Tervezett bevétel
field,"crm.case,active",0,Active,Aktív
field,"crm.case,document",0,Document,Dokumentum
field,"crm.case,type",0,Case Type,Eset típusa
field,"crm.case,description",0,Description,Leírás
field,"crm.case.categ,case_type",0,Case Type,Eset típusa
field,"crm.case.categ,name",0,Case Category Name,Eset kategóriája
field,"crm.case.history,user_id",0,User Responsible,Felelős felhasználó
field,"crm.case.history,name",0,Name,Név
field,"crm.case.history,canal_id",0,Canal,Csatorna
field,"crm.case.history,som",0,State of Mind,
field,"crm.case.history,case_id",0,Case,Eset
field,"crm.case.history,date",0,Date,Dátum
field,"crm.case.history,description",0,Description,
field,"crm.segmentation,name",0,Segmentation Name,
field,"crm.segmentation,som_interval_max",0,Max Interval for Computation,
field,"crm.segmentation,categ_id",0,Partner Category,
field,"crm.segmentation,som_interval_default",0,Default Factor (0 = None),
field,"crm.segmentation,segmentation_line",0,Criterions,
field,"crm.segmentation,som_interval_decrease",0,Decrease factor (0.0 > 1.0),
field,"crm.segmentation,state",0,Execution State,
field,"crm.segmentation,exclusif",0,Exclusive Selection,
field,"crm.segmentation,partner_id",0,Max Partner ID processed,
field,"crm.segmentation,som_interval",0,Number of day per Periode,
field,"crm.segmentation,description",0,Description,
field,"crm.segmentation.line,name",0,Segmentation Name,
field,"crm.segmentation.line,segmentation_id",0,Segmentation,
field,"crm.segmentation.line,expr_name",0,Control Variable,
field,"crm.segmentation.line,expr_value",0,Value,
field,"crm.segmentation.line,operator",0,Mandatory / Optionnal,
field,"crm.segmentation.line,expr_operator",0,Operator,
field,"ir.actions.act_window,domain",0,Domain Value,
field,"ir.actions.act_window,name",0,Action Name,Művelet neve
model,"ir.actions.act_window,name",1,ir.ui.menu.tree.admin,
model,"ir.actions.act_window,name",2,ir.ui.menu.tree.user,
model,"ir.actions.act_window,name",3,ir.actions.actions,
model,"ir.actions.act_window,name",4,ir.actions.execute,
model,"ir.actions.act_window,name",5,ir.actions.group,
model,"ir.actions.act_window,name",6,ir.actions.report.custom,
model,"ir.actions.act_window,name",7,ir.actions.report.xml,
model,"ir.actions.act_window,name",8,ir.actions.act_window,
model,"ir.actions.act_window,name",9,ir.actions.wizard,
model,"ir.actions.act_window,name",10,res.users,
model,"ir.actions.act_window,name",11,res.groups,
model,"ir.actions.act_window,name",12,res.roles,
model,"ir.actions.act_window,name",13,ir.ui.view,
model,"ir.actions.act_window,name",14,ir.attachment,
model,"ir.actions.act_window,name",15,ir.report.custom,
model,"ir.actions.act_window,name",16,ir.translation.view,
model,"ir.actions.act_window,name",17,res.project,
model,"ir.actions.act_window,name",18,res.request.form,
model,"ir.actions.act_window,name",21,res.partner,
model,"ir.actions.act_window,name",22,res.partner.address,
model,"ir.actions.act_window,name",23,res.partner,
model,"ir.actions.act_window,name",24,res.partner,
model,"ir.actions.act_window,name",25,Company Architecture,
model,"ir.actions.act_window,name",26,res.partner.category,
model,"ir.actions.act_window,name",27,res.lang,
model,"ir.actions.act_window,name",30,res.partner.canal.form,
model,"ir.actions.act_window,name",31,res.partner.som.form,
model,"ir.actions.act_window,name",32,account.currency,
model,"ir.actions.act_window,name",33,account.account.form,
model,"ir.actions.act_window,name",34,account.account.tree,
model,"ir.actions.act_window,name",35,account.move.line.tree1,
model,"ir.actions.act_window,name",36,account.move.line.treeform,
model,"ir.actions.act_window,name",37,account.move.line.form,
model,"ir.actions.act_window,name",38,account.move.form,
model,"ir.actions.act_window,name",39,account.tax,
model,"ir.actions.act_window,name",40,account.invoice,
model,"ir.actions.act_window,name",41,account.invoice,
model,"ir.actions.act_window,name",42,account.invoice,
model,"ir.actions.act_window,name",43,account.invoice,
model,"ir.actions.act_window,name",44,account.invoice,
model,"ir.actions.act_window,name",45,account.invoice,
model,"ir.actions.act_window,name",46,account.invoice,
model,"ir.actions.act_window,name",47,account.invoice,
model,"ir.actions.act_window,name",48,account.invoice,
model,"ir.actions.act_window,name",49,account.invoice,
model,"ir.actions.act_window,name",50,account.transfer.form,
model,"ir.actions.act_window,name",57,auction.artists,
model,"ir.actions.act_window,name",58,auction.dates,
model,"ir.actions.act_window,name",59,auction.dates,
model,"ir.actions.act_window,name",60,auction.dates,
model,"ir.actions.act_window,name",61,auction.lots,
model,"ir.actions.act_window,name",62,auction.lots,
model,"ir.actions.act_window,name",63,auction.lots.from_a_date,
model,"ir.actions.act_window,name",64,auction.lots.from_a_date,
model,"ir.actions.act_window,name",65,auction.deposit,
model,"ir.actions.act_window,name",66,auction.deposit,
model,"ir.actions.act_window,name",96,campaign.campaign.tree,
model,"ir.actions.act_window,name",97,campaign.campaign.form,
model,"ir.actions.act_window,name",98,campaign.partner.open,
model,"ir.actions.act_window,name",99,product.variant.form,
model,"ir.actions.act_window,name",100,product.template.form,
model,"ir.actions.act_window,name",101,product.normal.form,
model,"ir.actions.act_window,name",102,product.category.form,
model,"ir.actions.act_window,name",103,product.normal.form,
model,"ir.actions.act_window,name",104,product.pricelist.form,
model,"ir.actions.act_window,name",105,product.pricelist.form,
model,"ir.actions.act_window,name",106,crm.case.categ.form,
model,"ir.actions.act_window,name",107,crm.case.form,
model,"ir.actions.act_window,name",108,crm.case.form,
model,"ir.actions.act_window,name",109,crm.case.form,
model,"ir.actions.act_window,name",110,crm.case.form,
model,"ir.actions.act_window,name",111,crm.case.form,
model,"ir.actions.act_window,name",112,crm.case.form,
model,"ir.actions.act_window,name",113,crm.case.form,
model,"ir.actions.act_window,name",114,crm.case.form,
